"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",2.26178973086425,0.573195615266756,3.94592992448425,2.20132481347932,2.1878288205673,1.0338056202577,0.576731469574971
"B_wind_max_220_mh",-0.0406357632503145,0.00801175565728028,-5.07201729416059,-129.888604666156,0.00638069054147724,-6.36855258630152,-163.091401547487
"B_dist_to_cog",-0.00920142357295041,0.000948652277269872,-9.69946922958031,-1063.82649128017,0.00256378316839455,-3.58900225509803,-393.637588394386
"B_dist_port_to_catch_area_zero",-0.0032993883614685,0.0074206529300162,-0.444622379268356,-135.203653616944,0.0129498326584261,-0.254782316381647,-77.4758573971727
"B_dummy_last_day",1.8452897172577,0.0999703820423184,18.4583641630635,8.45540148981205,0.477595335705184,3.86370967072589,1.76988687716056
"B_unem_rate",0.161283931145702,0.0617423558455825,2.61220889512335,-13.5841280652122,0.118242388660982,1.36401110441135,-7.09319287568705
"B_d_d",-1.03740484104506,0.259725164989733,-3.99424076248474,-7.84446451742789,0.41573157794759,-2.49537176407573,-4.9007699898657
"c_wa",-2.45048491155163,8.56388592444699,-0.286141704031383,-0.402911124925388,0.851416310679177,-2.87812775115487,-4.05264130869089
"c_dcrb",-0.118174930385837,0.24643019365078,-0.479547285318879,-4.53749158664551,0.100498520340809,-1.17588726664914,-11.1262825223088
"c_psdn",-5.77105759963379,34.7758667792187,-0.165950072108122,-0.194705645803774,2.34625037023252,-2.45969384719239,-2.88590582042732
"B_mean_price_part",3.92249413981019,0.672293638700345,5.83449539607875,4.34705011557131,2.00870759347355,1.95274521416391,1.45491267584471
"B_mean_price_crab",0.0320817562881057,0.150834341401631,0.212695305259965,-6.41709463983794,0.0330582141835742,0.970462472956158,-29.2792054143333
"B_mean_price_slmn",5.07042568138878,26.3307485799246,0.192566712108391,0.154588300785804,0.282968815865946,17.9186730024373,14.3847146864307
"w_psdn",-0.209226076803311,0.120498536937593,-1.7363370719735,-10.0351930200578,0.133871995456686,-1.56288158766562,-9.03270376061999
"w_nanc",-0.389974862412853,0.116676473530893,-3.34236072287185,-11.9130688505496,0.124076250132426,-3.14302585705672,-11.2025859979596
"w_dcrb",-0.228061092567794,0.440288426459649,-0.517981120697696,-2.78921956328176,0.0841030898533046,-2.71168506371865,-14.6018546370867
"w_slmn",0.304607197282885,0.587208971195718,0.518737301752426,-1.18423395559013,0.202464402207943,1.504497550982,-3.43464231308625
"w_cmck",-0.502141477733127,0.365014825634102,-1.37567419860497,-4.11528894784921,0.380915583968303,-1.31824871143868,-3.94350229015078
"asc_cba_psdn",-0.489396724816572,0.648872780315477,-0.754226004947581,-2.2953601537923,1.13752499243209,-0.430229426230203,-1.30933099028635
"asc_clo_psdn",-3.08013254527034,0.67712858880482,-4.54881479854068,-6.02563916622108,2.03331686876442,-1.51483155064859,-2.0066388116623
"asc_clw_psdn",-2.72349826636805,0.583116712720237,-4.670588592227,-6.38551114235424,1.68594416644685,-1.61541427086987,-2.2085537234696
"asc_cwa_psdn",-2.02116609000224,0.546543815529912,-3.69808610503182,-5.52776557735451,1.33839539756086,-1.51014124352615,-2.25730460184495
"asc_clo_nanc",-3.61770548089077,0.588527624023052,-6.14704447713242,-7.84620006334638,2.01584607642649,-1.79463378836141,-2.29070340979437
"asc_clw_nanc",-6.76914736500612,0.980846468047349,-6.9013322528265,-7.92085980640049,3.48822576967825,-1.94057031051362,-2.22724900221202
"asc_cwa_nanc",-2.50994855439352,0.570863596423013,-4.39675707142768,-6.14848901977037,1.72586524789584,-1.45431316694836,-2.03373267911433
"asc_clo_cmck",-3.14984378359266,0.572081097361369,-5.50593927700251,-7.25394319569924,1.50255214224564,-2.09632910235319,-2.76186341020453
"asc_cwa_dcrb",-4.18631169779487,1.33326810699198,-3.13988737587049,-3.88992406748244,0.746590004999323,-5.60724315857761,-6.94666639395953
"asc_nps_sock",-11.7174908478258,49.2662335230922,-0.237840200272942,-0.258138078322241,0.5591528923127,-20.9557904625358,-22.7442100768275
"lambda_part",0.40439249146685,0.0431110524416876,9.38025096960543,-13.815656886103,0.185074710577863,2.18502295750838,-3.21820040497953
"lambda_nanc",0.404392484895451,0.0449111730159968,9.00427349674014,-13.2619006609425,0.139099916580137,2.90720868018981,-4.28186824081534
"lambda_psdn",0.278161094679857,0.0329274778040603,8.44768908007757,-21.9220831190154,0.100569889277076,2.76584867179785,-7.17748533391974
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_mean_price_no_part",0,NA,NA,NA,NA,NA,NA
"B_d_cd",-5.95638397364497,10.2841987058119,-0.579178227106683,-0.676414776944531,0.856625343023225,-6.95331281307128,-8.12068429950288
"c_no_participation",0,NA,NA,NA,NA,NA,NA
