"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",2.81395408167726,0.679728997967207,4.13981761862838,2.6686430726099,1.1735399460651,2.39783408405696,1.54571140740414
"B_wind_max_220_mh",-0.0522783576197411,0.0080248277478052,-6.51457691836929,-131.127843573657,0.00838376477314995,-6.23566608013253,-125.513821784432
"B_dist_to_cog",-0.00444279535392035,0.00117031371501554,-3.79624309013705,-858.267986153256,0.000957807155299831,-4.63850716643433,-1048.69001008819
"B_dist_port_to_catch_area_zero",-0.0177866512627663,0.0088218018887494,-2.01621522304303,-115.371741974932,0.0140949178979396,-1.26191946569383,-72.2094771060389
"B_dummy_prev_days",2.06416375391121,0.194738426096222,10.599673599556,5.46458023330949,0.387097926731998,5.33240715427626,2.74908151251343
"B_dummy_prev_year_days",0.318181965886149,0.0831101383909428,3.82843744513393,-8.20378893976375,0.0907495209917359,3.50615587177726,-7.51318603847993
"B_unem_rate",0.362854730512482,0.0774003090445281,4.68802689539306,-8.23181815877466,0.0551939243484097,6.57417885747668,-11.5437573430286
"B_d_d",-0.963340510548489,0.304484941437352,-3.16383630008414,-6.44807096626959,0.451689000953632,-2.13275175732557,-4.34666442265225
"c_wa",-4.63367177010266,240.565205686549,-0.0192616041745465,-0.0234184812970967,1.1768892380549,-3.93721993563382,-4.78691756873712
"c_dcrb",0,NA,NA,NA,NA,NA,NA
"c_psdn_part",0.0959658828687582,0.13145908666252,0.730005702193265,-6.87692376451744,0.28455957687305,0.337243553435459,-3.17695902933731
"c_psdn_crab",1.40532783837598,0.44127501114415,3.1846984372222,0.918537936977299,0.227621306285836,6.17397317196326,1.78071132702749
"c_psdn_slmn",-4.07628306467747,1812.6014846032,-0.00224885784288642,-0.00280055109068209,0.596174099147166,-6.83740382299171,-8.51476619319617
"B_mean_price_part",4.12382929022735,0.995362464833153,4.14304279689571,3.13838365479351,1.5932079088068,2.58838113182341,1.96071666036787
"B_mean_price_crab",0.0765630501471136,0.1804561839506,0.424275014970241,-5.11723638191128,0.0764958242107311,1.00087881838095,-12.0717301811011
"B_mean_price_slmn",5.61079283550954,55.1206520044765,0.101791118781648,0.0836490982569489,0.282990879417351,19.8267620746704,16.2930792858155
"w_psdn",-0.1234639894105,0.129603896858822,-0.952625595393861,-8.66844297617297,0.105187973026619,-1.17374625499491,-10.6805365393456
"w_nanc",-0.477130089797453,0.124066453806348,-3.84576229237753,-11.9059588186752,0.109404390121114,-4.36116036357639,-13.5015613922094
"w_dcrb",-0.398683183081557,0.467944416059695,-0.851988333226947,-2.98899428025898,0.0168244194871457,-23.6966977307098,-83.1341125410112
"w_slmn",0.720275577566721,0.561121769970293,1.28363506125391,-0.498509302977298,0.0755662955946507,9.53170420620314,-3.70170881385749
"w_cmck",-0.0297409215833604,0.376370685498555,-0.0790202923056146,-2.7359753595563,0.362607530861536,-0.082019591575215,-2.8398222153212
"asc_cba_psdn",-4.41156169769376,0.830099293581551,-5.3144987976795,-6.51917395850923,0.900711703827304,-4.8978620783411,-6.00809523702084
"asc_clo_psdn",-5.31640569546507,0.777839077757372,-6.83484006845358,-8.12045302953436,0.993903831319565,-5.34901418823056,-6.35514774812674
"asc_clw_psdn",-5.31881950321432,0.728097352041782,-7.30509387006959,-8.67853657961348,0.975268518438253,-5.45369752294641,-6.47905616120262
"asc_cwa_psdn",-4.97969325598699,0.676928243250546,-7.35630889335474,-8.83357034605776,0.685838045630744,-7.26074222290676,-8.71881239905211
"asc_clo_nanc",-6.06594034150551,0.726950564763471,-8.34436430141463,-9.7199736598383,0.98580353675909,-6.1532953730799,-7.16769627824158
"asc_clw_nanc",-9.38957031693717,1.37854260914315,-6.8112296672305,-7.53663343303906,2.23582089378412,-4.19960755489915,-4.64687057260336
"asc_cwa_nanc",-5.33584830203974,0.731654318133231,-7.29285424796483,-8.65961991204433,0.927830030218496,-5.75088984863229,-6.82867345924092
"asc_clo_cmck",-5.4647638515333,0.728694821221092,-7.49938615232075,-8.87170275301276,0.882842169377682,-6.18996695115439,-7.32267224626382
"asc_cwa_dcrb",-7.4837659900403,1.61495771651582,-4.63403215669702,-5.25324341515489,0.819831831127904,-9.12841598226836,-10.3481783311201
"asc_nps_sock",-16.3049033037029,103.1293366898,-0.158101504645045,-0.167798066574924,0.345692286223654,-47.1659448401865,-50.0586909032359
"lambda_part",0.464367823484772,0.0590295822042641,7.8666967670191,-9.07396184275442,0.105026122563732,4.42145070339984,-5.09999001619996
"lambda_nanc",0.464367822472338,0.0647233653106236,7.17465509161522,-8.27571580922947,0.125177630181181,3.70967098354728,-4.27897681680341
"lambda_psdn",0.337500009841779,0.0523613865799639,6.44558962025125,-12.652453142097,0.0812012611374276,4.15633950894658,-8.15874015844391
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_mean_price_no_part",0,NA,NA,NA,NA,NA,NA
"B_d_cd",-4.00000000000144,6.76710448983127,-0.591094759363051,-0.738868449203761,0.822792577936785,-4.86149256478679,-6.07686570598306
"c_no_participation",0,NA,NA,NA,NA,NA,NA
