"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",2.8190210209305,0.703890825901152,4.00491229207521,2.58423743284579,1.25604517176754,2.24436276998183,1.44821305938442
"B_wind_max_220_mh",-0.049064963473028,0.00790635609719332,-6.20576190470925,-132.686278049813,0.00746944286369076,-6.56875812137672,-140.447551794334
"B_dist_to_cog",-0.0058099825824019,0.00122934037813856,-4.72609757697801,-818.170459922071,0.00127305413549474,-4.56381423256912,-790.076364027925
"B_dist_port_to_catch_area_zero",-0.0225467584594452,0.0099807141448942,-2.2590325834529,-102.45226379743,0.0140576145941263,-1.60388224534666,-72.7397064141095
"B_dummy_prev_days",2.200255568981,0.189536922722682,11.608585479676,6.33256861902912,0.292145764270664,7.53136221048386,4.10841338732881
"B_dummy_prev_year_days",0.241074468018863,0.0858220201244581,2.80900481798564,-8.84301640628538,0.0962925703689368,2.50356249807443,-7.88145470697665
"B_unem_rate",0.325879258603311,0.0718976672492005,4.53254286364812,-9.37611423553085,0.106201253604473,3.06850670348006,-6.34757800418561
"B_d_d",-1.08668046975986,0.340795235616568,-3.1886609793527,-6.12297430151753,0.480256486541189,-2.26270857388339,-4.34492927891126
"c_wa",-2.48397651849494,8.62270790390868,-0.288073833206034,-0.404046682007592,0.74155528548575,-3.34968486788929,-4.69820199071576
"c_dcrb",0.0309072704126289,0.218591587407284,0.141392771694557,-4.43334869873898,0.103264421094984,0.299302219340386,-9.38457524199922
"c_psdn",-5.65629843031596,6.64162038154372,-0.851644343605386,-1.00221001019767,0.842083879269,-6.71702495388713,-7.90455510927746
"B_mean_price_part",2.45422641645172,0.950333792010618,2.58248884453463,1.53022698832482,1.47388603562882,1.6651398799668,0.986661370891737
"B_mean_price_crab",0.0684272273014143,0.144234640733252,0.474416041483155,-6.45873118941961,0.0258010112003241,2.65211416599652,-36.106056676061
"B_mean_price_slmn",3.93705732756795,14.3853085761686,0.273685983635434,0.204170616988615,0.36503058415266,10.7855546863477,8.04605820738471
"w_psdn",-0.0480959669168162,0.135063748653459,-0.35609826764263,-7.76000945750424,0.101201100991425,-0.475251419654924,-10.3565668421495
"w_nanc",-0.498444622686689,0.125865257110523,-3.96014463506003,-11.9051488638433,0.103229534069168,-4.82850791860315,-14.5156581030645
"w_dcrb",-0.0202585353155286,0.389488177132664,-0.0520132227495787,-2.61948525068584,0.300922210505712,-0.0673215023958628,-3.39043945477119
"w_slmn",0.383119188832859,0.530031725917011,0.722823125672378,-1.16385639010546,0.201804750657671,1.89846466737921,-3.05682006571579
"w_cmck",-0.00569549809725957,0.381426938816191,-0.0149320813966006,-2.63666614953461,0.344765290923099,-0.0165199289116664,-2.91704392691196
"asc_cba_psdn",-3.09088008866394,0.826205857661906,-3.74105322541633,-4.95140533164554,0.753550537107424,-4.10175553789475,-5.42880654609733
"asc_clo_psdn",-4.485238664624,0.776734550392744,-5.77448069273615,-7.06192181337945,1.13584920886774,-3.94879763053678,-4.82919618361307
"asc_clw_psdn",-4.38659909382031,0.699640380679355,-6.26979118838295,-7.69909691117299,1.02351051855063,-4.28583684712112,-5.26286637625198
"asc_cwa_psdn",-4.22532612912788,0.669680617357895,-6.3094645710341,-7.80271370215771,0.777651973593042,-5.43344101552948,-6.71936329690636
"asc_clo_nanc",-5.50892295623303,0.675627321871724,-8.15378948999781,-9.63389541175013,1.25819136498005,-4.37844600556479,-5.17323766272726
"asc_clw_nanc",-6.94602741584081,1.24695436625872,-5.57039423718546,-6.3723482036328,2.08646954072686,-3.32908162820389,-3.80836013214584
"asc_cwa_nanc",-4.45968469978206,0.682484128243302,-6.53448851808639,-7.99972405781092,0.999996458059689,-4.45970049577502,-5.45970403772787
"asc_clo_cmck",-4.79959429679826,0.674013834765887,-7.12091362110595,-8.60456269241521,0.852998892795482,-5.62672980860366,-6.79906427286394
"asc_cwa_dcrb",-6.26025308637792,1.32408524060767,-4.72798343670448,-5.48322182267204,0.551033985647118,-11.3609201055468,-13.1756902033033
"asc_nps_sock",-12.3250113147767,26.9209346429351,-0.45782256367578,-0.49496837652602,0.316200578395242,-38.9784591075945,-42.1410086673553
"lambda_part",0.48657801490557,0.0578353479604156,8.41315963446092,-8.87730433377582,0.0778116746804929,6.25327776202654,-6.59826417054539
"lambda_nanc",0.486578014173131,0.0677297050181701,7.18411536035177,-7.58045507047656,0.104102807016843,4.67401435289256,-4.93187456265036
"lambda_psdn",0.382651674340279,0.0570157461615263,6.71133327372798,-10.8276812498562,0.077656529564428,4.92748873129607,-7.94972849189115
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_mean_price_no_part",0,NA,NA,NA,NA,NA,NA
"B_d_cd",-5.9075062102332,16.4194849452501,-0.359786328860587,-0.420689579074247,0.754415664101037,-7.83057204581323,-9.15610125681073
"c_no_participation",0,NA,NA,NA,NA,NA,NA
