"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_mckl",-2.34494557960558,0.869395572570139,-2.69721362011698,-3.84743801917133,0.676919451800356,-3.46414270319591,-4.94142334174215
"B_mean_avail_msqd",1.6549762717465,0.495301234678597,3.34135301080042,1.3223796467447,0.927565952476215,1.78421412227173,0.706123666999615
"B_mean_avail_psdn",0.242159332855326,0.708792949833485,0.341650312566196,-1.0691989350666,0.432536170373789,0.559859150382862,-1.75208622781712
"B_mean_avail_nanc",-1.77626462824276,0.27885801775967,-6.36978144832689,-9.95583577100316,0.274528318639045,-6.47024189361763,-10.1128533551872
"B_mean_price",0.69673944051242,0.145097790471421,4.80186113274863,-2.09004257406188,0.157201892092926,4.4321313899998,-1.92911519988776
"B_wind_max_220_mh",-0.040749,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.003076,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.006335,NA,NA,NA,NA,NA,NA
"B_dummy_prev_days",3.07629761622506,0.105917649787472,29.0442397692714,19.6029426671686,0.143091486027058,21.4988166077425,14.5102806174817
"B_dummy_prev_year_days",0.134043314529223,0.0900065505750337,1.48926176675862,-9.62104069024259,0.0959389948784829,1.39717238750525,-9.02611796764813
"c_psdn",-1.37094,NA,NA,NA,NA,NA,NA
"B_d_d",-0.51582,NA,NA,NA,NA,NA,NA
"B_unem_rate",0.088761,NA,NA,NA,NA,NA,NA
"w_msqd",-3.95212,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-3.913923,NA,NA,NA,NA,NA,NA
"asc_mna_cmck",-5.338789,NA,NA,NA,NA,NA,NA
"asc_laa_jmck",-4.176227,NA,NA,NA,NA,NA,NA
"asc_mna_jmck",-5.113068,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-3.692253,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-4.633509,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-3.710028,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-4.12887,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",-3.607651,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-4.06254,NA,NA,NA,NA,NA,NA
"asc_mna_psdn",-4.83236,NA,NA,NA,NA,NA,NA
"asc_mna_nanc",-4.579712,NA,NA,NA,NA,NA,NA
"asc_sba_nanc",-2.896603,NA,NA,NA,NA,NA,NA
"asc_sda_nanc",-3.952324,NA,NA,NA,NA,NA,NA
"theta_part",0.993484,NA,NA,NA,NA,NA,NA
"theta_laa",10.071425,NA,NA,NA,NA,NA,NA
"theta_mna",10.029563,NA,NA,NA,NA,NA,NA
"theta_sba",0.733464,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
