"asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","theta_part","theta_laa","theta_sba","theta_mna","asc_no_participation","logLike"
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,10,0.5,10,0,-3644.53829487678
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,10,0.5,10,0,-3644.53829487678
-4.83785506628919,-5.12060107110301,-5.15917578275548,-5.14630673103966,-4.11314212658908,-5.17992287394009,-3.20555662881816,-5.02569593198132,-4.70435609066044,-4.91497203882318,-5.14630673103966,-5.17201238370035,-3.49957676269696,-4.59367436531466,3.05441700210213,10.0000383115548,0.834581251081545,9.99998695057002,0,-2703.72265126953
-4.65874958240332,-5.07518585349086,-5.13281805792322,-5.11357832185586,-3.66269315417232,-5.16674058632885,-2.81631047435483,-4.93669041805126,-4.46822562349025,-4.77117152657205,-5.11357832185586,-5.15204966495702,-2.69435969544088,-4.30965021397331,2.58425588455054,10.0000776363501,1.06849958689754,10.0000050563628,0,-2567.25914127732
-4.37830531414746,-4.99264383003849,-5.08003470909351,-5.05081650206768,-3.12556732414041,-5.13452763357112,-2.08099437058685,-4.78702582372024,-4.11101733998337,-4.54073529245933,-5.05081650206768,-5.10932307060912,-2.80654903038791,-3.89532613164904,2.18062162792516,10.0001284779823,1.18163872328674,10.0000328486122,0,-2514.26209145832
-4.11407511976677,-4.91157586007169,-5.02839881214083,-4.98927586395822,-2.77759026235305,-5.10290592171347,-2.17653823261997,-4.64031156260244,-3.7849085751925,-4.31998869421011,-4.98927586395822,-5.06770746943318,-2.8591229869216,-3.53363571639218,2.193031403855,10.0001701397075,1.24594010150336,10.0000574756998,0,-2483.00258023379
-3.93999491235247,-4.84348625347896,-4.98415611876011,-4.93688858600075,-2.92121298284615,-5.07521384873691,-2.14460803556513,-4.52312769626156,-3.6096537170196,-4.1609591772359,-4.93688858600075,-5.03182273676191,-2.83026182070707,-3.39289022136645,2.20970328307899,10.0001903959215,1.29273132467351,10.0000723423736,0,-2471.7835901475
-3.70094008870232,-4.63414142622547,-4.84832630739003,-4.77494206470632,-2.83142552098969,-4.99404930684586,-2.09836990320298,-4.19710025863267,-3.61634873613668,-3.83804692423481,-4.77494206470632,-4.92371693569836,-2.75708324359763,-3.67131687104691,2.25371101342794,10.0002040262901,1.35283340789686,10.0000887678427,0,-2461.82733702662
-4.1531874028897,-3.86064312188382,-4.32006666620649,-4.14711080418746,-2.62321582734421,-4.70119748589157,-1.89006684656671,-3.4067483763056,-3.91896178489504,-3.84796327378521,-4.14711080418746,-4.51304929413826,-2.27440275171799,-2.87942246605572,2.30305222647657,9.99992237333874,1.29668094789145,10.0000441612103,0,-2453.13071556445
-4.06812107435143,-3.87518604955097,-4.27656273704001,-4.11303226907507,-2.54220360328885,-4.67347687700414,-1.83737599765471,-3.61264377886675,-3.59656342343073,-3.87934341493512,-4.11303226907507,-4.4728212497718,-2.09821483478965,-2.88178882470497,2.25780850958813,9.9998210216554,1.20007127525985,9.99999937479433,0,-2437.03998031496
-3.82600853345859,-4.12795033396085,-4.47182413882196,-4.34644667560923,-2.50335885038071,-4.79053699853881,-1.82245522146379,-3.4613010044352,-3.61278965634067,-3.78282662311193,-4.34644667560923,-4.62475183405003,-1.98506938779835,-2.77800833315773,2.17423788045235,9.99975869088817,1.05990621933885,9.9998648045121,0,-2427.44988056361
-3.84269361696385,-3.74779402171855,-4.80283392924639,-4.50355459206693,-2.49090155713834,-5.17951049546116,-1.83676825014482,-3.50957371963029,-3.28311215927581,-3.57035578429478,-4.50355459206693,-5.02397353281104,-1.9358272687799,-2.87686208314153,2.09350512994321,9.99968082780821,0.869501233716441,9.99962011859041,0,-2421.91202529461
