cluster,metric,group,delta_pp
c4,species,MSQD,0.9049092258186411
c4,species,NANC,0.1547119892895658
c4,species,CMCK,-0.12135360109178615
c4,species,PSDN,0.005229001775155107
c4,species,YTNA,-8.182362390976193e-4
c4,species,BTNA,-5.074098523603378e-4
c5,species,NANC,0.4727805569820649
c5,species,MSQD,0.36638427256841105
c5,species,PSDN,-0.06336972019077153
c5,species,CMCK,-0.05377985247061691
c5,species,ALBC,0.013162792560198963
c5,species,DCRB,-0.0023930698113175473
c6,species,PSDN,-1.1420988675688846
c6,species,NANC,1.0620196659212637
c6,species,CMCK,0.053859505493193766
c6,species,SOCK,1.4883510668923638e-4
c6,species,DCRB,-6.112179341591882e-5
c7,species,NANC,-0.6128126382335274
c7,species,MSQD,0.474591958153333
c7,species,JMCK,-0.13197513205409753
c7,species,CMCK,-0.028192141624554332
c7,species,PSDN,0.01753547922540991
