cluster,metric,group,delta_pp,cluster_name
c4,species,MSQD,8.436362571664679,Southern CCS industrial squid specialist
c4,species,CMCK,-2.1557575744473167,Southern CCS industrial squid specialist
c4,species,PSDN,-0.24472635633674567,Southern CCS industrial squid specialist
c4,species,YTNA,-0.09311114185439713,Southern CCS industrial squid specialist
c4,species,NANC,0.06342100990249441,Southern CCS industrial squid specialist
c4,species,BTNA,-0.006316698939203599,Southern CCS industrial squid specialist
c5,species,MSQD,4.525357620328255,Roving industrial squid-sardine generalist
c5,species,CMCK,-0.3060489349346238,Roving industrial squid-sardine generalist
c5,species,PSDN,-0.06463727901203625,Roving industrial squid-sardine generalist
c5,species,NANC,0.03683172235916096,Roving industrial squid-sardine generalist
c5,species,DCRB,-0.01029042684541695,Roving industrial squid-sardine generalist
c5,species,ALBC,-0.003440810671121147,Roving industrial squid-sardine generalist
c6,species,NANC,-0.38041372882689284,PNW sardine specialist
c6,species,PSDN,-0.34703959724025346,PNW sardine specialist
c6,species,CMCK,0.06302032592513056,PNW sardine specialist
c6,species,DCRB,0.015025471402049795,PNW sardine specialist
c6,species,SOCK,0.006232554036223088,PNW sardine specialist
c7,species,MSQD,4.9778483174272,Southern CCS forage fish diverse
c7,species,CMCK,-1.8826126244279762,Southern CCS forage fish diverse
c7,species,JMCK,-0.814586941543163,Southern CCS forage fish diverse
c7,species,NANC,-0.38748545471197354,Southern CCS forage fish diverse
c7,species,PSDN,0.008624397669770292,Southern CCS forage fish diverse
