selection,perc,perc1,perc2,perc3
BDA-MSQD,.00060508272,.00060508272,.00055465911,0
CBA-MSQD,.00010084712,.00020169423,.000050423558,0
ERA-MSQD,.0016639774,.0024707543,.00090762402,0
LAA-BTNA,.0011093182,.00060508272,.0013110125,.011849537
LAA-CMCK,.000050423558,.000050423558,.000050423558,.11491529
LAA-JMCK,.00060508272,.00045381201,.00065550627,.0089753931
LAA-MSQD,.11647842,.1344292,.12076442,0
LAA-PBNT,.0011597418,.00095804757,.001260589,.0052944734
LAA-PSDN,.00045381201,.00040338846,.00045381201,.033783782
LAA-STNA,.00010084712,0,.00010084712,.00060508272
LAA-YTNA,.0010588947,.00080677692,.0014118596,.028388463
MNA-CMCK,.00010084712,.00010084712,.00010084712,.0024203309
MNA-JMCK,.0017144009,.0017144009,.0017144009,.0044372729
MNA-MSQD,.1600948,.17955829,.14743848,0
MNA-NANC,.0036304961,.003529649,.0036304961,.19181122
MNA-UDAB,.000050423558,0,.000050423558,.00015127068
NPA-MSQD,.00070592982,.00085720047,.00075635337,0
No-Participation,.44009683,.33930013,.49863857,.53287613
SBA-MSQD,.25363049,.3150464,.20618193,0
SDA-BTNA,.00015127068,.00015127068,.00020169423,.0011597418
SFA-CHNK,.00010084712,.000050423558,.00010084712,.00010084712
SFA-DCRB,.00045381201,.00025211778,.00045381201,.0054961676
SFA-MSQD,.012807583,.017093586,.0092779342,0
SFA-NANC,.0030758369,.0013614361,.0038321903,.0070088743
