"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",1.91282100000567,0.195041295866084,9.80726154177635,4.68014220246165,0.260212137172511,7.3510060706259,3.50798778997961
"B_wind_max_220_mh",-0.0645209995612129,0.00556184205086631,-11.6006529799176,-191.397200752115,0.00584472722548435,-11.0391806276068,-182.133563893223
"B_dist_to_cog",-0.00089811005670473,7.78154478630363e-05,-11.5415393905527,-12862.4603153142,0.000127787523095631,-7.02815137932224,-7832.51827572928
"B_dist_port_to_catch_area_zero",-0.00627299729475006,0.00134696080365817,-4.65714910019164,-747.06924994539,0.00140765176504172,-4.45635593300601,-714.859329761096
"B_dummy_prev_days",2.91793600002129,0.0977902984647953,29.8387063525709,19.6127430852638,0.132610970535947,22.0037300702081,14.4628758259589
"B_dummy_prev_year_days",0.370203000005651,0.0511086630566893,7.24344911145544,-12.322705434415,0.0876938306567453,4.22153984189281,-7.18177088716224
"B_unem_rate",0.408903000246264,0.0150091616617732,27.2435602641084,-39.3824127605473,0.0239967856830832,17.0399071628382,-24.6323406626261
"B_d_d",-2.02844300000574,0.108120290204081,-18.7609836800935,-28.009941466948,0.137794230781362,-14.7208122466627,-21.9780101302715
"B_d_c",-0.923231999998752,0.67212129739739,-1.3736092035377,-2.86143588582292,0.684293745845439,-1.34917497873389,-2.81053569709689
"B_d_cd",-9.893429,NA,NA,NA,NA,NA,NA
"c_psdn",-2.14164799999739,0.321675253884235,-6.65779532039516,-9.76652061997907,0.978486743716556,-2.1887348129652,-3.2107210651261
"c_dcrb",-1.78677700000021,1.01111885442149,-1.76712855485472,-2.75613196986091,0.883436756275367,-2.02252961211779,-3.15447255302062
"B_mean_price_part",4.51117000003804,0.0539066765651343,83.6848102588423,65.1342324135967,0.0713883727820309,63.1919432287935,49.1840598574595
"B_mean_price_crab",0.109649999959398,0.0201090301653279,5.45277415459136,-44.2761283224761,0.036950112784177,2.96751462166992,-24.0960022298463
"asc_mna_msqd",-8.993064,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-8.8271,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-9.909028,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-9.32585,NA,NA,NA,NA,NA,NA
"asc_npa_msqd",-9.502723,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-9.438585,NA,NA,NA,NA,NA,NA
"asc_cba_msqd",-9.256518,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-7.975989,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-6.032144,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-4.546371,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-4.860164,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-7.795499,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-8.945853,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-7.709738,NA,NA,NA,NA,NA,NA
"asc_cwa_albc",-19.519344,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-6.280222,NA,NA,NA,NA,NA,NA
"asc_clw_dcrb",-5.877424,NA,NA,NA,NA,NA,NA
"theta_part",1.19010000003271,0.14168639649566,8.3995360843916,1.34169549607066,0.306626109319796,3.88127417679064,0.619973297298187
"theta_cmck",10.763614,NA,NA,NA,NA,NA,NA
"theta_msqd",11.124655,NA,NA,NA,NA,NA,NA
"theta_psdn",0.176171,NA,NA,NA,NA,NA,NA
"theta_part_crab",10.696168,NA,NA,NA,NA,NA,NA
"w_msqd",-3.97043299999464,0.218302096172,-18.1877914578811,-22.7685995102788,0.30208277441768,-13.1435266630094,-16.4538776154187
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
