"fished_vessel_anon","apollo_sequence","sample_1","sample_2","sample_3","sample_4","sample_5","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29","sample_30","sample_31","sample_32","sample_33","sample_34","sample_35","sample_36","sample_37","sample_38","sample_39"
1,1,1,1,1,0,0,2,2,1,0,1,0,0,1,1,2,1,1,1,1,2,1,2,3,1,1,1,2,1,1,1,1,3,0,2,1,1,0,3,1,0,1,1,2,2
1,2,1,1,1,0,0,2,2,1,0,1,0,0,1,1,2,1,1,1,1,2,1,2,3,1,1,1,2,1,1,1,1,3,0,2,1,1,0,3,1,0,1,1,2,2
1,3,1,1,1,0,0,2,2,1,0,1,0,0,1,1,2,1,1,1,1,2,1,2,3,1,1,1,2,1,1,1,1,3,0,2,1,1,0,3,1,0,1,1,2,2
1,4,1,1,1,0,0,2,2,1,0,1,0,0,1,1,2,1,1,1,1,2,1,2,3,1,1,1,2,1,1,1,1,3,0,2,1,1,0,3,1,0,1,1,2,2
1,5,1,1,1,0,0,2,2,1,0,1,0,0,1,1,2,1,1,1,1,2,1,2,3,1,1,1,2,1,1,1,1,3,0,2,1,1,0,3,1,0,1,1,2,2
1,6,1,1,1,0,0,2,2,1,0,1,0,0,1,1,2,1,1,1,1,2,1,2,3,1,1,1,2,1,1,1,1,3,0,2,1,1,0,3,1,0,1,1,2,2
1,7,1,1,1,0,0,2,2,1,0,1,0,0,1,1,2,1,1,1,1,2,1,2,3,1,1,1,2,1,1,1,1,3,0,2,1,1,0,3,1,0,1,1,2,2
1,8,1,1,1,0,0,2,2,1,0,1,0,0,1,1,2,1,1,1,1,2,1,2,3,1,1,1,2,1,1,1,1,3,0,2,1,1,0,3,1,0,1,1,2,2
1,9,1,1,1,0,0,2,2,1,0,1,0,0,1,1,2,1,1,1,1,2,1,2,3,1,1,1,2,1,1,1,1,3,0,2,1,1,0,3,1,0,1,1,2,2
1,10,1,1,1,0,0,2,2,1,0,1,0,0,1,1,2,1,1,1,1,2,1,2,3,1,1,1,2,1,1,1,1,3,0,2,1,1,0,3,1,0,1,1,2,2
