"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_psdn",1.81352606695083,NA,NA,NA,NA,NA,NA
"B_mean_avail_nanc",2.50981964478472,NA,NA,NA,NA,NA,NA
"B_mean_avail_othr",10.8212841757203,NA,NA,NA,NA,NA,NA
"B_mean_avail_cmck",4.99297854461132,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.0501848491509958,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.00484072210347301,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.0207762344777508,NA,NA,NA,NA,NA,NA
"B_dummy_prev_days",2.14556280220952,NA,NA,NA,NA,NA,NA
"B_dummy_prev_year_days",0.278550833944747,NA,NA,NA,NA,NA,NA
"B_unem_rate",0.296231547496828,NA,NA,NA,NA,NA,NA
"B_d_d",-1.04472593224367,NA,NA,NA,NA,NA,NA
"c_dcrb",-0.359834137774827,NA,NA,NA,NA,NA,NA
"B_mean_price_part",3.78278226032748,NA,NA,NA,NA,NA,NA
"B_mean_price_othr",0.0446902909765967,NA,NA,NA,NA,NA,NA
"asc_cba_psdn",-3.41234720293148,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-4.29054910444833,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-4.34172985249155,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-4.0390659015003,NA,NA,NA,NA,NA,NA
"asc_clo_nanc",-5.61920526995102,NA,NA,NA,NA,NA,NA
"asc_clw_nanc",-8.61116218308411,NA,NA,NA,NA,NA,NA
"asc_cwa_nanc",-4.82966903665168,NA,NA,NA,NA,NA,NA
"asc_clo_cmck",-5.34873228087517,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-9.87487910738746,NA,NA,NA,NA,NA,NA
"asc_nps_sock",-8.65070551421967,NA,NA,NA,NA,NA,NA
"theta_part",0.00369067876688179,NA,NA,NA,NA,NA,NA
"theta_nanc",13.3409867207477,NA,NA,NA,NA,NA,NA
"theta_psdn",1.03406534490566,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
