"B_mean_avail","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","c_msqd","c_psdn","B_d_d","B_unem_rate_part","B_unem_rate_nopart","w_cmck","w_jmck","w_msqd","w_psdn","w_nanc","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","lambda_part","lambda_laa","lambda_sba","lambda_mna","asc_no_participation","w_nopart","logLike"
1,1.5,-0.05,-0.0025,-0.01,2.8,0.15,-5,-1.5,-1,0.15,0,-1,-1,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,0.5,0.5,0.5,0,0,-1870.23659184877
1,1.5,-0.05,-0.0025,-0.01,2.8,0.15,-5,-1.5,-1,0.15,0,-1,-1,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,0.5,0.5,0.5,0,0,-1870.23659184877
1,1.5,-0.05,-0.0025,-0.01,2.8,0.15,-5,-1.5,-1,0.15,0,-1,-1,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,0.5,0.5,0.5,0,0,-1870.23659184877
1,1.5,-0.05,-0.0025,-0.01,2.8,0.15,-5,-1.5,-1,0.15,0,-1,-1,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,0.5,0.5,0.5,0,0,-1870.23659184877
1.00000000001374,1.50000000003801,-0.0499999991830076,-0.00249999427712975,-0.0099999969866277,2.80000000004142,0.150000000025269,-5,-1.49999999999951,-0.999999999997873,0.150000000406618,0,-1.00000000000093,-1.00000000000042,-1.00000000001115,-0.999999999999316,-0.99999999999682,-4.99999999999648,-5.0000000000056,-4.9999999999985,-5.00000000000586,-4.99999999999288,-5.00000000000213,-4.99999999997634,-4.99999999999842,-4.99999999999156,-4.99999999999351,-4.99999999999818,-4.99999999999963,-4.99999999998278,-5.0000000000001,0.500000000026993,0.500000000049436,0.500000000001475,0.500000000016572,0,0,-1870.23642906377
1.00000000003797,1.50000000009522,-0.0499999977891382,-0.00249998895476556,-0.009999991667748,2.8000000001062,0.15000000007182,-4.99999999999997,-1.49999999999849,-0.999999999994559,0.150000001088599,0,-1.00000000000315,-1.00000000000144,-1.00000000003834,-0.999999999997993,-0.999999999990409,-4.9999999999899,-5.00000000001844,-4.99999999999561,-5.00000000001964,-4.99999999998389,-5.00000000000749,-4.99999999992895,-4.99999999999839,-4.99999999998151,-4.99999999998031,-4.99999999999443,-4.99999999999897,-4.99999999994646,-5.00000000000103,0.500000000065972,0.500000000147962,0.500000000007798,0.500000000049368,0,0,-1870.23624627011
1.00001775463982,1.50002778289391,-0.0490503772252529,-0.00334253546359879,-0.00636644812867394,2.80003359525032,0.150034759358688,-5.00000005096456,-1.49999890323738,-0.999997123189273,0.150447654011751,0,-1.00000252282833,-1.00000119148852,-1.00003132384416,-0.999998804219507,-0.999994483580756,-4.99999417526644,-5.00001379856723,-4.9999976256436,-5.00001500925965,-4.99999850912239,-5.0000066043709,-4.99996009331562,-5.00000292221817,-4.99999587488357,-4.99998731834788,-4.99999649052923,-4.99999956966277,-4.99996579744229,-5.00000322610752,0.500114125807161,0.500002295354068,0.500008287419569,0.500029933715338,0,0,-1853.49783263281
1.00088395379503,1.49835968556022,-0.0195340891376542,-0.00396375232247836,-0.0129118185386557,2.79797053266607,0.150816058446981,-5.00000683462626,-1.49987074576049,-0.999326324456175,0.160808177996253,0,-1.00034408310908,-1.00016476304739,-1.00423960255556,-0.999873900663525,-0.999761899178864,-4.99925391786901,-5.00170891470188,-4.99982596659056,-5.00173607430305,-5.00091827043419,-5.0011020509238,-4.99835087835479,-5.00031451367104,-4.99870432257405,-4.9984948255708,-4.99962490968067,-4.99999565381376,-4.99710774791114,-5.00139647833645,0.516360717854012,0.498167581506915,0.50097245979239,0.503759840712074,0,0,-1845.73538155432
1.00349673511736,1.48281642323492,-0.0230165737401214,-0.00352330715043536,-0.010891454728338,2.778808649711,0.153349861830974,-5.00004783192806,-1.49907676490473,-0.997022149096333,0.159091018944362,0,-1.00295904571238,-1.00144733544661,-1.0308095712638,-0.999226551362319,-0.999111693932488,-4.99611508463059,-5.01366791934668,-4.99835334747434,-5.01394561558952,-5.00419356051077,-5.00699583466462,-4.98851745440512,-5.00177665207657,-4.99299960231505,-4.98986636155268,-4.99754857197126,-5.00039573676927,-4.9829736381078,-5.01057163152578,0.609010835584487,0.49103720545481,0.505689357274181,0.524201349557524,0,0,-1825.0635194035
1.01095916605479,1.41130007632409,-0.021908277058287,-0.00408266765204038,-0.0106331481306739,2.73730884146159,0.185880382286592,-5.00017337145851,-1.4954615299234,-0.992163165814869,0.160083670206195,0,-1.01579183503723,-1.00737970819669,-1.16305373261323,-0.996209923136077,-0.997475549892179,-4.98022403161782,-5.07227793015714,-4.99118378441466,-5.07201399864085,-5.01038175782672,-5.04472517325146,-4.9381815735128,-5.01273563448278,-4.95750291768749,-4.94430390244259,-4.9887274129585,-5.00343999638051,-4.91717398437947,-5.0604058692639,0.63987978455471,0.612934649150231,0.509426879216218,0.591415590110073,0,0,-1802.79937762378
1.01231990967564,1.39259104778197,-0.0225224620182926,-0.00398897504080882,-0.0105216460280338,2.73378644355402,0.200632475823282,-5.00022512297961,-1.4943554348615,-0.991247923049112,0.161561618876627,0,-1.02035572901255,-1.0092203313599,-1.20805393910581,-0.995639598967051,-0.997500012917491,-4.97462805007706,-5.0924927961725,-4.99029105365618,-5.09125471612333,-5.00697262098716,-5.05805466048967,-4.91947227537937,-5.01678427329219,-4.9437134474952,-4.93144399671408,-4.98669682687672,-5.00529130977971,-4.89680779828076,-5.07695052849785,0.635217259540698,0.603026218572354,0.508943148586488,0.599051856013505,0,0,-1796.06672217494
1.01222447134563,1.36222351833306,-0.00129574695667558,-0.00373830460524961,-0.0086710288891719,2.70110502740935,0.15935133888195,-5.00043355227565,-1.49151458152599,-0.974648472961239,0.112537631184553,0,-1.03488895411559,-1.01076688781465,-1.35121359813786,-0.999243512850719,-1.00668743633586,-4.95638045062764,-5.15346697574731,-4.98341785806616,-5.143384598894,-4.96869757817575,-5.08658169592764,-4.87751370008512,-5.02970619164226,-4.89854627968426,-4.89166443618475,-4.99078704098024,-5.02035191685787,-4.86815931342752,-5.11097954507888,0.635394367648887,0.601615086075724,0.496953206731197,0.514628066522305,0,0,-1786.41454500698
1.0113048814403,1.3078107359439,-0.0249783146940784,-0.00410097518592173,-0.0104733753805644,2.60680287026567,-0.00083660966012003,-5.00103525168282,-1.48342029443228,-0.911392172304597,0.207266795460894,0,-1.07310472750493,-1.0121273360467,-1.73623883590971,-1.01238372521918,-1.03503837996581,-4.90494366547929,-5.30930552776799,-4.96310117140768,-5.27771730220904,-4.84230133345765,-5.15480854946665,-4.78738907560805,-5.06385874904706,-4.77400940153399,-4.78344508710503,-5.00634662941186,-5.0646362422313,-4.8156319856439,-5.17797474492066,0.642447714294143,0.612233478554511,0.456866683515589,0.272122934687409,0,0,-1781.91368131762
