,Estimate,Std.err.,t-ratio(0),t-ratio(1),Rob.std.err.,Rob.t-ratio(0),Rob.t-ratio(1)
asc_sfa_nanc,-2.725588116,0.196339967,-13.88198316,-18.97518968,0.303130621,-8.991464174,-12.29037208
asc_laa_nanc,-2.812708006,0.140546085,-20.01270971,-27.12781361,0.238587756,-11.78898721,-15.98031712
asc_laa_cmck,-2.461980836,0.129091786,-19.07155302,-26.81797928,0.228427567,-10.77794974,-15.15570508
asc_laa_msqd,-2.0602555,0.146525752,-14.06070585,-20.88544475,0.238537525,-8.637028923,-12.82924145
asc_laa_ytna,-3.337996314,0.256811548,-12.99784352,-16.89174941,0.405112588,-8.239675621,-10.70812521
asc_mna_msqd,-2.272968467,0.147112644,-15.45053102,-22.24804328,0.24700425,-9.202143134,-13.25065646
asc_sba_msqd,-2.060473314,0.146620424,-14.05311248,-20.87344468,0.230445362,-8.941266142,-13.28068956
asc_laa_btna,-3.894551147,0.394983858,-9.860026102,-12.39177514,0.512388012,-7.600785067,-9.552431041
asc_sfa_msqd,-2.277221256,0.153807875,-14.805622,-21.30723968,0.270359865,-8.422926451,-12.12170031
asc_mna_psdn,-2.629635078,0.131813476,-19.94966794,-27.53614566,0.238275971,-11.03609006,-15.23290435
asc_sba_cmck,-2.509583457,0.139282377,-18.01795392,-25.1976131,0.235637852,-10.65017118,-14.89397154
asc_mra_msqd,-2.603897746,0.160991911,-16.17409056,-22.38558276,0.287833093,-9.04655443,-12.5207901
asc_laa_psdn,-2.665058227,0.135104638,-19.72588263,-27.12755304,0.248475604,-10.72563334,-14.75017331
asc_mna_nanc,-2.389067646,0.116112855,-20.57539323,-29.18770408,0.21480562,-11.12199785,-15.77736953
c_btna,-4.41046325,9.087816471,-0.485316056,-0.59535349,7.872464451,-0.560239208,-0.687264234
c_psdn,-0.410773763,0.104786526,-3.920100962,-13.46331263,0.242317404,-1.695188852,-5.822007568
w_nanc,-4.654122325,0.254439909,-18.29163649,-22.22183755,0.238756294,-19.49319222,-23.68156349
w_cmck,-3.729952508,0.185295469,-20.12975565,-25.5265417,0.260681606,-14.30846067,-18.14455794
w_msqd,-3.735823674,0.073715896,-50.67867111,-64.24426616,0.14731771,-25.35895837,-32.14700849
w_tuna,-3.053439876,0.154510996,-19.76195842,-26.2339897,0.147268995,-20.73375917,-27.52405471
w_psdn,-4.020203812,0.237253115,-16.9447883,-21.15969608,0.35320124,-11.38219055,-14.21343769
lambda_part,0.352300912,0.017493089,20.13943374,-37.02599806,0.035659282,9.87964126,-18.16354833
lambda_cmck,0.35,0.051971589,8.875007019,-10.36627493,0.071810054,6.423170507,-7.502456194
lambda_msqd,0.35,0.017502216,20.65186932,-36.48375257,0.037868764,9.544897697,-16.86209033
lambda_psdn,0.35,0.067235567,5.330313614,-9.542766973,0.06449205,5.557067212,-9.948719963
lambda_nanc,0.35,0.02563415,9.624019888,-29.38644013,0.048562974,5.08007545,-15.51174403
lambda_tuna,0.35,0.155063009,6.448961933,-2.94E-05,0.12694121,7.87762649,-3.59E-05
B_mean_avail,1.132818337,0.092332762,12.26886655,1.438474644,0.152871271,7.410276197,0.868824709
B_mean_price,0.299528527,0.084371574,3.55011186,-8.302221205,0.117897445,2.540585385,-5.941362608
B_wind_max_220_mh,-0.041436085,0.002892549,-14.32510968,-360.0409231,0.004181651,-9.909025471,-249.0490304
B_d_d,-0.998830504,0.073877837,-13.52002916,-27.05588845,0.10139068,-9.851304916,-19.71414438
B_d_cd,-1.199003018,0.27309147,-4.390481394,-8.05225816,0.227322003,-5.274469707,-9.673515937
B_dist_port_to_catch_area_zero,-0.003934678,0.000467521,-8.416053501,-2147.359533,0.000918207,-4.285176826,-1093.36464
B_dummy_prev_days,1.191173741,0.056474456,21.09225702,3.385136476,0.124364068,9.578118184,1.537210418
B_dummy_prev_year_days,0.149246252,0.014249009,10.47414962,-59.70616985,0.034671483,4.304582282,-24.53756441
B_unem_rate_part,0.194141152,0.010344357,18.76783158,-77.90323156,0.013775017,14.09371454,-58.50147913
asc_no_participation,0,NA,NA,NA,NA,NA,NA
B_unem_rate_nopart,0,NA,NA,NA,NA,NA,NA
w_nopart,0,NA,NA,NA,NA,NA,NA
B_dist_to_cog,-0.001492479,8.58E-05,-17.39677824,-11673.69544,0.000212359,-7.028098216,-4716.038623
