"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"asc_sfa_nanc",-3.2927589407061,NA,NA,NA,0.573806162450491,-5.73845168661848,-7.48120048480045
"asc_laa_nanc",-3.4202127433735,NA,NA,NA,0.566816552433282,-6.03407350877615,-7.79831274227614
"asc_laa_cmck",-2.90500763911336,NA,NA,NA,0.434951369167596,-6.67892515127133,-8.97803275475764
"asc_laa_msqd",-2.8036411613824,NA,NA,NA,0.45573408996387,-6.15192328843487,-8.3461852978432
"asc_laa_ytna",-3.68817721397331,NA,NA,NA,0.663934539066613,-5.55503140288243,-7.06120398641129
"asc_mna_msqd",-2.77185696027353,NA,NA,NA,0.422093242531746,-6.56693043377745,-8.9360752085242
"asc_sba_msqd",-2.76130902445531,NA,NA,NA,0.440097886940975,-6.27430648133436,-8.54652825215626
"asc_laa_btna",-4.03394213775788,NA,NA,NA,0.800418866869288,-5.03978892143811,-6.28913478445024
"asc_sfa_msqd",-2.86615743410705,NA,NA,NA,0.448197108353024,-6.39485927216092,-8.62602047637902
"asc_mna_psdn",-3.12729453484066,NA,NA,NA,0.504642380709275,-6.19705093029492,-8.17865223495447
"asc_sba_cmck",-2.99480835019296,NA,NA,NA,0.47179723141506,-6.34765986483355,-8.46721448155036
"asc_mra_msqd",-3.06837776822565,NA,NA,NA,0.503075730142626,-6.09923632641897,-8.08700862407383
"asc_laa_psdn",-3.28750741211352,NA,NA,NA,0.541566943741862,-6.07036203022116,-7.9168558230119
"asc_mna_nanc",-2.84628483781179,NA,NA,NA,0.424956982540524,-6.69781873166507,-9.05099809118916
"c_btna",-2.9002545017885,3.34641544885989,-0.866674967920258,-1.16550218028586,0.517030715168981,-5.6094433400163,-7.5435644099283
"c_psdn",-0.958831440753341,0.124465615707048,-7.70358492429046,-15.7379323568672,0.677295164667729,-1.415677374906,-2.89213852828008
"w_nanc",-3.19895075427884,0.119570886434561,-26.753592364054,-35.1168321945731,0.0973959873233443,-32.8447900390256,-43.1121534847095
"w_cmck",-3.28464528123874,0.146042298909403,-22.4910543436211,-29.3383856131758,0.160648472286362,-20.4461656839397,-26.6709369859503
"w_msqd",-3.08437810264178,0.0544082636492433,-56.6895154479843,-75.0690764361231,0.0426561602069933,-72.3079172544957,-95.751190046688
"w_tuna",-3.03767357641941,0.148278886465417,-20.4862178886667,-27.2302663761986,0.212624162336997,-14.2865869195284,-18.9897212623462
"w_psdn",-3.10538484666565,0.166883942556634,-18.6080505954718,-24.6002388472602,0.154848096613377,-20.0543946911994,-26.5123365185168
"lambda_part",0.31657218791208,NA,NA,NA,0.0715828266439882,4.42246000547768,-9.54737112417895
"lambda_cmck",0.171340858162585,0.011311909902361,15.1469433227031,-73.2554580959366,0.0342967638115306,4.99583165059381,-24.1614382742088
"lambda_msqd",0.289318175769048,NA,NA,NA,0.060536878509797,4.779205385065,-11.7396509652532
"lambda_psdn",0.0713676183971633,0.00515757973206899,13.8374241610675,-180.051968140939,0.0154876874548747,4.608022895936,-59.9593957657348
"lambda_nanc",0.0680068930526121,0.00245162391391056,27.739529161361,-380.153375751982,0.0144041366183478,4.72134462859688,-64.7031565751901
"lambda_tuna",0.316572187245596,0.025062822524552,12.6311466689546,-27.2685892454812,0.0537559406183182,5.88906423372525,-12.7135309119959
"B_mean_avail",0.966093769860312,NA,NA,NA,0.22074620267019,4.37649100267297,-0.153598248710745
"B_mean_price",0.320011241811009,0.0370734145539008,8.6318254107872,-18.3416814008421,0.116660164536888,2.74310638152598,-5.82879992402185
"B_wind_max_220_mh",-0.0153331327593796,0.00185117332780254,-8.28292657910159,-548.480856714075,0.00375773302553503,-4.08042100255284,-270.198315276753
"B_d_d",-0.480352889668131,0.0240638760964813,-19.9615759216101,-61.517640954135,0.0944109435842412,-5.08789417234794,-15.6798866049595
"B_d_cd",-0.969169487189723,0.249846759412021,-3.87905566384182,-7.88150901706264,0.454151807650743,-2.13402098343082,-4.33592788582288
"B_dist_port_to_catch_area_zero",-0.000871071290493588,0.000301765872556736,-2.88657986111341,-3316.71392397865,0.000329692892787924,-2.64206875412964,-3035.76781054333
"B_dummy_prev_days",1.13683309465529,NA,NA,NA,0.245512364674093,4.63045148933492,0.557336877256391
"B_dummy_prev_year_days",0.188553740608177,0.00369104012933064,51.0841751922027,-219.842166695429,0.0348850626936227,5.40499933350116,-23.2605647442383
"B_unem_rate_part",0.206921469981301,0.00859394391888818,24.0775913753078,-92.2834192896736,0.013488254689053,15.3408631992423,-58.7977131438924
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_unem_rate_nopart",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
