"asc_sfa_nanc","asc_laa_nanc","asc_laa_cmck","asc_laa_msqd","asc_laa_ytna","asc_mna_msqd","asc_sba_msqd","asc_laa_btna","asc_sfa_msqd","asc_mna_psdn","asc_sba_cmck","asc_mra_msqd","asc_laa_psdn","asc_mna_nanc","theta_part","theta_msqd","theta_psdn","theta_nanc","logLike"
-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,-2.75,0,0,0,0,-43395.5503473024
-2.75956240325952,-2.75375384730909,-2.75249963748971,-2.7493522952266,-2.76795083561108,-2.74915672633007,-2.74897782794946,-2.7741172637882,-2.75054688398014,-2.75198751459595,-2.76859246212323,-2.75508186664992,-2.7526134320004,-2.74904108178805,0.00651522655384402,0.0125732319496345,-0.0619581649682726,-0.00821192531295751,-43220.5105815239
-3.47591971519547,-2.9421758098335,-2.85944082724667,-2.72700250910964,-3.83848401505315,-2.72484475366707,-2.71674610572628,-4.37443518799843,-2.75893165705213,-2.82102370942632,-3.90586902710001,-2.92018009841151,-2.85616782857208,-2.73507461266819,-0.0861861637005639,0.419651870606517,-2.4931103538673,-1.53439162107561,-39166.4251381319
-3.47220790471618,-2.94253885437895,-2.91902261452291,-2.71503769964083,-3.86891774531013,-2.70808684969532,-2.69558396252381,-4.37672750006842,-2.77208759987547,-2.82475587933411,-3.92921592090777,-2.97596316104924,-2.85505824487012,-2.73903407542459,0.0228130487692677,0.71525449821414,-2.48348525784299,-1.53089303871441,-38224.0426314198
-3.46958613856273,-2.94666445941253,-3.00902150401505,-2.68691586842142,-3.96797316480304,-2.67030676427071,-2.64853204211486,-4.38741206191176,-2.7935758383435,-2.83120016421718,-4.01795613946145,-3.07549389889265,-2.85393623665225,-2.73945266991206,0.237488445844983,1.30759997792816,-2.52738842723634,-1.53502086173287,-36687.5395390857
-3.46475154309536,-2.94850530711912,-3.02760266821127,-2.67263575593674,-4.00315953582631,-2.65145524708357,-2.62526914719089,-4.39807617982023,-2.7990195533943,-2.83319634638741,-4.05099794006953,-3.09981590944124,-2.85359971265487,-2.73991701548122,0.320177147495892,1.58779846804509,-2.57127367236749,-1.5324243183111,-36141.5462705606
-2.94637168597264,-2.97505446344271,-3.19551650685947,-2.50907246031827,-4.52480159231638,-2.45580872866539,-2.39721621656136,-4.86505997540166,-2.77340367127499,-2.85302437622843,-4.57491804688549,-3.31675683621243,-2.85055451987276,-2.73584916867842,1.19332608309282,2.26587633848359,-3.82341229425157,-1.88405229219559,-33372.0254870746
-3.2011113854653,-2.9739544792902,-3.27577884878194,-2.1795194262038,-4.78951266386547,-2.06269922939637,-1.93962593032463,-5.19319769610171,-2.71651604886256,-2.85608333438659,-4.83948097578574,-3.92749470724972,-2.85213476096977,-2.73734344413764,1.73051345681535,3.08853291967072,-3.92948343601014,-2.07748134463838,-31501.1493168946
-3.22651728478998,-2.96732767101734,-3.32023042785123,-2.13354451701017,-4.84880820432738,-1.98630352293557,-1.82645513219308,-5.26584107667513,-2.75279491762305,-2.85479958646714,-4.89900492318823,-4.01065732048882,-2.85416024438369,-2.73405758467489,1.82227674271039,3.25489849674043,-3.96723699926091,-2.05362484630284,-31291.4656120386
-3.2248866111045,-2.96625303180518,-3.3284146678785,-2.12524562010069,-4.86001486272938,-1.97168422907045,-1.80366684240595,-5.27954073444731,-2.75965737954305,-2.85457898415619,-4.91024059577303,-4.03015147401148,-2.85451838954164,-2.73459710535085,1.83799996426246,3.34077122479339,-4.17874044640426,-2.04546879165266,-31253.659695273
-3.22034070236488,-2.96497588905067,-3.34253854420229,-2.10879448601255,-4.88092954488782,-1.94300246766062,-1.75894526684676,-5.30506084652541,-2.77246963152808,-2.85420676035271,-4.93122222507288,-4.07130339288614,-2.85509034537162,-2.73504590996581,1.86798129020116,3.55132065096051,-4.77834147149685,-2.02963352375279,-31186.4918187167
