"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"asc_sfa_nanc",-2.6281630052718,0.193743762396069,-13.5651490028312,-18.7266054937799,0.325780596732556,-8.06727911861906,-11.1368296382927
"asc_laa_nanc",-2.82945536812341,0.142556161343678,-19.8480047544357,-26.8627839865249,0.258781462622665,-10.9337637226709,-14.7980281482033
"asc_laa_cmck",-2.47162819299263,0.130667762520928,-18.9153632488103,-26.5683602903708,0.244050308000916,-10.1275356431156,-14.225051471681
"asc_laa_msqd",-1.98093657539081,0.144431879355474,-13.7153693784967,-20.6390485860407,0.264481828600613,-7.4898777956582,-11.2708558889021
"asc_laa_ytna",-3.04429321302501,0.232520979132346,-13.0925528715078,-17.3932400771592,0.425078090068066,-7.16172694889435,-9.51423587223094
"asc_mna_msqd",-2.1916152821546,0.144602254829626,-15.1561625697802,-22.0716840544087,0.27182464907741,-8.06260686657034,-11.7414491032625
"asc_sba_msqd",-1.96800426923837,0.144027012969324,-13.6641330585502,-20.6072750385411,0.25380245448232,-7.75407894794599,-11.694151166868
"asc_laa_btna",-3.22829882157991,0.335062508655648,-9.63491509250806,-12.6194328292499,0.590324777138561,-5.46868257373206,-7.16266534173857
"asc_sfa_msqd",-2.16264839163273,0.150151083054686,-14.4031487994335,-21.0631074201501,0.294300517031645,-7.34843558361873,-10.746322920298
"asc_mna_psdn",-2.65700505979141,0.134634919502907,-19.7348880186618,-27.1623815967926,0.253760219092268,-10.4705342283194,-14.4112622257065
"asc_sba_cmck",-2.47254158879712,0.133933965834331,-18.4609002906366,-25.9272662253013,0.231951676979485,-10.6597271509091,-14.9709699624385
"asc_mra_msqd",-2.53185131313352,0.159105164556046,-15.913068065378,-22.1982191652201,0.312027267561665,-8.11419890613616,-11.3190470202593
"asc_laa_psdn",-2.68403090209631,0.137511917744473,-19.5185329833289,-26.7906299506493,0.265266476123526,-10.1182438931576,-13.8880380059061
"asc_mna_nanc",-2.39642981992026,0.117636362374972,-20.3715056428004,-28.8722785314795,0.227752652956526,-10.5220720321431,-14.9128002498771
"c_psdn",-0.493171274927799,0.113780769778383,-4.33439917736869,-13.1232305585217,0.262839242843415,-1.87632284126463,-5.68092975301009
"w_nanc",-4.70810843268032,0.269323697526486,-17.4812260336553,-21.1942301591154,0.245665707508156,-19.1646953106958,-23.2352675128287
"w_cmck",-3.7580819421641,0.198766554295886,-18.907013584236,-23.9380410804987,0.2823971294927,-13.3077908720784,-16.8489033536267
"w_msqd",-3.73629785438081,0.0738695245780345,-50.5796927179874,-64.1170750920085,0.148506259151806,-25.1591944724801,-31.8929173856523
"w_tuna",-2.97615988655619,0.161591776826248,-18.4177681872779,-24.6062019036498,0.146568922492588,-20.3055315952581,-27.1282603360699
"w_psdn",-4.01972736210398,0.250346884043974,-16.0566302930213,-20.0510878386737,0.362245528949674,-11.0966928253307,-13.8572513970251
"theta_part",-0.473610325862032,0.0775196723029304,-6.10955015407268,-19.0095014863256,0.152611260611489,-3.10337732592177,-9.65597374635078
"theta_cmck",12,NA,NA,NA,NA,NA,NA
"theta_msqd",5.17851091090594,4.27926289137705,1.21014086826517,0.976455762819776,9.0049453827098,0.575074105485313,0.464024014951718
"theta_psdn",2.31290968280319,2.18250572132557,1.05974965389709,0.601560706107006,2.31831954673634,0.997666471845623,0.566319550146339
"theta_nanc",0.679444364523577,0.284065411783626,2.391858833701,-1.12845711649186,0.495987979717429,1.36988070741284,-0.646297185788752
"theta_tuna",12,NA,NA,NA,NA,NA,NA
"B_mean_avail",1.03318702209303,0.0839926890590254,12.300916111484,0.395117985444068,0.146591158465114,7.04808552515064,0.226391703568739
"B_mean_price",0.203131527850897,0.0807373619495128,2.51595448434296,-9.86988493192787,0.12953817090577,1.56812101352474,-6.15161127084901
"B_wind_max_220_mh",-0.0401264075667028,0.00281045519857991,-14.2775474901639,-370.091794415462,0.00370839157566647,-10.8204343440974,-280.479120487639
"B_d_d",-1.05909614686748,0.0756035153815621,-14.0085568974186,-27.2354550773924,0.102908909231548,-10.2915885007048,-20.0089201434877
"B_d_cd",-0.886173286913122,0.189676855013209,-4.67201592335242,-9.94414045288639,0.16811793378417,-5.27114072226697,-11.2193461129173
"B_d_c",0,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.00436256156944419,0.000488687172535991,-8.927104730016,-2055.22595642814,0.000891679409886565,-4.89252249303276,-1126.37182201753
"B_dummy_prev_days",1.26097619884215,0.0580492089977199,21.722538870283,4.49577528011455,0.124233796603161,10.150025462637,2.10068601280685
"B_dummy_prev_year_days",0.160802103144375,0.0148999184546364,10.7921465230797,-56.3223147435744,0.0365395523494936,4.40076828545502,-22.9668357408668
"B_unem_rate_part",0.189128703733694,0.0102276121158363,18.4919707153198,-79.2825624478627,0.0141348311729141,13.3803298688216,-57.3668893775072
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_unem_rate_nopart",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.0015590672382542,8.75988414523939e-05,-17.7978065965802,-11433.4738979688,0.000216179155306335,-7.21192214876099,-4633.00481408118
