"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",0.592318736759321,0.0631265971516838,9.38302971307114,-6.45815364102521,0.131779608116631,4.49476778102945,-3.09365970249252
"B_mean_price",-0.0327871337005558,0.0491368547193702,-0.667261547117928,-21.018584514597,0.109674606533881,-0.298949180095096,-9.41683007890717
"B_wind_max_220_mh",-0.0256131508061992,0.00230929093333845,-11.0913486197996,-444.124703388287,0.00433116217451832,-5.91369008458977,-236.798602656863
"B_dist_to_cog",-0.00222701700245732,0.000100084221840565,-22.251429461129,-10013.836332754,0.000313477551206517,-7.1042312085377,-3197.12532251535
"B_dist_port_to_catch_area_zero",-0.00397645803847676,0.000312649227918028,-12.7185922222054,-3211.19122770296,0.000717500845700677,-5.54209526344675,-1399.26867550663
"B_dummy_last_day",0.919031080368805,0.0379614894838151,24.2095632406793,-2.13292262058676,0.101531877327313,9.05165062009127,-0.797472889919804
"B_unem_rate_part",0.130315152975473,0.00922882754969096,14.1204451241303,-94.2356807884713,0.0119014795307351,10.9494918374593,-73.0736749812155
"B_d_d",-1.13431056090483,0.0619076480821327,-18.3226240383086,-34.4757170886746,0.137889218952774,-8.22624545645826,-15.4784440517849
"B_d_cd",-1.66200858699664,0.6390492345292,-2.60075201908516,-4.16557667729279,2.4584155952619,-0.676048667361138,-1.08281471697752
"w_cmck",-3.17815367703241,0.10004638577165,-31.7668014943224,-41.7621650677996,0.140403439270182,-22.6358677077461,-29.7582003599803
"w_msqd",-3.35289953069183,0.0662869586141799,-50.5815864958781,-65.6675101965031,0.122039077077011,-27.4739830142769,-35.6680797245377
"w_psdn",-3.98708543017091,0.241235747475861,-16.5277554089279,-20.6730780257596,0.419493960294405,-9.50451212068164,-11.8883366679962
"c_psdn",-0.421956087407543,0.0692323548684079,-6.09478166977807,-20.5388952912305,0.0997786477948528,-4.22892168548019,-14.2511060114897
"w_nanc",-4.04603351558536,0.182331678628327,-22.1905131682189,-27.6750236357524,0.181899331047307,-22.2432567084763,-27.7408030394187
"w_tuna",-3.17410910594746,0.135735838864411,-23.3844586109505,-30.7517096506624,0.15450029440827,-20.5443563593466,-27.016835935065
"c_btna",-4.42338038354872,1308.99877952633,-0.00337920894406743,-0.00414315159675795,2.07956030413022,-2.12707483152252,-2.60794571466733
"asc_sfa_nanc",-1.09815918615365,0.120811411542601,-9.08986305293195,-17.3672268154385,0.221126637996427,-4.96620034611747,-9.4884958463826
"asc_laa_nanc",-1.44924128572573,0.0906542447211638,-15.9864691408916,-27.0173922165382,0.153350159655299,-9.45053653014339,-15.9715600637856
"asc_laa_cmck",-1.148452582314,0.0831196855236499,-13.8168542756003,-25.8476986381607,0.133027484259107,-8.63319778397881,-16.1504413488667
"asc_laa_msqd",-0.573703819077511,0.0930139810079206,-6.16793102349481,-16.9190029501425,0.156530236999599,-3.66513096813992,-10.0536730106755
"asc_laa_ytna",-1.1793828165724,0.147605562361978,-7.99009737641299,-14.7649098157143,0.329504752557605,-3.57925889510872,-6.61411648741364
"asc_mna_msqd",-0.776769028243418,0.0925024362363411,-8.39728184302946,-19.2078079295536,0.151898072830649,-5.11375170051984,-11.6971136969219
"asc_sba_msqd",-0.546266880596729,0.0935723394603864,-5.83790983261661,-16.5248286995254,0.135677393086247,-4.02621887236204,-11.3966435043
"asc_laa_btna",-1.1122423640467,0.203023907688492,-5.47838122470413,-10.4039095104385,0.43367311177269,-2.56470215434911,-4.87058640876456
"asc_sfa_msqd",-0.771637614305874,0.0960273250350846,-8.03560459508737,-18.4493071493826,0.166246269275713,-4.64153341706661,-10.656705994212
"asc_mna_psdn",-1.35528495790602,0.086912107170386,-15.593741793063,-27.0996186214727,0.141901812099792,-9.5508643466295,-16.5979907025407
"asc_sba_cmck",-1.25838408544128,0.0878700065383198,-14.3209740731327,-25.7014216159914,0.120435219757192,-10.4486385957388,-18.751857554579
"asc_mra_msqd",-1.3038787915759,0.100708984227623,-12.9469957578846,-22.8765964550755,0.192453050393462,-6.77504871401195,-11.9711212000315
"asc_laa_psdn",-1.33184644952669,0.0874958456844259,-15.2218249804717,-26.6509390392892,0.157337541562662,-8.46489932598992,-14.8206615304078
"asc_mna_nanc",-1.21317792679031,0.078899503350081,-15.3762428821305,-28.0505938924651,0.125352480043275,-9.67813262546932,-17.6556373358251
"lambda_part",0.274909449311045,0.0142794987508645,19.252037771592,-50.7784316060153,0.0407003404514419,6.75447542359085,-17.8153436223472
"lambda_cmck",0.274909449324635,0.0283738094602856,9.68884526095875,-25.5549242229974,0.0427629004730282,6.42869043688999,-16.9560657171209
"lambda_msqd",0.247173190551861,0.0107669855721995,22.9565823130725,-69.9199236777981,0.0316029582937287,7.82120421305337,-23.8214031247046
"lambda_psdn",0.196239109529538,0.0316000060095448,6.21009722182533,-25.435466380218,0.0298836483186162,6.56677215034983,-26.8963441779548
"lambda_nanc",0.163309863939568,0.0187519876385259,8.70893619853124,-44.6187440067129,0.0297143984237536,5.49598418957117,-28.1577343121166
"lambda_tuna",0.206203790082629,0.0400514176840054,5.14847668338535,-19.8194285201139,0.101969075871194,2.02221887685932,-7.7846759239054
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_unem_rate_nopart",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
