"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",1.88332855405389,0.258032555183324,7.29880209385145,3.42332212083204,0.639731652009189,2.94393523931318,1.38077981803721
"B_wind_max_220_mh",-0.0488794491384071,0.00528913871792825,-9.24147611646554,-198.308175503714,0.0104004992896849,-4.69972140538343,-100.848951567035
"B_dist_to_cog",-0.000521311001868136,7.69234767692042e-05,-6.77700779740158,-13006.7094341531,0.000198772036640922,-2.62265764680911,-5033.51139279862
"B_dist_port_to_catch_area_zero",0.00190956072206877,0.00117281123272601,1.62819102408348,-851.023942666399,0.00144694116531485,1.31972243781817,-689.793381516486
"B_dummy_prev_days",1.9911828278399,0.107658041328423,18.4954398507546,9.20677002488078,0.292493408736506,6.80761606369622,3.38873560303991
"B_dummy_prev_year_days",0.296605922544893,0.0458207774677469,6.47317524792488,-15.3509852151728,0.0970159770149655,3.05728944521312,-7.25029112830151
"B_unem_rate",0.198830933170951,0.0192091871162216,10.3508249447497,-41.7075986600435,0.0337308527173377,5.89463109151556,-23.7518177658535
"B_d_d",-0.409115696080239,0.235381096467944,-1.73809920260931,-5.98652872819863,0.771963525377555,-0.529967650842242,-1.82536564197261
"B_d_cd",-6.04473865307876,33.2758642137842,-0.181655346777584,-0.211707158312076,1.60160303967059,-3.77418030770097,-4.3985547470787
"B_d_pd",-1.28448657780136,0.446348467883292,-2.87776629746877,-5.11816829714915,0.707499218880756,-1.81553073632135,-3.22895985866296
"B_d_pcd",-5.98200929525954,33.6469829952157,-0.177787390212969,-0.207507736912172,1.83764149550081,-3.25526459317859,-3.79944037634868
"B_mean_price_part",0.154774651408586,0.0600852277538046,2.57591852764153,-14.0671073438329,0.0977538294434922,1.58331036533004,-8.64646790210921
"B_mean_price_crab",0.00816066999696981,0.0551719535953579,0.147913377453004,-17.977237805958,0.0511142987742939,0.159655325274147,-19.4043419118926
