"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",2.31261739362011,0.294993779349276,7.83954630745599,4.44964431628218,0.492808312583228,4.69273211220345,2.66354556143658
"B_wind_max_220_mh",-0.0681774036957891,0.00582270908395334,-11.7088803017272,-183.450244258219,0.00702766617767996,-9.70128659672569,-151.996036335412
"B_dist_to_cog",-0.00088191762763201,8.33904958768767e-05,-10.5757570854853,-12002.3499932822,0.000169121999066144,-5.21468308381979,-5918.10600131437
"B_dist_port_to_catch_area_zero",-0.00467660282136758,0.00191664090905598,-2.43999947996048,-524.186141532484,0.0026149378272932,-1.78841836029749,-384.206688333137
"B_dummy_prev_days",2.5696915102218,0.118745262151393,21.640370854928,13.2189822295439,0.237710042616817,10.8101933007689,6.603387441868
"B_dummy_prev_year_days",0.380069117042722,0.0520133941346245,7.30713931221259,-11.9186777419818,0.0933785229224633,4.07019842623032,-6.63890221814749
"B_unem_rate",0.38433413000317,0.0394413126272202,9.7444558611856,-15.6096698863904,0.0683462240752908,5.62334108728207,-9.00804511626871
"B_d_d",-1.8027121709452,0.242452400049573,-7.43532409073538,-11.5598450267852,0.273411102082696,-6.59341247379178,-10.250908429086
"c_psdn",-1.98620582133304,0.306101754771411,-6.48871099355927,-9.75559850535016,0.951183208509918,-2.08814222492904,-3.13946440035574
"c_dcrb",-1.97020355907441,1.05986126435096,-1.85892590411908,-2.80244562093068,0.611873597592035,-3.21995190972113,-4.8542763910117
"B_mean_price_part",3.84576071790482,0.552233699157888,6.96400948324831,5.15318192686245,1.11770978255286,3.44075070106399,2.54606406987428
"B_mean_price_crab",0.0908082216960218,0.0562745750589075,1.6136633924106,-16.1563508449819,0.0387133259574677,2.34565797306561,-23.4852406972953
"asc_mna_msqd",-8.01753758041278,0.752714231500456,-10.651502582103,-11.9800280146654,1.37673858071404,-5.82357296637573,-6.54992727503566
"asc_sba_msqd",-7.83815915827338,0.782503567926204,-10.0167711427133,-11.2947205872765,1.43011502202557,-5.48078933341435,-6.18003378899921
"asc_mra_msqd",-8.77294578941331,0.805602981822758,-10.8899122612029,-12.1312184909011,1.42518411561647,-6.15565785029713,-6.85732157854283
"asc_laa_msqd",-8.21178573611622,0.801730883193524,-10.2425713019889,-11.4898726358439,1.52105033833892,-5.39876000756424,-6.05620044513191
"asc_npa_msqd",-8.30597055381695,0.79758915871008,-10.4138458542365,-11.6676241799315,1.73966805834205,-4.77445712358068,-5.3492794267234
"asc_sfa_msqd",-8.48022364998578,0.771276656931655,-10.9950477222044,-12.2915993434842,1.36559076920122,-6.2099304134475,-6.94221421512033
"asc_cba_msqd",-8.06923318135828,0.75711117219473,-10.6579237999712,-11.9787337902678,1.37773419392949,-5.85688677606507,-6.58271618815788
"asc_laa_psdn",-7.1147889358664,0.551909311757014,-12.8912282947652,-14.7031201739156,0.958572405731075,-7.42227597344633,-8.46549398600463
"asc_clo_psdn",-5.41253460976604,0.449878984828849,-12.0310901204358,-14.2539101091944,0.838768913645208,-6.45295089233063,-7.645174380507
"asc_cwa_psdn",-4.06423706537317,0.449200317763612,-9.04771636317485,-11.2738946637126,0.788309970306913,-5.15563321340569,-6.42416975063948
"asc_clw_psdn",-4.33295265456364,0.500919111835239,-8.65000466580086,-10.6463349641923,0.889131921681077,-4.87323933480124,-5.99793183049896
"asc_sba_cmck",-6.52374093452742,0.525356352434063,-12.4177444591692,-14.3212143522557,0.889532358793963,-7.33389951476569,-8.45808571228166
"asc_laa_cmck",-7.56311066032796,0.607233975423189,-12.4550189324587,-14.1018306071564,1.10389696106786,-6.85128316053316,-7.75716481006016
"asc_laa_nanc",-6.70425315941615,0.497323699378643,-13.4806629319947,-15.4914257435185,1.0945527788356,-6.12510724841267,-7.03872239729916
"asc_cwa_albc",-17.064199033079,2.01538929042063,-8.46694934531359,-8.96313140043967,4.03373038170214,-4.23037670303544,-4.47828618269135
"asc_cwa_dcrb",-5.96580912789255,0.629942253397696,-9.47040636775036,-11.0578534624743,0.73666460552666,-8.09840609028235,-9.45587595173317
"asc_clw_dcrb",-5.59362903348862,0.574029538714275,-9.7444968529274,-11.486567482672,0.636194767632498,-8.79232165694235,-10.3641673414351
"lambda_part",0.6685008630432,0.0427657085828237,15.6317031845392,-7.75151746439067,0.0600142201300401,11.1390410738435,-5.52367649264624
