"asc_mna_msqd","asc_sba_msqd","asc_mra_msqd","asc_laa_msqd","asc_npa_msqd","asc_sfa_msqd","asc_cba_msqd","asc_laa_psdn","asc_clo_psdn","asc_cwa_psdn","asc_clw_psdn","asc_sba_cmck","asc_laa_cmck","asc_laa_nanc","asc_cwa_albc","asc_cwa_dcrb","asc_clw_dcrb","theta_part","theta_psdn","logLike"
-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,-17023.2147465018
-7.89123651811013,-7.87716983212213,-8.09038239749503,-7.92117795134075,-8.3720267258215,-7.96345234458406,-8.13747051951116,-8.13438639158958,-7.95946455169354,-7.98733360857838,-7.99441447116326,-8.33508022521181,-8.17676727159506,-8.25312419157753,-8.08289548368182,-7.63099782853021,-7.62082420116419,0.44455097271539,0.467455149224898,-16175.9827597581
-7.47148241436709,-7.45094659737988,-7.75971706610842,-7.51578372110737,-8.16184311651777,-7.57650942833151,-7.82737564086703,-8.76227698751576,-8.25320402417811,-8.33428074561774,-8.35488138028077,-8.10936474728982,-7.88418144200126,-8.00269311645219,-7.74901358557433,-6.70348708360796,-6.66357625092437,1.49734483927004,4.28749315368219,-14737.4889709116
-6.17310577910625,-6.11894022075671,-6.88538559973533,-6.28727733470255,-7.77432263226569,-6.44207347843384,-7.04301750656857,-9.52273502174064,-8.22162885384181,-8.46041544831122,-8.5200059230488,-7.664691912082,-7.17216983860342,-7.42757269844221,-6.86049351753171,-4.25722726836276,-4.08303339656313,4.99159018015909,5.52560959010075,-12453.5510785698
-4.31204209284232,-4.22061688591331,-5.42717870050374,-4.50025519960755,-6.72266216079408,-4.74915233452556,-5.6621588547496,-9.2561371253894,-7.18238349654294,-7.54820465151832,-7.64018251385524,-6.56482571090312,-5.85123336421313,-6.2174188887056,-5.39162851488758,-3.90078106360456,-2.98370372006527,6.66383321441712,10.5382750479987,-10076.2812016242
-2.52717177949735,-2.30722502573363,-4.28189176707772,-2.92676143205232,-5.58803693208628,-3.37454605769775,-4.54748195431323,-8.28082603761029,-5.64164848054214,-6.10162268138012,-6.21705218611714,-5.43565498284923,-4.74082209579112,-5.09337226414097,-4.2522990217755,-5.88715590514364,-6.63506792721235,11.1553808529778,15.7446161627146,-8159.00314826343
-2.51792857562668,-1.81057933949738,-4.9803911151123,-3.43621960956946,-5.73404067789339,-4.12213583620401,-5.16106115754198,-7.36588043093162,-4.69953660034976,-5.20032382485861,-5.320968431948,-5.65788023703889,-5.28203187463086,-5.47061375877295,-4.95458411936532,-5.32729772367518,-5.77393865400534,12.9537450847347,14.792191108605,-7565.94488036313
-2.51679261967217,-1.6110417781512,-4.82464934633561,-3.34492451568582,-5.7259589643991,-3.94852605209528,-5.03538815137417,-6.49094174485753,-3.75507647101365,-4.3593693925094,-4.49260007875867,-5.63876036585031,-5.1807468837828,-5.42140969092868,-4.79766753256683,-5.06738219247647,-5.03413417248685,13.3990603067955,11.9597503196425,-7214.42719515765
-2.5158987048146,-1.59793823673481,-4.81825756200592,-3.34418834225486,-5.72620653731644,-3.93970259991557,-5.03302683248025,-5.87146314677483,-2.98743431079009,-3.80272546769461,-3.95848330527711,-5.63937423056206,-5.18028893959375,-5.42498604595398,-4.79197230596835,-5.04083234526761,-4.62357940740329,14.4458757919675,127.686557951513,-7034.05276711867
-2.51597003522382,-1.59824573336364,-4.81845327684106,-3.34399699453916,-5.72668832708108,-3.93994389121339,-5.0335741216466,-5.59768453787952,-2.5193631939243,-3.59551913175424,-3.77125991088347,-5.63984529190382,-5.18058832960985,-5.42160275577203,-4.79259381637771,-5.03787336233952,-4.51990677007302,15.5667539455404,127.686557951513,-6987.72789079214
-2.51659443410604,-1.5988648810681,-4.81907456157442,-3.34430943497555,-5.72722237746237,-3.94056464014663,-5.03410630092979,-5.56078434242586,-2.38472657522661,-3.57826278415043,-3.75820231504461,-5.64037931611896,-5.18087946822142,-5.41751496244422,-4.7931246399342,-5.03434592732152,-4.51403494986612,16.8682783193558,127.686557951513,-6984.82152828104
-2.51672757243139,-1.59899752224223,-4.81920829630813,-3.3444233323263,-5.72723542364356,-3.94069739268079,-5.03411997505821,-5.56038053727354,-2.37591357858975,-3.57911558629063,-3.7590868252756,-5.64039322428751,-5.1808787633417,-5.41723224399925,-4.79313798075731,-5.03419772742968,-4.51434135046486,16.9517654384442,127.633733845843,-6984.80995918668
-2.51672220748838,-1.598992797328,-4.81920255195624,-3.34442186391281,-5.72722682834465,-3.94069206169663,-5.03411142984192,-5.5603849480931,-2.37594170624083,-3.57913160330814,-3.75910291649934,-5.64038507783156,-5.18087304198575,-5.41728359476677,-4.79312998446767,-5.03424724865677,-4.5143956714386,16.9518951223846,127.632803537435,-6984.8099589285
