"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",2.31323453494598,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.0685853940785419,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.000865750474839963,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.00469618809134854,NA,NA,NA,NA,NA,NA
"B_dummy_prev_days",2.51748720732211,NA,NA,NA,NA,NA,NA
"B_dummy_prev_year_days",0.383241654618429,NA,NA,NA,NA,NA,NA
"B_unem_rate",0.38179264980947,NA,NA,NA,NA,NA,NA
"B_d_d",-1.72688355243879,NA,NA,NA,NA,NA,NA
"c_dcrb",-1.64107116064984,NA,NA,NA,NA,NA,NA
"B_mean_price_part",3.81225502938586,NA,NA,NA,NA,NA,NA
"B_mean_price_crab",0.0885086504956761,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",-7.91782823929665,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-7.7360837212188,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-8.66220468702802,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-8.09303163120687,NA,NA,NA,NA,NA,NA
"asc_npa_msqd",-7.9497464480212,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-8.35500313078954,NA,NA,NA,NA,NA,NA
"asc_cba_msqd",-7.74139435920654,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-7.0419513034681,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-5.46598029769538,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-4.07860955847112,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-4.36767894161535,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-6.40530979022625,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-7.43781480435489,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-6.5980459581404,NA,NA,NA,NA,NA,NA
"asc_cwa_albc",-16.9400726420195,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-5.98160647898006,NA,NA,NA,NA,NA,NA
"asc_clw_dcrb",-5.58862360990224,NA,NA,NA,NA,NA,NA
"theta_part",0.614213027569979,NA,NA,NA,NA,NA,NA
"theta_cmck",34.6458984141419,NA,NA,NA,NA,NA,NA
"theta_msqd",32.9205287136079,NA,NA,NA,NA,NA,NA
"theta_psdn",0.0936044306836669,NA,NA,NA,NA,NA,NA
"theta_part_crab",55.1122250896384,NA,NA,NA,NA,NA,NA
"w_nanc",-34.2455045441778,NA,NA,NA,NA,NA,NA
"w_msqd",-3.69591893671849,NA,NA,NA,NA,NA,NA
"w_psdn",-0.590034737738433,NA,NA,NA,NA,NA,NA
"w_albc",-0.37755258033932,NA,NA,NA,NA,NA,NA
"w_cmck",-3.32366730773018,NA,NA,NA,NA,NA,NA
"w_dcrb",-0.458094587676092,NA,NA,NA,NA,NA,NA
"B_d_cd",-24.9585724672312,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_mean_price_no_part",0,NA,NA,NA,NA,NA,NA
