"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_msqd",1.6362075851084,0.273561027449422,5.98114285636287,2.32565139501103,0.454607634620765,3.59916433535773,1.39946524575885
"B_mean_avail_psdn",0.113620943925628,0.346654097814602,0.327764606395608,-2.5569553675042,0.721848650869974,0.1574027239487,-1.22792922727792
"B_mean_avail_cmck",-1.97355492306512,0.991981179955593,-1.98950843316752,-2.99759207447689,2.03643832984636,-0.969120888239228,-1.46017430505222
"B_mean_avail_nanc",11.6699885615741,0.489794542999437,23.8262935517995,21.7846211520293,0.677900109136793,17.2149088107304,15.7397652216943
"B_mean_avail_albc",-2.67968022633991,0.980697837789229,-2.7324218766309,-3.75210394532423,1.37346331254136,-1.95103880960723,-2.67912523963329
"B_mean_avail_dcrb",5.87839182056272,0.720284440656208,8.1612089457427,6.7728685297135,0.580946706683219,10.1186421283357,8.3973138403947
"B_wind_max_220_mh",-0.0689097082110158,0.0056630639437251,-12.1682730224811,-188.751128158355,0.00612555138113353,-11.2495519053607,-174.50016197778
"B_dist_to_cog",-0.00092963783463879,8.06866716744287e-05,-11.5215786615897,-12405.1422256379,0.000168872144948144,-5.50498032061033,-5927.14469364972
"B_dist_port_to_catch_area_zero",-0.00506600501695527,0.0015211504690185,-3.33037731646892,-660.727538456771,0.000989330951998652,-5.12063734256054,-1015.90474146848
"B_dummy_prev_days",2.77421986438653,0.101094438604311,27.4418642873618,17.5501233191563,0.168908151968456,16.4244284959356,10.5040511290294
"B_dummy_prev_year_days",0.370771095748009,0.0532904643993495,6.95755047224798,-11.8075327611458,0.0968502152219003,3.828293978475,-6.496928301195
"B_unem_rate",0.442808443366888,0.0153547214170897,28.8385853014595,-36.287962607577,0.0276727788591804,16.001589345986,-20.1350055760036
"B_d_d",-2.03210816543364,0.117464766265794,-17.2997251008484,-25.8129161775432,0.118046121574209,-17.2145271554405,-25.6857923411531
"c_psdn",-2.0336718118746,0.318841840517739,-6.3783090969877,-9.51466033111741,0.978495510721443,-2.0783660114855,-3.10034310697846
"c_dcrb",-1.49546237911287,1.01775929951373,-1.46936744260394,-2.45191803239249,0.750612482749424,-1.99232282100496,-3.32456818460069
"B_mean_price_part",5.13535671136209,0.143192352650325,35.8633447688551,28.8797315975428,0.237071790618233,21.6616101728938,17.4434786212984
"B_mean_price_crab",-0.0297070147802595,0.0553959601504652,-0.536266808979752,-18.5881246932699,0.0419225864800905,-0.708615981849489,-24.5621060444178
"asc_mna_msqd",-9.569094,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-9.477997,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-10.516949,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-9.984531,NA,NA,NA,NA,NA,NA
"asc_npa_msqd",-10.014414,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-10.001498,NA,NA,NA,NA,NA,NA
"asc_cba_msqd",-9.781821,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-7.896198,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-5.634865,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-4.053051,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-4.473406,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-7.459976,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-8.743552,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-12.205574,NA,NA,NA,NA,NA,NA
"asc_cwa_albc",-19.579248,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-7.102633,NA,NA,NA,NA,NA,NA
"asc_clw_dcrb",-7.240661,NA,NA,NA,NA,NA,NA
"theta_part",1.0584662295581,0.138383044288009,7.64881445558581,0.422495616127766,0.268163679501817,3.94709019328967,0.218024415784846
"theta_cmck",10.400237,NA,NA,NA,NA,NA,NA
"theta_msqd",5.558108,NA,NA,NA,NA,NA,NA
"theta_psdn",0.125401,NA,NA,NA,NA,NA,NA
"theta_part_crab",10.456592,NA,NA,NA,NA,NA,NA
"w_msqd",-3.96089042232279,0.216831873118594,-18.2671042100735,-22.8789723160741,0.268822210133326,-14.7342379945405,-18.4541687231214
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
