"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_msqd",1.78709307196092,0.254889303665664,7.01125173265423,3.08798000010758,0.384661063619381,4.64589021604025,2.04619896943804
"B_mean_avail_psdn",0.220476805494645,0.32547151746683,0.677407372573285,-2.39505810085148,0.607510714265006,0.362918382042674,-1.28314312192577
"B_mean_avail_cmck",-1.45683587985604,0.967530622328472,-1.50572586152364,-2.5392848796283,1.68212872884421,-0.866066820496569,-1.46055164371643
"B_mean_avail_nanc",4.19902024198693,0.473575327042214,8.86663641919976,6.7550399256796,0.871948016990364,4.81567726534933,3.66881990629297
"B_mean_avail_albc",2.27093894735568,0.900461843434888,2.52197132384088,1.41143009736823,1.04729087081337,2.16839372006746,1.21354915121968
"B_mean_avail_dcrb",5.74241250083776,0.718707148859669,7.98991983027984,6.59853252936508,0.576506054122393,9.96071499991332,8.22612783842672
"B_wind_max_220_mh",-0.0662279178338945,0.00558537159394132,-11.8573879499324,-190.896505254991,0.00597637748303532,-11.0816155809921,-178.407056927129
"B_dist_to_cog",-0.000887887385986692,8.07486107811095e-05,-10.9956985934228,-12395.1096830527,0.000162387137141057,-5.46771992916798,-6163.59094080566
"B_dist_port_to_catch_area_zero",-0.00576357003502865,0.0014718502617659,-3.91586711280917,-683.332806442098,0.00114314536832481,-5.04185223920797,-879.821235254532
"B_dummy_prev_days",2.85718884428887,0.100594476358893,28.4030390902897,18.4621354125144,0.15148868311896,18.860741181869,12.2595880170829
"B_dummy_prev_year_days",0.371237643573358,0.0536545874354544,6.91902894640557,-11.7187063861601,0.101937734506057,3.64180786803046,-6.1681021210971
"B_unem_rate",0.417203031239652,0.0153231757336929,27.2269298799659,-38.0336934646571,0.0264270283733181,15.7869823782714,-22.0530647838092
"B_d_d",-2.01370465382638,0.116624533307977,-17.2665613032609,-25.8410865050831,0.120206001938508,-16.7521140488185,-25.0711662082237
"B_d_c",-0.909442,NA,NA,NA,NA,NA,NA
"B_d_cd",-9.885604,NA,NA,NA,NA,NA,NA
"c_psdn",-2.02995875741236,0.320031736968953,-6.34299203147247,-9.46768213087037,0.994139220290587,-2.04192603609281,-3.04782136703821
"c_dcrb",-1.48688703053304,1.01747068306467,-1.46135614055676,-2.44418544133617,0.735348475864998,-2.0220168795264,-3.38191634599866
"B_mean_price_part",4.59107972291063,0.135483978338774,33.8865139568811,26.5055674253324,0.177481805903374,25.8678893847301,20.2335090328397
"B_mean_price_crab",-0.0382650217147692,0.0551094819223994,-0.694345516959329,-18.8400432284369,0.04009598978028,-0.95433538177897,-25.8944853937839
"asc_mna_msqd",-9.029365,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-8.888468,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-9.946981,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-9.389892,NA,NA,NA,NA,NA,NA
"asc_npa_msqd",-9.545131,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-9.460032,NA,NA,NA,NA,NA,NA
"asc_cba_msqd",-9.295058,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-7.649731,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-5.486854,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-3.982644,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-4.326057,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-7.286376,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-8.460761,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-8.756927,NA,NA,NA,NA,NA,NA
"asc_cwa_albc",-19.907392,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-6.945807,NA,NA,NA,NA,NA,NA
"asc_clw_dcrb",-7.086131,NA,NA,NA,NA,NA,NA
"theta_part",1.10178784702598,0.140607908621977,7.83588816464173,0.723912673359174,0.273756430229038,4.0247012503201,0.37181901787957
"theta_cmck",10.761289,NA,NA,NA,NA,NA,NA
"theta_msqd",11.124362,NA,NA,NA,NA,NA,NA
"theta_psdn",0.143028,NA,NA,NA,NA,NA,NA
"theta_part_crab",10.694908,NA,NA,NA,NA,NA,NA
"w_msqd",-3.93788474177142,0.217100379992551,-18.1385437552276,-22.7447079638499,0.273573272995353,-14.3942597120528,-18.0495875481788
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
