"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_msqd",1.67329061325309,0.25613224467892,6.53291667884567,2.62868353063908,0.417967613200221,4.00339777630457,1.61086790456792
"B_mean_avail_psdn",-0.300537448661813,0.33088123134544,-0.90829403481049,-3.93052650152904,0.614446133692378,-0.489119276991458,-2.11660124028533
"B_mean_avail_cmck",-2.73026919514568,1.0192063920671,-2.67881875191962,-3.65997429390152,1.7873096592749,-1.52758598991365,-2.08708612734686
"B_mean_avail_nanc",10.5496810305575,0.419933611882554,25.1222591667847,22.7409303764623,0.732462626145617,14.4030297983561,13.0377724264378
"B_mean_avail_albc",-1.62987935303907,0.915824555164251,-1.77968514149171,-2.87159733620312,1.23576135875586,-1.31892726819036,-2.12814499693273
"B_mean_avail_dcrb",5.7084571190331,0.721172872971414,7.91551836318083,6.52888828115937,0.57049171895063,10.0062050498004,8.25333122747846
"B_wind_max_220_mh",-0.0666662342913568,0.00562918910998294,-11.8429551732645,-189.488434915023,0.00618237022636218,-10.7832808211786,-172.533542191148
"B_dist_to_cog",-0.000899999752574869,8.14317133585521e-05,-11.0522020900147,-12291.2801225919,0.00015935872444279,-5.64763401390034,-6280.79826349202
"B_dist_port_to_catch_area_zero",-0.00522353817342071,0.00149255823728393,-3.49972151366515,-673.490328928581,0.00129742392235001,-4.02608436875387,-774.784186461329
"B_dummy_prev_days",2.90893592163806,0.100986339419381,28.8052417620337,18.9029123405547,0.155953344134968,18.6526036858854,12.2404295478653
"B_dummy_prev_year_days",0.370655373257352,0.0540886435477858,6.85273929877514,-11.6354300175163,0.100573805612891,3.68540666228746,-6.25754015081221
"B_unem_rate",0.445213970509544,0.0153883136163311,28.9319532737527,-36.0524254523692,0.0263075169320786,16.9234508775195,-21.0884984289021
"B_d_d",-2.08231119727478,0.118105515163939,-17.6309395406674,-26.0979446471768,0.121312886302898,-17.1647980749184,-25.4079454475988
"B_d_cd",-9.787837,NA,NA,NA,NA,NA,NA
"c_psdn",-2.06361880487817,0.327365938374658,-6.30370653441786,-9.35839207978922,1.02504981276101,-2.01318880232731,-2.98875114822586
"c_dcrb",-1.45895273583975,1.01629121825833,-1.43556562295208,-2.41953555404501,0.719652855176293,-2.02730069831009,-3.41685955687258
"B_mean_price_part",4.940205712864,0.13368096368983,36.9551922465669,29.4746956044255,0.182133139058384,27.1241452181878,21.6336561991662
"B_mean_price_crab",-0.0357585367226376,0.0552513439819366,-0.647197590964088,-18.7463048330781,0.0395314768029004,-0.904558585071986,-26.2008561402049
"asc_mna_msqd",-9.556309,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-9.461292,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-10.505258,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-9.969494,NA,NA,NA,NA,NA,NA
"asc_npa_msqd",-9.988268,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-9.989201,NA,NA,NA,NA,NA,NA
"asc_cba_msqd",-9.760118,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-7.892377,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-5.626511,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-4.018354,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-4.431821,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-7.458361,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-8.744886,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-12.70942,NA,NA,NA,NA,NA,NA
"asc_cwa_albc",-19.493229,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-7.072595,NA,NA,NA,NA,NA,NA
"asc_clw_dcrb",-7.211646,NA,NA,NA,NA,NA,NA
"theta_part",1.19012449497154,0.148098477635864,8.03603463026641,1.28377075852871,0.294100714890624,4.04665624636155,0.646460499228121
"theta_cmck",10.446066,NA,NA,NA,NA,NA,NA
"theta_msqd",5.75329,NA,NA,NA,NA,NA,NA
"theta_psdn",0.139189,NA,NA,NA,NA,NA,NA
"theta_part_crab",10.484348,NA,NA,NA,NA,NA,NA
"w_msqd",-4.01092924920437,0.223563348921871,-17.9409069892135,-22.4139120896581,0.299375518131677,-13.3976528015234,-16.7379392960261
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
