"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_msqd",1.58992740302912,0.256167322441747,6.20659726570188,2.3028987358966,0.405651255371086,3.91944405934271,1.45427234654915
"B_mean_avail_psdn",0.279821983170117,0.328099364222035,0.852857437970384,-2.19499973289347,0.595567889804403,0.469840614244693,-1.2092290890068
"B_mean_avail_cmck",-1.57158332215875,0.983430959805455,-1.59806167020575,-2.61490986888136,1.60185801884357,-0.981100262115194,-1.60537531535739
"B_mean_avail_nanc",4.2489303525559,0.459676922640229,9.24329707080241,7.06785612359032,0.861908487845115,4.92967688852768,3.76946090956669
"B_mean_avail_albc",1.77620050472353,0.898865525713127,1.97604697689831,0.86353351254374,0.977127032054476,1.81777849394766,0.79437010671122
"B_mean_avail_dcrb",5.77547699926289,0.719253676974988,8.02981921976846,6.63948917070181,0.573245909910575,10.0750426639134,8.33059061861925
"B_wind_max_220_mh",-0.0668802775768923,0.00561180973355736,-11.9177735440607,-190.113408727525,0.00597256790838838,-11.1979099447258,-178.630079044974
"B_dist_to_cog",-0.000889079914217414,8.0722853101035e-05,-11.0139803049902,-12399.0795848293,0.000157944176781611,-5.62907688231355,-6336.97994005908
"B_dist_port_to_catch_area_zero",-0.00613482237423504,0.00147687994760375,-4.15390728555076,-681.257013480817,0.00118894516818695,-5.15988671167248,-846.241567143517
"B_dummy_prev_days",2.85329747881497,0.101010236340273,28.2476071950081,18.3476204587005,0.152744056313444,18.6802521006759,12.1333525084069
"B_dummy_prev_year_days",0.365144402048471,0.0536196263405161,6.80990202597813,-11.8399854918761,0.102366062325693,3.5670455007511,-6.20181712110444
"B_unem_rate",0.41693729329312,0.0153176171938178,27.2194616184426,-38.0648438545784,0.0258487193920467,16.1299013297117,-22.5567347404561
"B_d_d",-2.02867199294883,0.117010695980306,-17.3374918929657,-25.8837191555427,0.11952370487867,-16.9729677891775,-25.3395089787692
"B_d_c",-0.909442,NA,NA,NA,NA,NA,NA
"B_d_cd",-9.885604,NA,NA,NA,NA,NA,NA
"c_psdn",-2.04055500233569,0.32060171524687,-6.36476632935171,-9.48390123238858,0.992927966636581,-2.05508865788906,-3.0622110611258
"c_dcrb",-1.48514098262911,1.01719219067453,-1.46003970168535,-2.4431380867967,0.734557914300981,-2.02181605250608,-3.3831790989469
"B_mean_price_part",4.6648474166539,0.134923387781779,34.5740460074918,27.1624325249029,0.165336270944828,28.2143016169182,22.1660219848362
"B_mean_price_crab",-0.0366009360927862,0.0551782286259122,-0.663322056619955,-18.7864119944943,0.0405802052620001,-0.901940634762138,-25.544497111341
"asc_mna_msqd",-9.029365,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-8.888468,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-9.946981,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-9.389892,NA,NA,NA,NA,NA,NA
"asc_npa_msqd",-9.545131,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-9.460032,NA,NA,NA,NA,NA,NA
"asc_cba_msqd",-9.295058,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-7.649731,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-5.486854,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-3.982644,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-4.326057,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-7.286376,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-8.460761,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-8.756927,NA,NA,NA,NA,NA,NA
"asc_cwa_albc",-19.907392,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-6.945807,NA,NA,NA,NA,NA,NA
"asc_clw_dcrb",-7.086131,NA,NA,NA,NA,NA,NA
"theta_part",1.10579382965643,0.1413774169163,7.82157330198711,0.748307841266229,0.27821833337551,3.97455414328841,0.380254702746862
"theta_cmck",10.761289,NA,NA,NA,NA,NA,NA
"theta_msqd",11.124362,NA,NA,NA,NA,NA,NA
"theta_psdn",0.143028,NA,NA,NA,NA,NA,NA
"theta_part_crab",10.694908,NA,NA,NA,NA,NA,NA
"w_msqd",-3.93809082396448,0.217205113314888,-18.1307463892681,-22.7346895687746,0.273740912916931,-14.3861974521855,-18.0392867523715
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
