"asc_mna_msqd","asc_sba_msqd","asc_mra_msqd","asc_laa_msqd","asc_npa_msqd","asc_sfa_msqd","asc_cba_msqd","asc_laa_psdn","asc_clo_psdn","asc_cwa_psdn","asc_clw_psdn","asc_sba_cmck","asc_laa_cmck","asc_laa_nanc","asc_cwa_albc","asc_cwa_dcrb","asc_clw_dcrb","theta_part","theta_psdn","logLike"
-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,-17015.7836107218
-7.89159545486176,-7.87750035499805,-8.0925040790761,-7.92194027581476,-8.37533224122648,-7.96458502454893,-8.13877131422037,-8.13554893265037,-7.95917635352397,-7.98725412709916,-7.99436202931672,-8.33868646353587,-8.17946503094284,-8.22239140131715,-8.08387194815542,-7.63177621277376,-7.61491509350948,0.445932494083312,0.471725031313523,-16169.9519175887
-7.43962476667027,-7.41949714987252,-7.72605272096987,-7.48420734412445,-8.12146935533064,-7.54436881084648,-7.78843192999284,-8.82422095769738,-8.28779010448677,-8.37293082953414,-8.39442309804881,-8.07218880557739,-7.8493612310433,-7.91777562792935,-7.71138162282527,-6.70362596963338,-6.63676651692707,1.44043666574447,4.692956968239,-14749.1436322053
-6.19502747961814,-6.14294751462695,-6.87954634365558,-6.30748366469654,-7.69405896700384,-6.45702162543739,-7.01145579876271,-9.80458402524645,-8.45910753807252,-8.70759166173876,-8.76878766675481,-7.60296967597064,-7.14755452516215,-7.27607784435436,-6.84273573234586,-4.30759624196365,-4.01699372909005,4.91659186460999,6.62382119613655,-12550.2401453328
-4.3993516883745,-4.3116567045491,-5.45371899661192,-4.58119840643227,-6.60389698190522,-4.81896039697364,-5.6466491826955,-9.56503772048972,-7.53265584628717,-7.89977840512589,-7.99050554410471,-6.47805662063818,-5.83947347436792,-5.9747062188176,-5.40348330347958,-3.89312524975232,-2.26420209263539,6.36908775365296,11.4132343231678,-10317.7849093028
-2.44527537571579,-2.31942948996504,-4.0877659898432,-2.87436808602276,-5.59157676173744,-3.21565365354712,-4.58444716613073,-8.66913225430746,-6.16384638092006,-6.63124452775098,-6.76042639308668,-5.14815803011988,-4.65887417297124,-4.78055668373098,-4.06566493685488,-5.68942482309054,-4.80155422772678,9.55230192650034,17.3056182033887,-8376.04396173242
-2.20282753225288,-1.4848445813558,-4.92146640523383,-3.19024946729998,-5.54299453392976,-4.00705878205377,-4.94981307637697,-7.5613927844745,-4.97831551890266,-5.48613893508689,-5.62379226980462,-5.54451907216673,-5.12621837698758,-4.90041963993807,-4.89407330931397,-5.6614525443373,-4.90860228595019,10.2391206525817,18.2112529853507,-7692.48184843363
-2.47823159073121,-1.34289129901786,-5.09671277693427,-3.42615309819058,-5.71324285899336,-4.18944550729325,-5.13787704844474,-6.27788827117373,-3.61315849534445,-4.21119350549863,-4.35775686010689,-5.74646381046414,-5.31441185390588,-5.13881391157333,-5.06924269754418,-5.13595350527021,-4.05945453186799,10.4980286242903,19.6705408558962,-7177.44768593325
-2.45536635878677,-1.49778401661905,-4.90264278724648,-3.38600062643176,-5.712696358775,-4.02158197858826,-5.08206034578598,-5.46439052924706,-2.51277966205591,-3.44638250576722,-3.61891047274136,-5.69275920385714,-5.24054420623465,-5.11473687065411,-4.8770392555274,-5.01290043946917,-3.76503621273225,10.9004745108092,20.8682886644123,-6966.55064866779
-2.5105569028911,-1.5935817446707,-4.81445804082379,-3.34078961474786,-5.7252812166936,-3.93599335618184,-5.03424997009428,-5.55804271164099,-2.36896303008319,-3.58288715484501,-3.76430013834415,-5.63814430428435,-5.1798472122205,-5.07933364778596,-4.78918390504187,-5.01265463677953,-3.88257990783251,10.9534581173719,20.5217188218897,-6957.46278767855
-2.5166326463309,-1.59901695298473,-4.81898206036639,-3.34436245999805,-5.72728583454309,-3.94050219972544,-5.03416336918851,-5.56031669090075,-2.37596509473505,-3.57987431485769,-3.75987029987891,-5.64006360967749,-5.18077940821866,-5.08343514568499,-4.79290313520385,-5.02758895531582,-3.9111538300743,10.9739612297219,20.5172286049254,-6957.42792785078
-2.51677473844544,-1.5990595003098,-4.81921585456462,-3.34445912436286,-5.72713948101163,-3.94072029173254,-5.03403503074442,-5.56030224245452,-2.37591445543196,-3.57976660898587,-3.75973419998513,-5.64030129539248,-5.18079591763829,-5.08263772377791,-4.79306231015189,-5.0272438809382,-3.91089776516176,10.9883562123936,20.5057416804995,-6957.42790649406
-2.51731714557519,-1.59933619826937,-4.82042922304909,-3.34524254492995,-5.72862055786472,-3.94167790923075,-5.0353145724962,-5.56173258838982,-2.37641554465804,-3.58061780218863,-3.76063855738676,-5.64175420653232,-5.18211605396694,-5.08389758643739,-4.7942665979368,-5.0272405813432,-3.91091148380075,28.2164432410459,22.718396556276,-6957.42777041541
-2.51679905556604,-1.59907006080114,-4.81927977670352,-3.3445008490753,-5.72722568907434,-3.94076911614075,-5.03411018832029,-5.56038188111867,-2.37593886411477,-3.57980149516304,-3.75977296447975,-5.6403794199508,-5.18087056199622,-5.08267687883555,-4.79312651699067,-5.02725299585075,-3.91091852964904,28.2164432410459,22.718396556276,-6957.42753547962
-2.51680448017375,-1.59907495399161,-4.81928549512802,-3.34450409424433,-5.72722786742032,-3.94077457913102,-5.03411217885626,-5.56038596374565,-2.37594208805052,-3.57981222517746,-3.75978359551909,-5.64038581781645,-5.18087405813146,-5.08269720634499,-4.7931308209034,-5.02723130675677,-3.9108988753329,28.2164432410459,22.718396556276,-6957.42753544658
