"B_mean_avail_psdn","B_mean_avail_nanc","B_mean_avail_othr","B_mean_avail_cmck","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","B_unem_rate","B_d_c","B_d_d","B_d_cd","c_dcrb","B_mean_price_part","B_mean_price_othr","asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","theta_part","theta_nanc","theta_psdn","asc_no_participation","logLike"
-1.993196,1.395448,10.216345,2.262217,-0.052962,-0.004738,-0.016642,2.314201,0.300067,0.257505,0,-1.100474,-8.132902,-0.293244,3.386718,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1885.22774119547
-1.993196,1.395448,10.216345,2.262217,-0.052962,-0.004738,-0.016642,2.314201,0.300067,0.257505,0,-1.100474,-8.132902,-0.293244,3.386718,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1885.22774119547
-1.99319442984171,1.39544887021291,10.2163449706516,2.26221707616938,-0.0529459581702836,-0.00475659036274254,-0.0166321743159862,2.31420180125756,0.300067639901496,0.257505,0,-1.100474,-8.132902,-0.293244,3.38671846771416,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1885.22702141719
-1.99317766110576,1.395458198126,10.2163447467131,2.26221789153071,-0.0527697701068468,-0.00476116572120501,-0.016527583502563,2.31421073230701,0.300074549072128,0.257505,0,-1.100474,-8.132902,-0.293244,3.38672359303626,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1885.22333065052
-1.99312459847208,1.39548783788448,10.216343882276,2.26222074520523,-0.052420621391646,-0.00477060519059706,-0.0166963162280806,2.31422398384019,0.300085439175903,0.257505,0,-1.100474,-8.132902,-0.293244,3.38673659001115,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1885.22195349162
-1.87943687152278,1.44864815364633,10.2133350490825,2.26821160618367,-0.0526051509036312,-0.0047628627490385,-0.0170151393832047,2.29785839317293,0.288929116280769,0.257505,0,-1.100474,-8.132902,-0.293244,3.39854632419024,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1884.9025585645
-1.76699583739362,1.51955375909066,10.2174039182634,2.2764989704809,-0.0565744351945794,-0.00472899679650298,-0.0174565921240706,2.30687137873405,0.323077613939012,0.257505,0,-1.100474,-8.132902,-0.293244,3.40422199152223,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1884.8721258197
-1.69225297396044,1.64225128436913,10.2670024164794,2.2985229664556,-0.0560980968376884,-0.00470790115537895,-0.017486704286879,2.28137549157894,0.327570217108328,0.257505,0,-1.100474,-8.132902,-0.293244,3.33708944354226,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1884.63333689203
-1.67773824074358,1.67465883106333,10.2841529168305,2.30705604820739,-0.0566908087357768,-0.00472311544875139,-0.0174910787092986,2.29295758244661,0.315896145077596,0.257505,0,-1.100474,-8.132902,-0.293244,3.33007357049132,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1884.57640852837
-1.60403721570345,1.77201481550517,10.4882117421288,2.43998867467396,-0.0575607821455865,-0.00479021699209648,-0.0171535311012774,2.24414230986298,0.314717670152772,0.257505,0,-1.100474,-8.132902,-0.293244,3.41225868723232,0.019998,-2.322374,-2.990346,-2.78512,-2.563083,-5.013189,-7.673003,-4.220165,-4.783469,-9.176758,-8.333882,0.182348,13.345222,1.240982,0,-1884.46817923377
