"asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","theta_part","theta_psdn","logLike"
-5,-5,-5,-5,-5,-5,-5,-5,-5,-24,0.5,0.5,-5373.30322602566
-5.11572388121578,-4.92162018498364,-4.93133335146114,-4.93284071445937,-4.92496161790546,-5.08086056164424,-4.75416959189962,-5.57855781907643,-4.78848993660828,-23.3448691942139,1.44529039725273,1.38587546831611,-4885.42223753594
-4.88958611973907,-4.52985767951952,-4.55160140852485,-4.5550831058601,-4.30548644746293,-4.6072099845116,-3.97947192448628,-5.31826411790657,-4.53375925806843,-22.3216903773677,2.35454540197652,3.34504226754172,-4258.86572454969
-3.90003224899266,-2.99929772164441,-3.05405386524255,-3.0626134929592,-3.0828635236241,-3.77213113526313,-2.03778493657147,-4.8430200527871,-4.27055394789922,-19.6788470665849,5.87373931562315,0.0317867511211616,-3374.17066892516
-4.32590514750346,-2.28249926708027,-2.43891355256534,-2.46289436980972,-3.47534716658373,-4.02274935105339,-1.03174952646583,-5.09216382387737,-4.47835475060815,-17.8658980966769,5.10892623095483,1.39714388819744,-3097.81956359061
-6.28630066881832,-2.39452514755537,-2.80994867491534,-2.86883317468146,-3.64577878112742,-4.1195947601816,-1.38337963960286,-5.10131071169242,-4.55729289339261,-16.7438309370113,3.41737525027832,6.41959970629149,-3066.22383196427
-5.9084455844263,-2.07297928960374,-2.5188332448602,-2.57782892601593,-3.71631421617525,-4.23638145261294,-1.39530783381961,-5.25142056646982,-4.57325912059653,-16.1433398304109,5.43668419417329,6.80411721224764,-2992.44115390811
-4.70625331908334,-1.30739123090738,-1.8128360247068,-1.86946414512593,-3.68383753561877,-4.22776304188193,-1.45941381954919,-5.24204614385552,-4.5495623306522,-14.5009586560163,2.65261019485177,6.42236264082273,-2931.02007539423
-4.50486439934946,-1.36218966986564,-1.84821205890636,-1.90275384491719,-3.58755028288295,-4.12840812108913,-1.4360028202722,-5.1205518332821,-4.52862421669519,-14.1236726265323,2.49529973629769,6.41898662365036,-2919.53213199335
-4.09745832079276,-1.42596483158333,-1.88485550214549,-1.93627714847834,-3.41528290802462,-3.94460892735631,-1.39970988288383,-4.8906244577317,-4.50446917586178,-13.2096099331158,2.12353985211075,6.4240324597958,-2900.17164231644
-3.81343361652492,-1.43899928642804,-1.87480056753851,-1.92361836781525,-3.27994917862579,-3.79020514038901,-1.37352371752512,-4.69212595612118,-4.49611039950309,-12.2488681726616,1.8312446123249,6.48360381903416,-2884.18823001708
-3.33759476455522,-1.37734847818266,-1.75685138702334,-1.7993813002005,-2.97695225317643,-3.41242469728587,-1.30169797578624,-4.20258628668411,-4.48121716776365,-10.4444200979349,1.087453364245,6.65412971537189,-2854.08532510524
-1.56276117642662,-0.850020557808736,-0.985827653205242,-1.00053413758773,-1.61398844285306,-1.60160006287575,-0.931872104869844,-1.86279920208837,-4.4273486184411,-8.88824999977919,-1.25390969488766,5.98480020298732,-2830.43853278973
-1.28788244136366,-0.737487910665415,-0.844847079788132,-0.855985319623261,-1.28615437233765,-1.34174913476573,-0.788715079457499,-1.55491297307847,-4.48467859108594,-6.99738215568581,-1.38187301855267,6.24440643831916,-2784.96284535997
-1.10756797004346,-0.674483117514444,-0.761111433795289,-0.770196481899888,-1.04153543544667,-1.15179577738971,-0.715161239226295,-1.31081547999819,-4.49677725355393,-5.23903462399382,-1.62667828489614,6.47778540425938,-2761.28167295591
-1.15066622582247,-0.683718490752165,-0.777052033264634,-0.786880409854294,-1.10253588880269,-1.20189798057538,-0.732724848921438,-1.37582687270417,-4.49569329877281,-3.90907406106935,-1.56272755244617,6.69749512432539,-2749.53698659896
-1.15134932002604,-0.680903630536457,-0.774710695152515,-0.784528620155523,-1.10002755145427,-1.20210642774004,-0.725946342474857,-1.37868929147962,-4.49158816133863,-3.58151214148023,-1.55762255974511,6.74731706557436,-2748.85920418196
-1.13941344996532,-0.677603509451545,-0.769693375009202,-0.77925478552547,-1.09114230038166,-1.18812799099346,-0.722590090898228,-1.36074313455173,-4.49112588577772,-3.58632250890698,-1.58031839970749,6.49966772062053,-2748.85669425568
-1.14348287168791,-0.678647541482506,-0.771399766165802,-0.781025400809967,-1.09464124245205,-1.19308479300832,-0.72380039399942,-1.36706708778371,-4.49146295449576,-3.58724206865618,-1.57169625852129,6.25149596207462,-2748.85613046822
-1.14420178456779,-0.678854895734681,-0.771714950816889,-0.781351639001945,-1.09593836356877,-1.19486313871705,-0.724242759927725,-1.3693351363399,-4.49154368090856,-3.58751028411069,-1.56859610267784,5.47986881606899,-2748.85563761318
-1.14383116283627,-0.67883506749483,-0.771606119932967,-0.781236262438958,-1.09610544154121,-1.19487762836644,-0.724354240206224,-1.3693284869009,-4.49151457098866,-3.58731699353985,-1.56857251628897,5.35233509015608,-2748.85539258266
-1.14308661296429,-0.678782398062705,-0.771400127793109,-0.781015636937355,-1.09633211663259,-1.19505243655202,-0.724527738031985,-1.36950647375622,-4.49152884197214,-3.58724902076886,-1.56847630437651,5.02324766374841,-2748.85492837075
-1.14038534717269,-0.678387455526116,-0.77051956894121,-0.780084526955577,-1.09703273189239,-1.19580735633879,-0.724952431150459,-1.37038139895239,-4.49159773201125,-3.58731582862488,-1.56759941208059,4.16535888206289,-2748.8545581774
-1.13538815483906,-0.677458452441447,-0.768753704812715,-0.778230884985225,-1.09833967361226,-1.19700296520807,-0.725521594344947,-1.37181524072375,-4.4917246746033,-3.58749990200495,-1.56563863316808,3.67090784604046,-2748.85141056458
-1.13004906040441,-0.676382600850581,-0.76679842043381,-0.776187437192837,-1.09924059198585,-1.19816504847389,-0.725892086559606,-1.37326594689586,-4.4917340374971,-3.58752596388681,-1.56377730601142,3.32170211268996,-2748.84876766041
-1.12395560809081,-0.675096825141799,-0.764523274641472,-0.773812505304172,-1.09989412893035,-1.19895925040599,-0.726160447723009,-1.37425166930071,-4.49172606863703,-3.58753978301634,-1.56251377003883,3.03340256438742,-2748.84633926168
-1.11287340845331,-0.672626317091767,-0.760262590803884,-0.769368181498067,-1.10010499483086,-1.19920402615826,-0.726271661858924,-1.37454430860594,-4.49162867601846,-3.58756483261841,-1.56221880945648,2.63055185916979,-2748.84458842983
-1.09932972675907,-0.669614601564762,-0.75514131428213,-0.764029286088192,-1.09804668309132,-1.19642638063221,-0.725544428632215,-1.37101204268392,-4.4915930375553,-3.58772265274249,-1.56710091594606,2.3926990116011,-2748.83908234404
-1.08623905449208,-0.666744203255652,-0.750204010449595,-0.758881644541917,-1.09500474776571,-1.19307127635991,-0.724594380934451,-1.36676094502028,-4.49153389837239,-3.58772126314254,-1.57356149360343,2.19322744369685,-2748.83543222448
-1.07312494317412,-0.663826204781703,-0.745245341791171,-0.75371296388116,-1.09098328114496,-1.18828581475848,-0.723291550856213,-1.36068482846504,-4.49150529001882,-3.58779231975949,-1.58251053489462,2.03940172595358,-2748.83178934362
-1.04852768367253,-0.658405719493996,-0.736032357043391,-0.744110319321882,-1.08177894456857,-1.17750268732716,-0.720301100416924,-1.3470111169601,-4.49157268990538,-3.58790975156159,-1.6027955167601,1.79133928504482,-2748.82609174929
-1.03617796397979,-0.655567306902085,-0.731228648846395,-0.739099056131798,-1.07937483449549,-1.17439163471465,-0.719547274828793,-1.34303158541996,-4.4914373437442,-3.58802832453904,-1.60886652127197,1.67175624738931,-2748.82268644832
-1.02442669267674,-0.652938198618846,-0.72679376709348,-0.734478126389176,-1.07462717309503,-1.16899027561506,-0.717990159178565,-1.33620116255431,-4.4914389404141,-3.5880551620849,-1.61926312250572,1.579803328395,-2748.81981437701
-0.978165518840258,-0.642765699681395,-0.70950761143508,-0.716459980122421,-1.05659036910769,-1.14854745356112,-0.712206579062862,-1.31030723997474,-4.49169345808179,-3.58812893419889,-1.65907648269668,1.2117622030744,-2748.81386905022
-0.930995473434241,-0.631466664029978,-0.690814141447639,-0.696986435404985,-1.04022021388713,-1.12743726897058,-0.706510249583086,-1.28351921925365,-4.49049920813219,-3.58873047779137,-1.69945401064,0.896446814514559,-2748.80466136133
-0.912426132702717,-0.627439709644143,-0.684133605105496,-0.690033422244009,-1.0225945860664,-1.10729562572499,-0.70059860238972,-1.25809256613085,-4.49093476703564,-3.58888030561337,-1.74064153660031,0.87324834537493,-2748.79807123459
-0.905896646270449,-0.626314379632318,-0.681883081575824,-0.68766770222292,-1.02393836662594,-1.10959999676177,-0.701480621514104,-1.26090886179725,-4.49146393973521,-3.58856221307567,-1.73815003335919,0.796556637375962,-2748.79658770113
-0.817093064126639,-0.606085173591411,-0.647927588801352,-0.652284088952141,-0.995329933381188,-1.0763979374911,-0.691989249463458,-1.21890733820984,-4.49061948343824,-3.58898785783939,-1.8066555557118,0.201623759132261,-2748.78853244781
-0.784027024299476,-0.598768473594076,-0.635510336696221,-0.63933732369963,-0.969456280528443,-1.04483315509587,-0.683598071302596,-1.1787703268414,-4.49050445661063,-3.58959015324025,-1.87548440596214,0.064610268682455,-2748.78363041682
-0.746598817600181,-0.59056696921239,-0.621467092903355,-0.624685725187771,-0.957976584824401,-1.03122086586798,-0.6800756119463,-1.1614202722548,-4.49071976321554,-3.58971376859267,-1.91160400582933,-0.210555149908716,-2748.77761824267
-0.730319811031965,-0.586941713519343,-0.615413987922866,-0.618380619573216,-0.945144568369902,-1.01652323400256,-0.675796029885134,-1.14284903332226,-4.49092464856159,-3.58990601908861,-1.94656672833885,-0.305460178767188,-2748.77431629593
-0.724406398086218,-0.585985238595243,-0.613455453943009,-0.616317102871075,-0.940320299560725,-1.01052243629493,-0.674575392727427,-1.13508031450952,-4.49120012740984,-3.59010419115367,-1.96266110091271,-0.347099758198642,-2748.77355139806
-0.699070796701,-0.58007992072713,-0.603674005000856,-0.606130047071849,-0.935560702815808,-1.00521339673736,-0.672868439322844,-1.12843042997877,-4.49090000316437,-3.59010033096779,-1.97543065923233,-0.569509880324592,-2748.77222264398
-0.692662301110971,-0.578544852795193,-0.601226973561475,-0.603591395891554,-0.917429135741234,-0.983588494077122,-0.666755520292705,-1.10106052592523,-4.4910852608484,-3.59041265668042,-2.02817700945334,-0.563569112121568,-2748.76969489529
-0.664682357409491,-0.572260620044455,-0.590663247772237,-0.592577221432394,-0.909398664913818,-0.974758136441764,-0.664177405194819,-1.08989926758247,-4.49155216525638,-3.59059108465743,-2.05211371561239,-0.836342615258268,-2748.76909123879
-0.663954718168772,-0.572408713449806,-0.590607267824674,-0.592503782622487,-0.908542222610718,-0.973723217464673,-0.66413794730716,-1.08849471193488,-4.49170784376703,-3.5904976287703,-2.05616600049837,-0.865550623428155,-2748.76787118019
-0.663504871264036,-0.572361659830444,-0.590494906462931,-0.592382447220989,-0.906645860989245,-0.970843369496488,-0.663575802475803,-1.08476713501474,-4.49157527399052,-3.59065709768624,-2.06396717227501,-0.85339928558845,-2748.76485254454
-0.660268684556109,-0.571713456517129,-0.58931476680369,-0.591148231806933,-0.903190137881306,-0.967006536260111,-0.662523975569817,-1.07989339597691,-4.49149802908774,-3.59065019542457,-2.07458145954138,-0.880331596031996,-2748.76413652977
-0.653836966023029,-0.570317534799021,-0.58690697284744,-0.588635611823492,-0.897881977501898,-0.960833533502869,-0.660851737611244,-1.07205009999191,-4.4914307400557,-3.59071257803415,-2.09135318446745,-0.939800410365325,-2748.76310702892
-0.647490514951079,-0.568773913396503,-0.584403824772318,-0.586032418904979,-0.894241345775641,-0.956526170438921,-0.659565072159797,-1.06662372259403,-4.4912701615008,-3.59074652139022,-2.10270526373466,-1.00808951132361,-2748.76185601965
-0.644347107425106,-0.568304298209283,-0.58341608603332,-0.584990595229661,-0.892842277450252,-0.954827644381332,-0.659311477052348,-1.06438911646613,-4.4915703421277,-3.59078553974631,-2.10829385309284,-1.04958876458754,-2748.76114108017
-0.633428545769303,-0.565832114767507,-0.579252795247587,-0.580650640156832,-0.888844135709016,-0.950037027872783,-0.658003884565372,-1.05830860186612,-4.49136162962478,-3.59091946207429,-2.1213901340943,-1.18580687988896,-2748.76004257673
-0.623064155898181,-0.563549229478669,-0.575362152897514,-0.576593477781885,-0.881382781467038,-0.941235684879193,-0.655602360690466,-1.0471346179314,-4.49132946902198,-3.59102693373529,-2.14600327340154,-1.31927707258151,-2748.75834016545
-0.612692012900493,-0.561377402344613,-0.571559907366359,-0.572621456642875,-0.874513920801608,-0.933115130643927,-0.65349944348258,-1.03678282371862,-4.49138966612357,-3.59115415887202,-2.16979506332206,-1.47480870542442,-2748.75734811491
-0.607745072578459,-0.560444612646938,-0.569834289455889,-0.570813681858854,-0.868414587722671,-0.925931991305288,-0.65164893672478,-1.02762173787133,-4.49159572416386,-3.59127561747697,-2.19134529603529,-1.55662745092574,-2748.75267691909
-0.602951613070683,-0.559354547243538,-0.568015923095695,-0.568918474751842,-0.863236725148215,-0.919761739627496,-0.649943866108855,-1.01979727345875,-4.4916277454235,-3.59143172574739,-2.20949817761227,-1.63496556996516,-2748.75101103676
-0.597860877189164,-0.558300187899582,-0.566157997959276,-0.566976867126883,-0.859528793454821,-0.915417289150304,-0.648814342679134,-1.01426005845887,-4.49166872889211,-3.59149064248357,-2.22293350341176,-1.73464879311585,-2748.74968846111
-0.593976046776771,-0.556855299666405,-0.564244151878009,-0.565013273088506,-0.851391581299622,-0.905881624288086,-0.645669708859815,-1.00235606559849,-4.49167458529552,-3.59143880163732,-2.24946183782364,-1.78415612148488,-2748.74750435884
-0.588673755852527,-0.555892521723719,-0.562413424079121,-0.56309226322946,-0.849186309306522,-0.903384782568545,-0.645151801646034,-0.9991227347653,-4.49176402578658,-3.59142263014724,-2.25826874238176,-1.91384597928492,-2748.7467864126
-0.582894808022512,-0.555602829778432,-0.561022778268369,-0.561587410099866,-0.849757458581452,-0.90415727359658,-0.646229384704365,-0.999775927320202,-4.4922801496222,-3.59145156980401,-2.26056575189937,-2.11996975127396,-2748.74518591608
-0.578754805247513,-0.554335026510444,-0.559185195209389,-0.559690880773636,-0.840348224067092,-0.892563448627669,-0.642841636967004,-0.985150606176348,-4.49179590059944,-3.59202910745056,-2.29444428647076,-2.20864067893579,-2748.74307892065
-0.57752214762804,-0.554169930313272,-0.558808391813584,-0.559292060597336,-0.83919241537713,-0.89141721794445,-0.642550291819128,-0.983683208118029,-4.49197488627433,-3.5918962535783,-2.29915041488729,-2.25831709494955,-2748.74092630169
-0.576387328618217,-0.55393525576154,-0.558398030224498,-0.558863016165863,-0.837299630773302,-0.889110095943791,-0.641956438664195,-0.980741971498455,-4.4919941137863,-3.59202463098091,-2.3065994798726,-2.29440933794408,-2748.74033650913
-0.575540708863687,-0.553770900741628,-0.558098050715398,-0.558548906164316,-0.836182045512934,-0.887821303745105,-0.64161423763512,-0.979101633832666,-4.49202101079925,-3.5920400018399,-2.31089952259162,-2.32434280460142,-2748.73991797786
-0.573898622132471,-0.553428820930368,-0.557497270207646,-0.557921141975357,-0.834783625476568,-0.886151994085481,-0.641182913409389,-0.976973610317152,-4.49201114440626,-3.59208044666074,-2.31640473294494,-2.38502414836958,-2748.73925790066
-0.570097814291765,-0.552117936775568,-0.555693628524432,-0.556065866780158,-0.829973295291604,-0.880384067632739,-0.639231651549487,-0.969794160997157,-4.49174316303624,-3.59214217038079,-2.333181954254,-2.50616638714371,-2748.73816889756
-0.569594886633511,-0.552123910347785,-0.555594481518135,-0.555956348142087,-0.829667674949348,-0.880289897102695,-0.639223081921239,-0.969663231048684,-4.49187862831141,-3.59189450089572,-2.33422542790074,-2.54057455830991,-2748.73682261911
-0.569068811156543,-0.552103868812563,-0.555476261995147,-0.555827623614313,-0.828942643989969,-0.879316697567474,-0.639075557521612,-0.968385494574218,-4.49192895121638,-3.59202583505889,-2.33779676858411,-2.56871426519778,-2748.73654621276
-0.568215611621506,-0.552036787838567,-0.555252553388849,-0.555587602291202,-0.82820532753982,-0.878443617334214,-0.638940104816974,-0.967238536323865,-4.49197634718725,-3.59209043596912,-2.34121464137026,-2.61577936369543,-2748.73616777688
