"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail_psdn",1.01387405045916,0.331284336371428,3.06043461506259,0.0418795848035561,0.395203897672092,2.56544547366885,0.0351060567491381
"B_mean_avail_nanc",1.74006589950424,0.295588844354253,5.88677797805804,2.50370037178162,0.508701343046024,3.42060409961766,1.45481412546081
"B_mean_avail_othr",10.1272317264091,0.406096698937976,24.9379809116741,22.4755132220446,0.372748969349586,27.1690401829421,24.4862695189617
"B_mean_avail_cmck",3.52505737331317,1.18075933979636,2.98541561731041,2.1385029855014,0.753081378397322,4.6808452239452,3.35296748232827
"B_wind_max_220_mh",-0.0416122267403533,0.00678078863697551,-6.13678275023095,-153.612254046743,0.00522668330240211,-7.96149763296907,-199.287419282061
"B_dist_to_cog",-0.00488629506516663,0.000517205544635658,-9.44749165171604,-1942.91477631596,0.000519105705439172,-9.41290957500215,-1935.80283271018
"B_dist_port_to_catch_area_zero",-0.0198454292330727,0.00216008134656384,-9.18735271921214,-472.132880947006,0.0025142967269361,-7.89303387323586,-405.618564550195
"B_dummy_prev_days",2.24750868083776,0.104131006197193,21.5834722328683,11.9801846385249,0.100238404893639,22.4216325391704,12.4454163268207
"B_dummy_prev_year_days",0.289689148105382,0.0713833339901009,4.05821824104706,-9.95065391584429,0.111198514834125,2.60515303228206,-6.38777283090687
"B_unem_rate",0.297177,NA,NA,NA,NA,NA,NA
"B_d_d",-1.058378,NA,NA,NA,NA,NA,NA
"B_d_cd",-8.130186,NA,NA,NA,NA,NA,NA
"c_dcrb",-0.332205,NA,NA,NA,NA,NA,NA
"B_mean_price_part",3.87051782043562,0.18196661093127,21.2704836377787,15.7749699559984,0.167192379862655,23.1500850912892,17.1689512571906
"B_mean_price_othr",0,NA,NA,NA,NA,NA,NA
"asc_cba_psdn",-3.419444,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-4.292549,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-4.344046,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-4.041828,NA,NA,NA,NA,NA,NA
"asc_clo_nanc",-5.627777,NA,NA,NA,NA,NA,NA
"asc_clw_nanc",-8.62562,NA,NA,NA,NA,NA,NA
"asc_cwa_nanc",-4.833813,NA,NA,NA,NA,NA,NA
"asc_clo_cmck",-5.354638,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-9.372014,NA,NA,NA,NA,NA,NA
"asc_nps_sock",-8.437834,NA,NA,NA,NA,NA,NA
"theta_part",0.009707,NA,NA,NA,NA,NA,NA
"theta_nanc",13.344607,NA,NA,NA,NA,NA,NA
"theta_psdn",1.034474,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
