"asc_cba_psdn","asc_clo_psdn","asc_clw_psdn","asc_cwa_psdn","asc_clo_nanc","asc_clw_nanc","asc_cwa_nanc","asc_clo_cmck","asc_cwa_dcrb","asc_nps_sock","theta_part","theta_psdn","logLike"
-5,-5,-5,-5,-5,-5,-5,-5,-5,-24,0.5,0.5,-5373.30322607948
-5.1157238622951,-4.92162018016171,-4.93133334406346,-4.9328407138264,-4.92496161211298,-5.08086057130256,-4.75416959300502,-5.57855786964169,-4.78848997236832,-23.3448691925627,1.44529033360323,1.38587520492704,-4885.42226648138
-4.88958963756548,-4.52986140748908,-4.55160503408665,-4.55508704818158,-4.30548540818901,-4.60720847848813,-3.97947102655902,-5.31826236659394,-4.53375919607925,-22.3216899773812,2.35454085454971,3.34507168650818,-4258.86688775332
-3.90004661754852,-2.99932587109416,-3.05408136316203,-3.06264164332538,-3.08286826441766,-3.77213303678539,-2.0377934267117,-4.84300935707833,-4.27055516711059,-19.678857022856,5.87374189777167,0.0319311578658734,-3374.1680108664
-4.32591424052351,-2.28253422654578,-2.43894882171241,-2.46293127792835,-3.47532422416451,-4.02273506239902,-1.03171659126223,-5.09216378976394,-4.47835059949034,-17.8658563833331,5.10885890210661,1.3973484413573,-3097.82468166532
-6.28330305442954,-2.3937000196843,-2.80893327164023,-2.86779158396473,-3.64621279675908,-4.12013060999374,-1.38326257791989,-5.10199001883207,-4.55729291676013,-16.7437000653474,3.44244444317733,6.41347050036535,-3065.70524600107
-5.90740263148912,-2.07668682619015,-2.52193886799077,-2.58089358601132,-3.71364847436997,-4.23261238460046,-1.39626613320527,-5.24611442451417,-4.57338462321599,-16.1527302247788,5.41692361920513,6.77681905902291,-2992.9824480841
-4.6986048727572,-1.30385979398491,-1.80943270993576,-1.86605785361555,-3.6810398028628,-4.22388176103963,-1.45905501252186,-5.23628463543737,-4.55063843692127,-14.5016718349511,2.57166821745977,6.38299401205459,-2930.94635150101
-4.49492320019011,-1.35923058811792,-1.84412920609817,-1.89854098460874,-3.58094108847426,-4.12017909245011,-1.43459367924573,-5.10957579243082,-4.52939776440314,-14.1200188784123,2.42833930636168,6.37955441642708,-2919.26674557586
-4.08334854177935,-1.42300911081867,-1.87970021863693,-1.93087191935069,-3.40421763002802,-3.93175499239599,-1.39729452782466,-4.87414686828432,-4.5048940944291,-13.1947387407787,2.09400084675416,6.38556042075377,-2899.73797084166
-3.77424712881793,-1.43489788347656,-1.86572133862008,-1.91398976104483,-3.25549076410213,-3.76042818852663,-1.36775083023283,-4.65386626999841,-4.4951115263208,-12.1707221333664,1.77231979654705,6.45080888880397,-2882.65635400808
-3.22967972975066,-1.34986096868158,-1.71335909751535,-1.75411420902717,-2.89637562242239,-3.30648367035971,-1.27988333474024,-4.0662013800576,-4.47813561536985,-10.3305074094554,0.901425581576796,6.60486448979504,-2851.38118343778
-1.57776534862765,-0.835162631608065,-0.974442387816661,-0.98940685143626,-1.60341463041014,-1.60860594158271,-0.931741771368867,-1.87215518097898,-4.43997061548154,-8.85264986216814,-1.05718265741352,6.04171262391928,-2816.78705162886
-1.39228948772008,-0.75579233795535,-0.882568961905764,-0.895743775070537,-1.35052788287421,-1.4655439642481,-0.818196151574789,-1.70673510398161,-4.48976534529296,-6.96060441859439,-1.15117842779502,6.33897454631842,-2783.8702345596
-1.20507546150019,-0.689833950412677,-0.790804678645804,-0.801422230904591,-1.13917811988937,-1.2513040111982,-0.738974536890387,-1.44062869930811,-4.49396797240437,-5.41381093324229,-1.43727669397762,6.54092888297682,-2766.93072720857
-1.21036795744799,-0.694676901988447,-0.79771049940687,-0.808408621026803,-1.15847288956812,-1.26664574948592,-0.745128471587033,-1.46043259458226,-4.49293888616297,-4.63719838156427,-1.44543772997239,6.66509580042925,-2763.3527862952
-1.132136327945,-0.676191587267304,-0.766772394177651,-0.77620051761194,-1.0842570997344,-1.1782473153425,-0.720144669285667,-1.34809707097485,-4.48910781986817,-4.62679235859989,-1.59024622293438,6.57215332798487,-2763.31973077017
-1.12915158122821,-0.675626068600502,-0.766098944893129,-0.775491338617497,-1.0815861497771,-1.17699157071109,-0.71951423256578,-1.34664159321262,-4.49088213116971,-4.62550584904394,-1.60210980160887,6.34645868932676,-2763.30693470844
-1.12986548057429,-0.675692325919409,-0.766390659096291,-0.775797566826644,-1.08233066847812,-1.17860504876143,-0.719858072717476,-1.34868075063954,-4.49148649318719,-4.62483700275521,-1.59922352212515,6.02586000820716,-2763.30650286388
-1.12956407121493,-0.675670645584627,-0.766298851657932,-0.775699538998864,-1.08242238733557,-1.17866989556706,-0.719954218357676,-1.34874152265541,-4.49147645192779,-4.6249569688338,-1.59917508951694,5.6723472486038,-2763.30617115374
-1.12866901938755,-0.675608634043478,-0.766058375892204,-0.775440890788558,-1.08264728970044,-1.17890675313332,-0.720163635676974,-1.34899365433491,-4.4915200313292,-4.62506068072198,-1.59903128129916,5.06525425752708,-2763.30542884918
-1.12733199876417,-0.675186451486052,-0.765369642563505,-0.774731166527208,-1.08470330492842,-1.18118373296556,-0.720788587359881,-1.35196407491506,-4.49155038327626,-4.6249751804338,-1.59446524725323,4.12032514374196,-2763.30512728076
-1.12316052349885,-0.674362563841266,-0.763896462693091,-0.773187698213219,-1.0812927297905,-1.17673979616303,-0.71976818986578,-1.34619894894673,-4.4913098783343,-4.62556110491724,-1.60277486971599,4.23312417065403,-2763.30337047102
-1.1167201320997,-0.672930400627634,-0.761473991638404,-0.770659435665005,-1.07871334705321,-1.1737488009575,-0.718933472303407,-1.34236744192349,-4.49120354488825,-4.62568338974146,-1.60848605868187,3.91710554098547,-2763.30092411131
-1.1149905808326,-0.672680360276633,-0.760871626654023,-0.770024087901459,-1.07958634671866,-1.17518832196999,-0.719340537796947,-1.34419784988774,-4.4915970150566,-4.62517145422011,-1.60647173037957,3.68335910762694,-2763.29923697949
-1.10982493972226,-0.671852174999202,-0.759259107614531,-0.76834324778953,-1.08060451285327,-1.17668950020239,-0.719905799496164,-1.34614040408146,-4.49192922272998,-4.62509109663764,-1.60450387122338,3.29207496434926,-2763.2962143198
-1.09111800382283,-0.66834729721325,-0.752722425130301,-0.761540187330425,-1.08184860628967,-1.18004288005241,-0.721146765939487,-1.35064321310435,-4.49280220339147,-4.62504730333515,-1.60088315258126,2.48713009088669,-2763.2951272348
-1.07855120316085,-0.665198335549489,-0.747534980928817,-0.75608315680426,-1.08260532625032,-1.17767624079992,-0.720842153775712,-1.34707337084483,-4.49185204740704,-4.62536794114017,-1.60304801015663,2.29246201962757,-2763.28175581268
-1.06607667204008,-0.662495381520399,-0.742828544950339,-0.751175362318587,-1.08138780120168,-1.17723826067077,-0.720444489575207,-1.34659165806054,-4.49164594881056,-4.62544853895635,-1.60428772780737,2.06002145740665,-2763.27776047227
-1.05278309836769,-0.659540361477909,-0.737803376330902,-0.745937512253359,-1.07853378409798,-1.17347083436601,-0.719499343503232,-1.34178454868707,-4.49163014123903,-4.62551092362062,-1.61128204583694,1.90518046729736,-2763.27274203478
-1.03610371877907,-0.655797520077367,-0.731436588446466,-0.739300633682345,-1.07404814472406,-1.1683187718903,-0.718049852637153,-1.33525699839178,-4.49149694143505,-4.62557862276389,-1.62124402583756,1.72017780191845,-2763.26770053546
-1.00625169714767,-0.648936204160371,-0.719910922104428,-0.727290457143695,-1.06463435403112,-1.15695597557334,-0.714906296629101,-1.32085185480545,-4.4911320417005,-4.6257327383789,-1.64280038888108,1.44288100806799,-2763.26030431396
-0.99666227347609,-0.647003554720207,-0.716606917780241,-0.723845331513124,-1.05901011578005,-1.15033970418289,-0.713052013814546,-1.31246924180331,-4.49160677437364,-4.62551763088559,-1.65585455770173,1.4175570750644,-2763.25488424111
