"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",3.41732149995224,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.0496011684557091,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.00472086758807996,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.0278268474932377,NA,NA,NA,NA,NA,NA
"B_dummy_prev_days",2.32375925387468,NA,NA,NA,NA,NA,NA
"B_dummy_prev_year_days",0.316782721146823,NA,NA,NA,NA,NA,NA
"B_unem_rate",0.348661538930257,NA,NA,NA,NA,NA,NA
"B_d_d",-1.17799625706151,NA,NA,NA,NA,NA,NA
"c_wa",-4.41555095536114,NA,NA,NA,NA,NA,NA
"c_dcrb",-2,NA,NA,NA,NA,NA,NA
"c_psdn",-50.1842628721134,NA,NA,NA,NA,NA,NA
"B_mean_price_part",4.49879332180493,NA,NA,NA,NA,NA,NA
"B_mean_price_crab",0.116089863325,NA,NA,NA,NA,NA,NA
"B_mean_price_slmn",24.7204098619096,NA,NA,NA,NA,NA,NA
"w_psdn",-0.0475915150719964,NA,NA,NA,NA,NA,NA
"w_nanc",-0.501786927141705,NA,NA,NA,NA,NA,NA
"w_dcrb",-0.36967658675566,NA,NA,NA,NA,NA,NA
"w_slmn",0.726248845824947,NA,NA,NA,NA,NA,NA
"w_cmck",-0.00606669150320367,NA,NA,NA,NA,NA,NA
"asc_cba_psdn",-4.44351275564869,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-5.24500987334979,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-5.4707272739467,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-5.07239990241191,NA,NA,NA,NA,NA,NA
"asc_clo_nanc",-6.44944328849061,NA,NA,NA,NA,NA,NA
"asc_clw_nanc",-10.0561645182345,NA,NA,NA,NA,NA,NA
"asc_cwa_nanc",-5.60312404490948,NA,NA,NA,NA,NA,NA
"asc_clo_cmck",-5.71503183524777,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-6.94648796150224,NA,NA,NA,NA,NA,NA
"asc_nps_sock",-52.2210458489501,NA,NA,NA,NA,NA,NA
"lambda_part",0.541597290982861,NA,NA,NA,NA,NA,NA
"lambda_nanc",0.541597286830127,NA,NA,NA,NA,NA,NA
"lambda_psdn",0.395598563488146,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_mean_price_no_part",0,NA,NA,NA,NA,NA,NA
"B_d_cd",-28.3289450910371,NA,NA,NA,NA,NA,NA
"c_no_participation",0,NA,NA,NA,NA,NA,NA
