"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",2.89121285803605,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.0539229409582234,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.00499130868930092,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.0407088018784255,NA,NA,NA,NA,NA,NA
"B_dummy_prev_days",3.8390203102726,NA,NA,NA,NA,NA,NA
"B_dummy_prev_year_days",0.359721189779347,NA,NA,NA,NA,NA,NA
"B_unem_rate",0.33506604881733,NA,NA,NA,NA,NA,NA
"B_d_d",-2.18143497572435,NA,NA,NA,NA,NA,NA
"c_wa",-214.590368349925,NA,NA,NA,NA,NA,NA
"c_dcrb",-2,NA,NA,NA,NA,NA,NA
"c_psdn",-67.3355623177507,NA,NA,NA,NA,NA,NA
"B_mean_price_part",5.10262712792381,NA,NA,NA,NA,NA,NA
"B_mean_price_crab",0.214659269475704,NA,NA,NA,NA,NA,NA
"B_mean_price_slmn",7.10379638041481,NA,NA,NA,NA,NA,NA
"w_psdn",0.0133120527368783,NA,NA,NA,NA,NA,NA
"w_nanc",-0.564964005005999,NA,NA,NA,NA,NA,NA
"w_dcrb",-0.348600766085976,NA,NA,NA,NA,NA,NA
"w_slmn",0.743761063336974,NA,NA,NA,NA,NA,NA
"w_cmck",0.28846209277555,NA,NA,NA,NA,NA,NA
"asc_cba_psdn",-5.14865270947971,NA,NA,NA,NA,NA,NA
"asc_clo_psdn",-6.1568069775193,NA,NA,NA,NA,NA,NA
"asc_clw_psdn",-5.94890280218641,NA,NA,NA,NA,NA,NA
"asc_cwa_psdn",-5.37089252440046,NA,NA,NA,NA,NA,NA
"asc_clo_nanc",-7.60968148728852,NA,NA,NA,NA,NA,NA
"asc_clw_nanc",-11.060388348802,NA,NA,NA,NA,NA,NA
"asc_cwa_nanc",-6.05898131348484,NA,NA,NA,NA,NA,NA
"asc_clo_cmck",-7.28162324735793,NA,NA,NA,NA,NA,NA
"asc_cwa_dcrb",-7.40954143028712,NA,NA,NA,NA,NA,NA
"asc_nps_sock",-20.1656195222974,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"B_mean_price_no_part",0,NA,NA,NA,NA,NA,NA
"B_d_cd",-18.7068302952335,NA,NA,NA,NA,NA,NA
"c_no_participation",0,NA,NA,NA,NA,NA,NA
