,Estimate,Std.err.,t-ratio(0),t-ratio(1),Rob.std.err.,Rob.t-ratio(0),Rob.t-ratio(1)
B_mean_avail,2.644470685,NA,NA,NA,NA,NA,NA
B_wind_max_220_mh,-0.053544855,NA,NA,NA,NA,NA,NA
B_dist_to_cog,-0.005031342,NA,NA,NA,NA,NA,NA
B_dist_port_to_catch_area_zero,-0.041128757,NA,NA,NA,NA,NA,NA
B_dummy_prev_days,3.830752559,NA,NA,NA,NA,NA,NA
B_dummy_prev_year_days,0.357975917,NA,NA,NA,NA,NA,NA
B_unem_rate,0.308451246,NA,NA,NA,NA,NA,NA
B_d_d,-2.167032891,NA,NA,NA,NA,NA,NA
c_wa,-2,NA,NA,NA,NA,NA,NA
c_dcrb,-0.054878375,NA,NA,NA,NA,NA,NA
c_psdn,-2,NA,NA,NA,NA,NA,NA
B_mean_price_part,5.06739679,NA,NA,NA,NA,NA,NA
B_mean_price_crab,0.043895077,NA,NA,NA,NA,NA,NA
B_mean_price_slmn,9.655251413,NA,NA,NA,NA,NA,NA
w_psdn,0.013194131,NA,NA,NA,NA,NA,NA
w_nanc,-0.564314631,NA,NA,NA,NA,NA,NA
w_dcrb,-0.429897764,NA,NA,NA,NA,NA,NA
w_slmn,0.745138133,NA,NA,NA,NA,NA,NA
w_cmck,0.289790648,NA,NA,NA,NA,NA,NA
asc_cba_psdn,-4.890922758,NA,NA,NA,NA,NA,NA
asc_clo_psdn,-5.851518457,NA,NA,NA,NA,NA,NA
asc_clw_psdn,-5.699567827,NA,NA,NA,NA,NA,NA
asc_cwa_psdn,-5.122527109,NA,NA,NA,NA,NA,NA
asc_clo_nanc,-7.346081123,NA,NA,NA,NA,NA,NA
asc_clw_nanc,-2,NA,NA,NA,NA,NA,NA
asc_cwa_nanc,-5.829847731,NA,NA,NA,NA,NA,NA
asc_clo_cmck,-7.063104142,NA,NA,NA,NA,NA,NA
asc_cwa_dcrb,-6.075525308,NA,NA,NA,NA,NA,NA
asc_nps_sock,-2,NA,NA,NA,NA,NA,NA
asc_no_participation,0,NA,NA,NA,NA,NA,NA
w_nopart,0,NA,NA,NA,NA,NA,NA
B_mean_price_no_part,0,NA,NA,NA,NA,NA,NA
B_d_cd,-2,NA,NA,NA,NA,NA,NA
c_no_participation,0,NA,NA,NA,NA,NA,NA
