"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",0.382684700359243,1.09549176721303,0.349326861061501,-0.563505192933793,6.20830906535408,0.0616407295981513,-0.0994337255349819
"B_mean_price",0.299247417045413,0.11011029532741,2.71770606150505,-6.36409684372312,0.267069309938504,1.12048597839384,-2.62386038708808
"B_wind_max_220_mh",-0.0310247474445163,0.0107317602931236,-2.89092810472067,-96.0722863056444,0.0152998877210027,-2.02777615171172,-67.3877329197121
"B_dist_to_cog",-0.00506236523398913,0.000906733739067463,-5.58307804802273,-1108.44266837104,0.00312490830843739,-1.62000440791191,-321.629393899423
"B_dist_port_to_catch_area_zero",-0.00741486310391177,0.00406861504922918,-1.82245383605818,-247.60633555017,0.00951488493715995,-0.779290885058774,-105.877776742155
"B_dummy_prev_days",3.0952671552239,0.333352376313148,9.28527100798657,6.28544238501431,1.33099738400631,2.32552459713115,1.57420831956644
"B_dummy_prev_year_days",0.238148396275802,0.116432615621932,2.04537530144555,-6.54328342324634,0.429055877754891,0.555052170644893,-1.77564658410163
"B_unem_rate_part",0.163762076995067,0.0389104907779246,4.20868700756597,-21.4913229385265,0.132238564199732,1.23838365900375,-6.32370691609965
"B_d_d",-0.346672410777376,0.372991276787646,-0.929438387307771,-3.61046623496258,1.65138347336853,-0.20992847292472,-0.815481341853568
"B_d_pd",-1.6753464706005,1.12959946807705,-1.48313319716102,-2.36840273584302,1.38023108459155,-1.21381592495889,-1.93833228396838
"w_cmck",-1.43592340333619,0.341944654425806,-4.1992860094491,-7.12373587891468,0.943755871238156,-1.52149877642863,-2.58109483349798
"w_msqd",-4.27487566271779,0.438077515879219,-9.75826311044095,-12.0409641479343,0.812923646899569,-5.25864351347369,-6.48877134136248
"c_msqd",-3.00763548846131,8.05480572419877,-0.373396403519153,-0.497545890699922,1.13397053993791,-2.65230478441353,-3.53416190925097
"w_psdn",-1.54593956853053,0.518157773653536,-2.98353059075057,-4.91344470349077,1.52210261743631,-1.0156605414255,-1.67264646901316
"c_psdn",-1.88001022594306,1.00498867371281,-1.87067802366128,-2.86571411327772,0.767832236151023,-2.44846483050405,-3.7508326563364
"w_nanc",-1.2795798483571,0.219359025413901,-5.83326738411016,-10.3920039034448,0.43415292578506,-2.94730214254181,-5.25063799635816
"w_jmck",-0.736720331030506,0.538256332170289,-1.36871651478766,-3.22656739406654,1.35050110173886,-0.545516275463922,-1.28598216528247
"asc_laa_cmck",-3.92056847111262,0.543837591781218,-7.20907956780199,-9.04786382088153,2.01845587723249,-1.94236025435846,-2.43778847316654
"asc_mna_cmck",-4.96351183358524,0.639731743593974,-7.75873932048538,-9.3218945179781,2.38239839727487,-2.08340965946871,-2.50315473701068
"asc_laa_jmck",-4.92311634885595,0.75979546661463,-6.47952845887795,-7.79567213693335,2.34377081657404,-2.10051098598975,-2.52717386314842
"asc_mna_jmck",-5.27314790840083,0.719524261122846,-7.32865893941071,-8.7184661412408,2.65835070260698,-1.98361634649243,-2.3597894372059
"asc_laa_msqd",-3.6708274152744,0.541051799587117,-6.7846136323281,-8.63286550167427,1.7239767599557,-2.12927894420614,-2.70933316722577
"asc_mra_msqd",-4.80713268447461,0.799267321864717,-6.01442415193381,-7.2655700109525,3.06958383627503,-1.56605355672843,-1.8918306175086
"asc_sba_msqd",-3.63818726376371,0.561973255913185,-6.47395089620731,-8.25339500582964,1.80753542973267,-2.01278890798936,-2.56602840944019
"asc_sfa_msqd",-3.49764684772664,0.665280216684331,-5.25740396303749,-6.7605299765899,2.80230167477273,-1.24813358933253,-1.60498310664265
"asc_mna_msqd",-3.27934938086941,0.558372367983898,-5.87305097619726,-7.66397054410259,2.34862703597626,-1.39628358638317,-1.82206425938148
"asc_laa_psdn",-4.46255294621918,0.65623731539575,-6.80021212071428,-8.32405109868666,2.55089613615143,-1.74940597658041,-2.14142507364514
"asc_mna_psdn",-4.99028565043978,0.767936771939177,-6.49830276760732,-7.80049330794936,2.95817025365314,-1.68695011528735,-2.02499691930922
"asc_mna_nanc",-5.33113166552373,0.786318454209291,-6.77986334542362,-8.05161271700054,3.13521560040271,-1.70040352722121,-2.01936085821674
"asc_sba_nanc",-4.01849284934391,0.830697404799842,-4.83749296208789,-6.04130074362412,3.95909793721027,-1.01500213257556,-1.26758492185221
"asc_sda_nanc",-4.80123830537745,0.75198903545745,-6.38471849853071,-7.71452512183032,2.98116578473554,-1.61052375213791,-1.94596299712063
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_unem_rate_nopart",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
"lambda_part",0.76621772382516,0.10791664316645,7.10008856227441,-2.16632272201291,0.448685973156147,1.70769261725619,-0.521037630239181
"lambda_laa",0.724650308510374,0.0867443426717607,8.35386246746304,-3.174266851402,0.21771152090841,3.32848856820595,-1.26474561539379
"lambda_sba",0.146604971712216,0.129307741242059,1.13376794230577,-6.59972110014871,0.658386639807524,0.222673066019497,-1.29619129048134
"lambda_mna",0.766217723920675,0.112197853470323,6.82916562323845,-2.08366086202497,0.352287102991104,2.17498091021522,-0.663612928473366
