"B_mean_avail_mckl","B_mean_avail_msqd","B_mean_avail_psdn","B_mean_avail_nanc","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","c_psdn","B_d_d","B_unem_rate","w_msqd","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","theta_part","theta_laa","theta_mna","theta_sba","asc_no_participation","logLike"
-7.179891,1.481207,0.304227,-0.911978,0.827208,-0.043,-0.003039,-0.005589,3.010054,0.127715,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1687.15495659601
-7.179891,1.481207,0.304227,-0.911978,0.827208,-0.043,-0.003039,-0.005589,3.010054,0.127715,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1687.15495659601
-7.17912173446553,1.47956334807823,0.304008542646815,-0.912224159834205,0.831501387610233,-0.043,-0.003039,-0.005589,3.01464618063042,0.128294295010539,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1687.14210509234
-7.1747044118616,1.46744296900298,0.302548813148896,-0.916301988322258,0.836355983725465,-0.043,-0.003039,-0.005589,3.01644644388647,0.119104255180081,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1687.11806342374
-7.12704659486594,1.32080600918247,0.286175410959585,-0.95688284482612,0.856293892839545,-0.043,-0.003039,-0.005589,3.01388588957646,0.121787547456342,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1686.95430688339
-7.12179792718794,1.31188027755851,0.281374148151404,-0.960697029835733,0.873154032077541,-0.043,-0.003039,-0.005589,3.000169654182,0.123862878693883,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1686.95258230142
-7.01891978285377,1.15131042903099,0.192258419772835,-0.95968038036798,0.888119941330433,-0.043,-0.003039,-0.005589,3.00743267486735,0.106848138899005,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1686.93038950343
-7.01369962700875,1.14714439387061,0.189887376027929,-0.978349164701617,0.887435418881276,-0.043,-0.003039,-0.005589,3.00989312725285,0.107194623545092,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1686.92220976796
-7.08402138216654,1.19760072799308,0.280777781907295,-0.991974641082772,0.883373270255568,-0.043,-0.003039,-0.005589,3.00806244862822,0.113371247111782,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1686.90379939975
-7.0610241299476,1.206744121568,0.23087636207291,-0.990614356501422,0.879672814677316,-0.043,-0.003039,-0.005589,3.00996152425517,0.113914634110145,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1686.90247655136
-7.06267847926965,1.19657204748796,0.245631245165552,-0.990920017477334,0.881948057309363,-0.043,-0.003039,-0.005589,3.00931709201488,0.112988465417311,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1686.90209409088
-7.06402866870467,1.1982794928826,0.245749971301309,-0.990945383263484,0.881684764873867,-0.043,-0.003039,-0.005589,3.00933347210177,0.113162395318763,-1.239541,-0.515027,0.10139,-3.88629,-3.243695,-4.787555,-3.361311,-4.188944,-3.814928,-4.724763,-3.82968,-4.204591,-3.702697,-4.108524,-4.888162,-4.889189,-3.376684,-4.330278,0.886061,10.039759,10.01749,0.73609,0,-1686.90208364014
