"asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","theta_part","theta_sba","logLike"
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,0.5,-3644.53829487676
-4.73897792158431,-4.89427584895962,-4.99095032157522,-4.9506820145934,-4.69343727312465,-5.10972213828686,-4.891667182299,-4.79834426868447,-4.72096192278833,-4.75527987678639,-4.9506820145934,-5.04461623338273,-4.89266942267801,-4.70708034053842,1.43934420080622,2.61518494282904,-3251.47094485534
-4.13339322864518,-4.61576385145485,-4.85571122278428,-4.76065046727962,-3.96499416362831,-5.10506404140197,-4.6553136430707,-4.33550967110898,-4.06906590710032,-4.19053637841414,-4.76065070820457,-4.97260841162875,-4.66093966910745,-4.03392338484142,1.86785740094215,17.1402850598485,-3000.81872420998
-3.41963829765968,-4.23151130231578,-4.5170141602843,-4.41002713025993,-3.01230483062195,-4.77090023121044,-3.49281772505374,-3.81188185259629,-3.27423499092021,-3.539895784593,-4.41002673141671,-4.64009819370284,-3.50386200503942,-3.20620208214064,1.1536044666443,17.1377867097736,-2690.080127651
-3.47815635777484,-4.39158062341457,-4.68978189343165,-4.57809506128497,-2.87215645049776,-4.95323685592737,-3.21527019072405,-3.94002738509613,-3.28037127774301,-3.6285111029473,-4.57809497722822,-4.81851059136066,-3.23634709639386,-3.17516635917302,1.70728206009756,17.1377893871497,-2567.64296995057
-3.49326322235271,-4.50698354749566,-4.8224314708557,-4.7044221967541,-2.64575991848075,-5.10227928672112,-2.57945368136965,-4.02254666765525,-3.24698551171905,-3.67095005327784,-4.704421974187,-4.95855523368458,-2.62941067558666,-3.10461721065013,2.13129128403861,17.5633801442977,-2442.35786172995
-3.38825462757212,-4.41783086948267,-4.72943742465789,-4.61281091981844,-2.45278125428063,-5.0062576656985,-1.95588862891138,-3.93463210869297,-3.12494728279317,-3.57461795245208,-4.61281100091953,-4.86417644752044,-2.05438710199955,-2.97006420450797,2.00075634089394,18.7679332462277,-2410.58873717507
-3.35243206990376,-4.36196876586293,-4.67137944893684,-4.55555871144962,-2.45704213930283,-4.9462964154448,-1.99439881593503,-3.88446642914937,-3.09915588333861,-3.53272696764936,-4.55555877071053,-4.80515108257697,-2.09673181922298,-2.94869865040684,1.87674556115538,18.872746975051,-2410.0663487609
-3.26595766471568,-4.24048841571027,-4.53928949397112,-4.42744222398904,-2.40166586218344,-4.80456093227033,-1.9548579955754,-3.77921445503135,-3.02139790299828,-3.4399194075627,-4.42744226267056,-4.66846654778587,-2.05370959293344,-2.8778600193995,1.61900651152231,18.8765772491645,-2410.01666287334
-3.17562697026381,-4.11387517260793,-4.40155113438059,-4.29386841449461,-2.34305034482356,-4.65648424115674,-1.91288932982855,-3.66930976325252,-2.93970379812429,-3.34311278863491,-4.2938684236845,-4.52592016553278,-2.00852939128612,-2.80190521676046,1.41451424452078,18.8877337661724,-2409.95307530955
