"B_mean_avail","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","c_msqd","c_psdn","B_d_d","B_unem_rate_part","B_unem_rate_nopart","w_cmck","w_jmck","w_msqd","w_psdn","w_nanc","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","lambda_part","lambda_laa","lambda_sba","lambda_mna","asc_no_participation","w_nopart","logLike"
1,1.5,-0.05,-0.0025,-0.01,2.8,0.15,-5,-1.5,-1,0.15,0,-1,-1,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,0.5,0.5,0.5,0,0,-1870.23656805425
1,1.5,-0.05,-0.0025,-0.01,2.8,0.15,-5,-1.5,-1,0.15,0,-1,-1,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,0.5,0.5,0.5,0,0,-1870.23656805425
1,1.5,-0.05,-0.0025,-0.01,2.8,0.15,-5,-1.5,-1,0.15,0,-1,-1,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,0.5,0.5,0.5,0,0,-1870.23656805425
1,1.5,-0.05,-0.0025,-0.01,2.8,0.15,-5,-1.5,-1,0.15,0,-1,-1,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.5,0.5,0.5,0.5,0,0,-1870.23656805425
1.00000000001374,1.50000000003801,-0.0499999991830076,-0.00249999427712984,-0.00999999698662745,2.80000000004142,0.150000000025269,-5,-1.49999999999951,-0.999999999997873,0.150000000406618,0,-1.00000000000093,-1.00000000000042,-1.00000000001115,-0.999999999999316,-0.99999999999682,-4.99999999999648,-5.0000000000056,-4.9999999999985,-5.00000000000586,-4.99999999999288,-5.00000000000213,-4.99999999997634,-4.99999999999842,-4.99999999999156,-4.99999999999351,-4.99999999999818,-4.99999999999963,-4.99999999998278,-5.0000000000001,0.500000000026993,0.500000000049436,0.500000000001475,0.500000000016572,0,0,-1870.23640526925
1.00000000003797,1.50000000009522,-0.0499999977891645,-0.00249998895476903,-0.00999999166777523,2.80000000010618,0.150000000071846,-4.99999999999997,-1.49999999999849,-0.999999999994559,0.150000001088625,0,-1.00000000000313,-1.00000000000144,-1.00000000003837,-0.999999999997967,-0.999999999990383,-4.9999999999899,-5.00000000001844,-4.99999999999561,-5.00000000001964,-4.99999999998389,-5.00000000000749,-4.99999999992898,-4.99999999999836,-4.99999999998148,-4.99999999998031,-4.99999999999443,-4.999999999999,-4.99999999994649,-5.00000000000103,0.500000000065972,0.500000000147988,0.500000000007824,0.500000000049368,0,0,-1870.23622247601
1.00001780566034,1.50002773213665,-0.0490503724461294,-0.00334252817596963,-0.00636632783736897,2.80003359544583,0.150034708593415,-5.0000000000265,-1.49999895417097,-0.999997123176092,0.150447605397599,0,-1.00000252283848,-1.00000119149285,-1.00003127303262,-0.999998855152263,-0.99999453449422,-4.9999942261746,-5.00001379862342,-4.99999762563465,-5.00001495838347,-4.99999845816062,-5.00000655345203,-4.99996004219951,-5.00000297316643,-4.9999959257986,-4.99998731829201,-4.99999649051418,-4.9999996205999,-4.99996569541835,-5.00000322611723,0.500114359195358,0.50000211574988,0.500008336053269,0.500029984782143,0,0,-1853.4968305916
1.00089075520918,1.49835271463148,-0.0195361597452635,-0.00396315111979854,-0.0129099521722945,2.79797036411662,0.150809144617288,-5.00000000350348,-1.49987757642032,-0.999326313348632,0.160800266001956,0,-1.0003440854285,-1.00016476421269,-1.00423280486208,-0.999880731600593,-0.999768740253836,-4.99926074317294,-5.00170892276769,-4.99982596913553,-5.00172924873912,-5.00091147512309,-5.00109523401036,-4.99834412243423,-5.00032134665368,-4.99871112905536,-4.99849481847656,-4.99962490915222,-5.00000248607047,-4.99709410309285,-5.00139651038525,0.516391920536458,0.498143592919959,0.500978976465184,0.503766689570585,0,0,-1845.71954983431
1.00354607136511,1.48275733166912,-0.0230299823516056,-0.00351872892478693,-0.0108789056800989,2.778796021832,0.153303572055338,-5.00000002143182,-1.49912408411889,-0.997020511360146,0.159039909242615,0,-1.00296072036503,-1.00144816696685,-1.03077965276349,-0.999273928684808,-0.999159103333804,-4.99616069301165,-5.01367567574745,-4.99835228433352,-5.01390575797449,-5.00414839822531,-5.00695225177084,-4.9884638754185,-5.00182554223274,-4.99304329274965,-4.98986020578763,-4.99754721562024,-5.00044381740836,-4.9828687829993,-5.0105778132984,0.609271363282314,0.49087853502787,0.505737311358251,0.524262039898584,0,0,-1824.99740824693
1.01114650857305,1.41110303089362,-0.0219937831117784,-0.00408053222990778,-0.0106250746657424,2.73727438333874,0.185682120054923,-5.0000001415832,-1.49563470352409,-0.992157237548225,0.160224538688692,0,-1.0157875444214,-1.00738042325094,-1.16288410792273,-0.996380570953836,-0.997638547498435,-4.98038610319474,-5.07226399657965,-4.99117522887952,-5.07183935567662,-5.01026095453482,-5.04455123611039,-4.93804026443159,-5.01289713222498,-4.95767922352136,-4.94428451844636,-4.98872533645429,-5.0036083176907,-4.91681842610583,-5.0603833050732,0.64051321779684,0.613132052678737,0.509582119513664,0.591623744970749,0,0,-1802.72593676944
1.01255061053427,1.392403214779,-0.0225423327180621,-0.00398646111386801,-0.0105093044985539,2.7337975394666,0.200357959820853,-5.00000025726901,-1.49458393624721,-0.991256663890198,0.161519430165278,0,-1.02033604068084,-1.00921653669626,-1.20769189715083,-0.995863455943886,-0.997713458446754,-4.97485606021087,-5.0924112142623,-4.99028775861289,-5.09096984236345,-5.00681587677871,-5.05779388315296,-4.91933387695254,-5.01698059717006,-4.94397853937331,-4.93146899129999,-4.98670261707752,-5.0055057386513,-4.89642088493115,-5.07687825730562,0.635857931404069,0.603272336856247,0.509128683379305,0.59926659275929,0,0,-1796.01605931573
1.01258248574576,1.36426466805847,-0.0053390847006154,-0.00379258679888104,-0.00901333561756288,2.70215638110332,0.157450540678058,-5.00000044579156,-1.49208130828092,-0.974599297821325,0.123554385823433,0,-1.03426081060047,-1.01053224032503,-1.34530450950648,-0.999705137372257,-1.00693674752018,-4.9572719850996,-5.15075977357149,-4.98355209463634,-5.14053706997605,-4.96878073142472,-5.08460594170817,-4.87987308251834,-5.02954829821162,-4.90049008006565,-4.8931149374919,-4.99103237081446,-5.02048453301705,-4.86990771667373,-5.10833945198753,0.636880517561959,0.603526512700316,0.497298559843684,0.514260083678094,0,0,-1785.6808890376
1.01248566093186,1.35271922621176,-0.0118481587873214,-0.00388571777638419,-0.00951441428928262,2.68171355342947,0.122340442384524,-5.00000054627253,-1.49043282059439,-0.960590352354586,0.14786347038519,0,-1.042513114825,-1.01081869008295,-1.42867328564989,-1.00271701074935,-1.01320326733288,-4.94614490099527,-5.18433759784583,-4.97915713344671,-5.16954478519643,-4.94095870174052,-5.09920404993142,-4.86049831735497,-5.03705128401204,-4.87352497295153,-4.86964649946311,-4.99440634825068,-5.03021720078265,-4.85871341671789,-5.12245305539459,0.638267255949291,0.605542333945289,0.48847795390646,0.462972782671863,0,0,-1778.71004228522
1.00850476169036,1.36370757784144,-0.0103415303185159,-0.00393206098671098,-0.00908420783531638,2.63709281641226,0.0427850260538723,-5.00000067399031,-1.48648600638495,-0.924303667744123,0.152426937765192,0,-1.05216476835669,-1.01078395236295,-1.52898182198798,-1.01055903367329,-1.02675233072561,-4.93281673882373,-5.21589416464392,-4.97290563803953,-5.20680193511569,-4.88082629037639,-5.10759348155571,-4.84856527865386,-5.04591857112444,-4.84138436981919,-4.84370297841425,-4.9992873654053,-5.04477748731982,-4.87266909725846,-5.1257531206315,0.622867335615146,0.588560764081507,0.465427650301156,0.488157002319943,0,0,-1771.20287288535
1.01272504093022,1.47927673482744,-0.00929544035019249,-0.00407622264056483,-0.0094276147558555,2.51896875429861,0.116407858631074,-5.0000004263021,-1.47415898971211,-0.773436068770228,0.150872725618666,0,-1.06783933495284,-1.00983266940173,-1.6358302473123,-1.0476296160714,-1.05407884408203,-4.88795409009729,-5.23493392423243,-4.96279240060348,-5.28681545364561,-4.7813925702986,-5.09014821106348,-4.84743363423096,-5.02635307624365,-4.81617238352738,-4.77837830837795,-5.02549898537868,-5.09724804181159,-4.87505281004975,-5.10037748106388,0.613412668243101,0.587230066899431,0.427492011526048,0.481163615947569,0,0,-1763.50935220052
1.06109657289798,1.55229232029398,-0.0109381261707563,-0.00400699458156089,-0.00860553015258319,2.43509086938529,0.118219320187124,-5.00000000029129,-1.45390077703807,-0.612303801159905,0.14894961331359,0,-1.09250892899854,-1.00659272416887,-1.69307253789989,-1.09823365839913,-1.07617390369554,-4.77741367000342,-5.27095414084183,-4.92184941216541,-5.39421428125643,-4.8661580564805,-5.06191218044589,-4.81121232005434,-4.98411193170234,-4.76369200713572,-4.64402131742697,-5.04361042109589,-5.14785297608041,-4.8752926415572,-5.03269957924548,0.591600888282971,0.564180800230161,0.363907460058406,0.480964548249537,0,0,-1755.94555097406
1.11350902442982,1.52927505727834,-0.00900550810973448,-0.00392277756376541,-0.00681919365592703,2.36869392560035,0.11543391870605,-4.99999772195189,-1.42673547521622,-0.515548458431424,0.145387617214843,0,-1.13004382265715,-0.997716983544043,-1.69150434273161,-1.15294247239108,-1.08362317686914,-4.66097133265127,-5.33706982296482,-4.8415136944912,-5.49644491463742,-4.84881497220539,-5.05688554478474,-4.92007776869253,-4.94133502386946,-4.72529967615059,-4.48204963455518,-5.03170283289418,-5.17010694441393,-4.82672464127169,-5.00081489377267,0.569288192194594,0.535994292380057,0.342929747548557,0.480004521054536,0,0,-1749.8859958255
1.14240932199062,1.54243538072115,-0.0095093139403667,-0.00392573154529898,-0.00648419092237705,2.29589383572326,0.112938065503597,-4.99999290003634,-1.38834064075014,-0.460240255231991,0.149985953330058,0,-1.18052049802512,-0.979384380674525,-1.64001915021179,-1.22444194176107,-1.10049607204343,-4.55419906480014,-5.41461978376442,-4.71496049386014,-5.5808082238391,-4.78706242897255,-5.10430520567916,-4.87957518088462,-4.90264298921517,-4.6728821807355,-4.31065313032348,-4.99319965610849,-5.16831297636192,-4.84990779091948,-5.04447275475479,0.55145431844494,0.518408555715444,0.402977293534172,0.480348003080376,0,0,-1742.2613740026
1.18636016928136,1.61287715849804,-0.0131888830574156,-0.00402496558521038,-0.00684661703571548,2.28582160055549,0.111743061305328,-4.99998599250833,-1.34367905414612,-0.467101701126034,0.15019390191552,0,-1.2204219012191,-0.961628932450539,-1.65034325257844,-1.30369551824365,-1.08363814738689,-4.49439451380759,-5.44596187838286,-4.56853305418422,-5.62401883356902,-4.73093464401474,-5.15532332349061,-4.83824151064553,-4.88141166010383,-4.6208287986223,-4.23152704025417,-4.93249904969606,-5.13472976374849,-4.80151999698718,-5.09310869499788,0.555065998043965,0.519333243389869,0.306005180642835,0.483728414595615,0,0,-1734.63653034231
1.24162837040609,1.69884316629032,-0.0165661527115118,-0.00386208516937394,-0.00682313262748404,2.24489953707859,0.109248544527548,-4.99997550651338,-1.28049229995979,-0.508400634453718,0.147963002842982,0,-1.24843982846049,-0.955777787915645,-1.79422283248803,-1.40089305667114,-1.03653358181079,-4.43198557510288,-5.43573998038489,-4.40438196699103,-5.65793997695733,-4.71543691715693,-5.15947787869318,-4.81275698701355,-4.87105372068789,-4.60388679490513,-4.20285578960421,-4.83336970022568,-5.06253171851346,-4.73269984424382,-5.05958498863958,0.539945996059236,0.510392189945879,0.356655912816883,0.485577061199688,0,0,-1724.52469612969
