"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"asc_car",0,NA,NA,NA,NA,NA,NA
"asc_bus",1.00990332992525,0.165034129486636,6.11936048056671,0.060007769035728,0.217660148704278,4.63981732961757,0.0454990497075398
"asc_air",1.06800439131459,0.131061640652651,8.14887091292483,0.518873340635363,0.181013344982092,5.90014173496575,0.375687170033349
"asc_rail",1.1048107522066,0.129002334868661,8.56426942451409,0.812471745672764,0.184356434034581,5.99279736556072,0.568522345072827
"asc_bus_shift_female",0.125228091586751,0.0739925535361146,1.69244181477842,-11.8224316719423,0.0902051934485954,1.38825811241249,-9.69757809911188
"asc_air_shift_female",0.120102865370467,0.0622172784198639,1.93037799821412,-14.1423276134272,0.0742294229953834,1.61799540564847,-11.8537515061144
"asc_rail_shift_female",0.0904774158301343,0.05924440754076,1.52718914047518,-15.3520411786398,0.071255791888975,1.26975524980634,-12.7641916545817
"b_tt_car",0.00842674239563237,0.00030147773017286,27.9514589379477,-3289.04313109901,0.000372559717381828,22.6185011488936,-2661.51495006672
"b_tt_bus",0.00153175175245667,0.000275821340058382,5.55342002229579,-3619.98186230334,0.000290746872512968,5.26833440792508,-3434.14957353672
"b_tt_air",0.0165199219023718,0.00114774406742749,14.3933847023919,-856.880994647149,0.00155673884898356,10.6118774598309,-631.756622981285
"b_tt_rail",0.0120415097779897,0.000740863530033818,16.2533439558565,-1333.52290964695,0.00107644803864434,11.1863363076536,-917.794872352809
"b_tt_shift_business",-0.00442688611922863,0.000272778209621322,-16.2288847242386,-3682.21086102735,0.000355138783218112,-12.465228604756,-2828.26583178991
"b_access",0.0112839960131511,0.0010786123402617,10.4615862362684,-916.655564822263,0.00133484026360107,8.45344294807953,-740.699865704934
"b_cost",-0.0129338187004026,0.000874621663558462,-14.7879011454855,-1158.13941147902,0.00104845903080429,-12.3360267978052,-966.116737936211
"b_cost_shift_business",0.00875313757948827,0.000797009037067486,10.9824822208975,-1243.70843531173,0.00110364263319044,7.93113397059019,-898.15927059196
"cost_income_elast",-0.899449870849877,0.0600423528567192,-14.9802569029275,-31.6351671857795,0.0669150403635629,-13.4416697047926,-28.3859930522314
"b_no_frills",0,NA,NA,NA,NA,NA,NA
"b_wifi",0.380413249750586,0.0296261235968032,12.8404665736166,-20.9135274895116,0.0369823005568384,10.2863597997622,-16.7536021534725
"b_food",0.150492908843239,0.023322512200444,6.45268861046512,-36.4243390187009,0.0274168776357105,5.48906082023074,-30.9848226499096
"lambda_PT",0.417506796508699,0.0308861288146296,13.5176149466469,-18.8593788165319,0.0385253137077477,10.8372069251894,-15.1197523765824
"lambda_fastPT",0.3805630251844,0.0255872128993897,14.8731722630672,-24.2088490548486,0.0370022684887083,10.2848565973876,-16.7405134905345
