"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"asc_sfa_nanc",19.2044055208975,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",13.7801356741503,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-1.11115160125451,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",2.81313776829801,NA,NA,NA,NA,NA,NA
"asc_laa_ytna",-0.621199816142067,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",2.46108787585198,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",1.39645182366833,NA,NA,NA,NA,NA,NA
"asc_laa_btna",-0.611993257826635,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",5.29314393204508,NA,NA,NA,NA,NA,NA
"asc_mna_psdn",1.55339476729328,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-7.35168835626751,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",9.07138086510883,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",2.54972687544149,NA,NA,NA,NA,NA,NA
"asc_mna_nanc",0.0672875834110081,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_mean_avail",0.0526737361373755,NA,NA,NA,NA,NA,NA
"lambda_part",0.0268057056281312,NA,NA,NA,NA,NA,NA
"lambda_cmck",3.41942410355222,NA,NA,NA,NA,NA,NA
"lambda_msqd",-2.23210862379283,NA,NA,NA,NA,NA,NA
"lambda_psdn",-3.80141663535546,NA,NA,NA,NA,NA,NA
"lambda_nanc",-5.65753100828065,NA,NA,NA,NA,NA,NA
"lambda_tuna",-0.0287540988297991,NA,NA,NA,NA,NA,NA
