"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"asc_sfa_nanc",237.271739577876,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",204.35093537732,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-15.7227577477051,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",0.321069170634067,NA,NA,NA,NA,NA,NA
"asc_laa_ytna",-3.55151294945045,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",0.0832709359575231,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",0.536731560440762,NA,NA,NA,NA,NA,NA
"asc_laa_btna",-1.8215919712948,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-0.743657654055438,NA,NA,NA,NA,NA,NA
"asc_mna_psdn",-5.84874434651325,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-165.708119067279,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-1.40445469607009,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-5.91001610342894,NA,NA,NA,NA,NA,NA
"asc_mna_nanc",8.43312983963425,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_mean_avail",1.37592319516509,NA,NA,NA,NA,NA,NA
"B_mean_price",-2.23467258483294,NA,NA,NA,NA,NA,NA
"lambda_part",1.43101641644566,NA,NA,NA,NA,NA,NA
"lambda_cmck",79.4225260675191,NA,NA,NA,NA,NA,NA
"lambda_msqd",0.560296506021428,NA,NA,NA,NA,NA,NA
"lambda_psdn",0.282679113189915,NA,NA,NA,NA,NA,NA
"lambda_nanc",-83.4554736658908,NA,NA,NA,NA,NA,NA
"lambda_tuna",1.3474938606362,NA,NA,NA,NA,NA,NA
