"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"asc_car",0,NA,NA,NA,NA,NA,NA
"asc_bus",1.00990334485243,0.165034147878647,6.11935988905176,0.0600078527973082,0.217660187215401,4.63981657726412,0.045499110237512
"asc_air",1.06800428349032,0.131061666661854,8.14886847308164,0.518872414966105,0.181013383316191,5.9001398897934,0.375686494802047
"asc_rail",1.10481114287928,0.129002316678653,8.56427366053728,0.812474888651521,0.184356399940412,5.99280059296221,0.568524569329594
"asc_bus_shift_female",0.125228098472013,0.0739925548645615,1.69244187744611,-11.8224313666314,0.0902051956717166,1.38825815452754,-9.69757778378466
"asc_air_shift_female",0.120102856846806,0.0622172793189758,1.93037783331961,-14.1423275460525,0.074229423599595,1.61799527764972,-11.8537515244561
"asc_rail_shift_female",0.0904774132525968,0.0592444078250231,1.52718908964066,-15.3520411484854,0.0712557924927133,1.2697552028749,-12.7641915826059
"b_tt_car",0.0084267428348508,0.000301477740288795,27.9514594569355,-3289.04301927993,0.000372559719253912,22.6185022141583,-2661.51493551389
"b_tt_bus",0.001531751928076,0.000275821368703104,5.55342008227356,-3619.98148572267,0.000290746916855438,5.26833420846765,-3434.14904918277
"b_tt_air",0.0165199240051714,0.00114774431141301,14.3933834747858,-856.880810660736,0.00155673923942228,10.6118761490859,-631.756463182495
"b_tt_rail",0.0120415077642592,0.000740863324275861,16.2533457517672,-1333.52328272073,0.00107644770088999,11.1863379468445,-917.79516219777
"b_tt_shift_business",-0.00442688624250725,0.000272778217740932,-16.2288846931013,-3682.21075187334,0.000355138806956753,-12.4652281186672,-2828.26564308648
"b_access",0.0112839976412095,0.0010786124789486,10.461586400529,-916.655445450218,0.00133484046412693,8.4534428978297,-740.699753213934
"b_cost",-0.0129338186264804,0.000874621685233512,-14.7879006944897,-1158.13938269326,0.00104845910129512,-12.3360258979142,-966.116672910983
"b_cost_shift_business",0.00875313753801826,0.000797009045950467,10.9824820464613,-1243.70842150214,0.00110364271129909,7.93113337170051,-898.159207063662
"cost_income_elast",-0.899449914611284,0.0600423551672068,-14.9802570553151,-31.6351666972701,0.0669150486079665,-13.4416687026691,-28.3859902088623
"b_no_frills",0,NA,NA,NA,NA,NA,NA
"b_wifi",0.380413261223988,0.0296261251785379,12.840466275339,-20.9135259856682,0.036982302741289,10.2863595024134,-16.7536008536394
"b_food",0.150492910282187,0.0233225129651617,6.45268846058689,-36.424337762692,0.0274168786150167,5.48906067665046,-30.9848214906756
"lambda_PT",0.417506807178077,0.0308861309743879,13.5176143468501,-18.8593771523196,0.038525318353798,10.8372058951959,-15.1197502762361
"lambda_fastPT",0.38056303904705,0.0255872152486395,14.8731714392908,-24.208846290371,0.0370022714471779,10.2848561497182,-16.7405117774248
