cluster,metric,group,delta_pp
c4,alternative,sba_msqd,-0.7560665639444617
c4,alternative,mna_nanc,0.5698021565024837
c4,alternative,laa_cmck,0.45790077846995636
c4,alternative,mna_msqd,-0.33991949856423676
c4,alternative,sfa_msqd,-0.19778225826787357
c4,alternative,no_participation,0.18600813008373684
c4,alternative,laa_msqd,-0.17661276641805362
c4,alternative,laa_nanc,0.09550255275248458
c4,alternative,laa_psdn,0.07652923779960441
c4,alternative,sba_cmck,0.06631891683449592
c4,alternative,sfa_nanc,0.026373731429218214
c4,alternative,mra_msqd,-0.01070921274748636
c4,alternative,laa_btna,0.0010003414574365254
c4,alternative,mna_psdn,9.888662267218927e-4
c4,alternative,laa_ytna,6.655883859682434e-4
c5,alternative,sba_msqd,-0.5746688889649826
c5,alternative,no_participation,0.5218640223310311
c5,alternative,laa_nanc,0.36613976971349327
c5,alternative,mna_msqd,-0.14110317526982163
c5,alternative,sfa_msqd,-0.07726102776355934
c5,alternative,cwa_albc,-0.056066973449895925
c5,alternative,laa_cmck,0.04898048448485778
c5,alternative,laa_msqd,-0.03901149954433705
c5,alternative,sba_cmck,0.034893069603968804
c5,alternative,clo_psdn,-0.03277177350708288
c5,alternative,cba_msqd,-0.01306889623955078
c5,alternative,laa_psdn,-0.010218688256507028
c5,alternative,cwa_psdn,-0.009024241991532726
c5,alternative,clw_psdn,-0.008641414367542219
c5,alternative,mra_msqd,-0.005751282084491462
c5,alternative,npa_msqd,-0.0033993775838241915
c5,alternative,clw_dcrb,-0.001147478730975822
c5,alternative,cwa_dcrb,2.573716207488787e-4
c6,alternative,no_participation,-3.0858607905818736
c6,alternative,cwa_nanc,2.094017663893924
c6,alternative,clo_psdn,0.4943516922697802
c6,alternative,clw_psdn,0.26110834502835745
c6,alternative,cwa_psdn,0.1825612729756322
c6,alternative,clw_nanc,0.0934738438102197
c6,alternative,clo_nanc,0.07907872135540975
c6,alternative,clo_cmck,-0.06708651729095158
c6,alternative,cwa_dcrb,-0.019924189309070313
c6,alternative,nps_sock,-0.01744340581668084
c6,alternative,cba_psdn,-0.01427663633473972
c7,alternative,no_participation,2.3965267243174493
c7,alternative,sba_nanc,-1.3909953827490662
c7,alternative,sda_nanc,-0.7107522148430995
c7,alternative,sba_msqd,-0.3003968346423025
c7,alternative,laa_cmck,0.28973513355702096
c7,alternative,mna_nanc,-0.09144076474605789
c7,alternative,mna_cmck,0.07953392052381467
c7,alternative,mna_jmck,-0.07931248134409519
c7,alternative,mna_msqd,-0.06285061966377972
c7,alternative,laa_msqd,-0.04921143117368257
c7,alternative,sfa_msqd,-0.04063532960466394
c7,alternative,laa_psdn,-0.02522602199394857
c7,alternative,laa_jmck,-0.015390503912534248
c7,alternative,mna_psdn,7.236522799639392e-4
c7,alternative,mra_msqd,-3.078460050210275e-4
