cluster,metric,group,delta_pp
c4,port,SFA,0.27781457089155004
c4,port,SBA,0.22372716055092876
c4,port,LAA,0.19988909512811057
c4,port,MNA,0.1100423462376307
c4,port,MRA,0.030548558703444306
c5,port,SFA,0.15613778753002827
c5,port,LAA,0.11488074049176601
c5,port,SBA,0.09490371731372613
c5,port,MNA,0.07096416653308846
c5,port,CWA,0.07070330936600625
c5,port,CBA,0.06157738984493608
c5,port,NPA,0.04737678937004618
c5,port,CLO,0.03035589708981247
c5,port,MRA,0.011638756756101026
c5,port,CLW,0.007341281005929408
c6,port,CLW,-0.7523654048344715
c6,port,CLO,-0.7473476842632665
c6,port,CBA,-0.19239779266503532
c6,port,CWA,0.05257654161349504
c6,port,NPS,0.0016098435697480136
c7,port,SDA,-0.07683544174617142
c7,port,SFA,0.07396686033227058
c7,port,SBA,0.02721233914968514
c7,port,MRA,0.013627074536575
c7,port,MNA,0.0029454436203354625
c7,port,LAA,-1.3883303155159954e-4
