cluster,metric,group,delta_pp
c4,species,MSQD,-1.4810902999421116
c4,species,NANC,0.6916784406841868
c4,species,CMCK,0.5242196953044522
c4,species,PSDN,0.07751810402632613
c4,species,BTNA,0.0010003414574365254
c4,species,YTNA,6.655883859682434e-4
c5,species,MSQD,-0.8542641474505674
c5,species,NANC,0.36613976971349327
c5,species,CMCK,0.08387355408882666
c5,species,PSDN,-0.060656118122665026
c5,species,ALBC,-0.056066973449895925
c5,species,DCRB,-8.9010711022703e-4
c6,species,NANC,2.266570229059556
c6,species,PSDN,0.9237446739390281
c6,species,CMCK,-0.06708651729095158
c6,species,DCRB,-0.019924189309070313
c6,species,SOCK,-0.01744340581668084
c7,species,NANC,-2.1931883623382236
c7,species,MSQD,-0.45340206108945014
c7,species,CMCK,0.3692690540808355
c7,species,JMCK,-0.09470298525662939
c7,species,PSDN,-0.024502369713984458
