cluster,metric,group,delta_pp
c4,alternative,sba_msqd,6.055152015857685
c4,alternative,no_participation,-5.99987180998951
c4,alternative,laa_cmck,-1.927274347710815
c4,alternative,laa_msqd,1.5219952442783014
c4,alternative,mna_msqd,0.4301260916707487
c4,alternative,sba_cmck,-0.2284832267365025
c4,alternative,mra_msqd,0.22159897507046356
c4,alternative,sfa_msqd,0.2074902447874791
c4,alternative,laa_psdn,-0.13368553573233388
c4,alternative,mna_psdn,-0.11104082060441173
c4,alternative,laa_ytna,-0.09311114185439713
c4,alternative,mna_nanc,0.06227792114167248
c4,alternative,laa_btna,-0.006316698939203599
c4,alternative,laa_nanc,0.002758267975678167
c4,alternative,sfa_nanc,-0.0016151792148566498
c5,alternative,no_participation,-4.177771891224213
c5,alternative,sba_msqd,3.439023115671258
c5,alternative,laa_msqd,0.4726493967196807
c5,alternative,mna_msqd,0.29592678270655226
c5,alternative,laa_cmck,-0.24103565594339377
c5,alternative,sfa_msqd,0.17363660249610477
c5,alternative,mra_msqd,0.1258185114468804
c5,alternative,sba_cmck,-0.06501327899123002
c5,alternative,clo_psdn,-0.03891909566492886
c5,alternative,laa_nanc,0.03683172235916096
c5,alternative,clw_psdn,-0.015593693338193442
c5,alternative,cba_msqd,0.012473207704164022
c5,alternative,clw_dcrb,-0.008610904258865223
c5,alternative,cwa_psdn,-0.006089272116538251
c5,alternative,npa_msqd,0.005830003583613582
c5,alternative,laa_psdn,-0.004035217892375743
c5,alternative,cwa_albc,-0.003440810671121147
c5,alternative,cwa_dcrb,-0.0016795225865520085
c6,alternative,no_participation,0.6431749747037419
c6,alternative,cwa_nanc,-0.32642235227664934
c6,alternative,cwa_psdn,-0.2632184347319134
c6,alternative,clw_psdn,-0.10102372238096728
c6,alternative,clo_cmck,0.06302032592513056
c6,alternative,clo_nanc,-0.03218758519638507
c6,alternative,cba_psdn,0.027270413527817054
c6,alternative,clw_nanc,-0.02180379135385867
c6,alternative,cwa_dcrb,0.015025471402049795
c6,alternative,clo_psdn,-0.01006785365518948
c6,alternative,nps_sock,0.006232554036223088
c7,alternative,sba_msqd,2.2355664390656504
c7,alternative,laa_msqd,2.02014921406027
c7,alternative,no_participation,-1.901787694413859
c7,alternative,laa_cmck,-1.847562055698676
c7,alternative,laa_jmck,-0.7747235336826175
c7,alternative,mna_msqd,0.4506675806695166
c7,alternative,mna_nanc,-0.19384421880633257
c7,alternative,sba_nanc,-0.1755777648524765
c7,alternative,mra_msqd,0.15963970034093702
c7,alternative,sfa_msqd,0.11182538329082845
c7,alternative,mna_jmck,-0.03986340786054541
c7,alternative,mna_cmck,-0.03505056872929954
c7,alternative,sda_nanc,-0.018063471053164328
c7,alternative,laa_psdn,0.007373158970007268
c7,alternative,mna_psdn,0.0012512386997630236
