cluster,metric,group,delta_pp
c4,port,SBA,5.826668789121178
c4,port,LAA,-0.6356342119827705
c4,port,MNA,0.38136319220800974
c4,port,MRA,0.22159897507046356
c4,port,SFA,0.20587506557262247
c5,port,SBA,3.374009836680028
c5,port,MNA,0.29592678270655226
c5,port,LAA,0.264410245243072
c5,port,SFA,0.17363660249610477
c5,port,MRA,0.1258185114468804
c5,port,CLO,-0.03891909566492886
c5,port,CLW,-0.024204597597058536
c5,port,CBA,0.012473207704164022
c5,port,CWA,-0.011209605374211395
c5,port,NPA,0.005830003583613582
c6,port,CWA,-0.5746153156065124
c6,port,CLW,-0.12282751373482587
c6,port,CBA,0.027270413527817054
c6,port,CLO,0.020764887073555956
c6,port,NPS,0.006232554036223088
c7,port,SBA,2.0599886742131757
c7,port,LAA,-0.5947632163510186
c7,port,MNA,0.1831606239731023
c7,port,MRA,0.15963970034093702
c7,port,SFA,0.11182538329082845
c7,port,SDA,-0.018063471053164328
