LANDING_YEAR,LANDING_MONTH,LANDING_DAY,PORT_AREA_CODE,MSQD_SPAWN_SDM_30,MSQD_SPAWN_SDM_90,MSQD_SPAWN_SDM_220
2000,1,1,NPS,0,0,0.01995685
2000,1,2,NPS,0,0,0.018338727
2000,1,3,NPS,0,0,0.018338727
2000,1,4,NPS,0,0,0.016720604
2000,1,5,NPS,0,0,0.017259978
2000,1,6,NPS,0,0,0.017259978
2000,1,7,NPS,0,0,0.015641855
2000,1,8,NPS,0,0,0.014563107
2000,1,9,NPS,0,0.003215434,0.014023732
2000,1,10,NPS,0,0.003215434,0.014563107
2000,1,11,NPS,0,0.003215434,0.014563107
2000,1,12,NPS,0,0.003215434,0.015102481
2000,1,13,NPS,0,0.003215434,0.011866235
2000,1,14,NPS,0,0.003215434,0.013484358
2000,1,15,NPS,0,0.003215434,0.012405609
2000,1,16,NPS,0,0.003215434,0.013484358
2000,1,17,NPS,0,0.003215434,0.013484358
2000,1,18,NPS,0,0.003215434,0.015641855
2000,1,19,NPS,0,0.003215434,0.015641855
2000,1,20,NPS,0,0.003215434,0.017259978
2000,1,21,NPS,0,0.003215434,0.01618123
2000,1,22,NPS,0,0.003215434,0.015641855
2000,1,23,NPS,0,0.003215434,0.01618123
2000,1,24,NPS,0,0.003215434,0.017799353
2000,1,25,NPS,0,0.006430868,0.018878101
2000,1,26,NPS,0,0.003215434,0.019417476
2000,1,27,NPS,0,0,0.018878101
2000,1,28,NPS,0,0,0.018878101
2000,1,29,NPS,0,0,0.018338727
2000,1,30,NPS,0,0,0.015641855
2000,1,31,NPS,0,0,0.014023732
2000,1,1,SPS,0,0,0.02970297
2000,1,2,SPS,0,0,0.028052805
2000,1,3,SPS,0,0,0.02750275
2000,1,4,SPS,0,0,0.026952695
2000,1,5,SPS,0,0,0.02750275
2000,1,6,SPS,0,0,0.02750275
2000,1,7,SPS,0,0,0.025852585
2000,1,8,SPS,0,0,0.023652365
2000,1,9,SPS,0,0,0.022552255
2000,1,10,SPS,0,0,0.022552255
2000,1,11,SPS,0,0,0.0220022
2000,1,12,SPS,0,0,0.02310231
2000,1,13,SPS,0,0,0.020352035
2000,1,14,SPS,0,0,0.0220022
2000,1,15,SPS,0,0,0.0220022
2000,1,16,SPS,0,0,0.02310231
2000,1,17,SPS,0,0,0.023652365
2000,1,18,SPS,0,0,0.026952695
2000,1,19,SPS,0,0,0.029152915
2000,1,20,SPS,0,0,0.030253025
2000,1,21,SPS,0,0,0.029152915
2000,1,22,SPS,0,0,0.02860286
2000,1,23,SPS,0,0,0.03190319
2000,1,24,SPS,0,0,0.03410341
2000,1,25,SPS,0,0,0.03520352
2000,1,26,SPS,0,0,0.03520352
2000,1,27,SPS,0,0,0.034653465
2000,1,28,SPS,0,0,0.034653465
2000,1,29,SPS,0,0,0.033553355
2000,1,30,SPS,0,0,0.031353135
2000,1,31,SPS,0,0,0.02970297
2000,1,1,CWA,0.470588235,0.124590164,0.036504425
2000,1,2,CWA,0.470588235,0.118032787,0.034845133
2000,1,3,CWA,0.470588235,0.114754098,0.034292035
2000,1,4,CWA,0.441176471,0.11147541,0.033185841
2000,1,5,CWA,0.441176471,0.11147541,0.033738938
2000,1,6,CWA,0.441176471,0.11147541,0.033738938
2000,1,7,CWA,0.441176471,0.104918033,0.032079646
2000,1,8,CWA,0.441176471,0.098360656,0.029867257
2000,1,9,CWA,0.441176471,0.091803279,0.028761062
2000,1,10,CWA,0.441176471,0.095081967,0.028207965
2000,1,11,CWA,0.441176471,0.091803279,0.027654867
2000,1,12,CWA,0.441176471,0.098360656,0.028761062
2000,1,13,CWA,0.382352941,0.08852459,0.025995575
2000,1,14,CWA,0.411764706,0.101639344,0.028761062
2000,1,15,CWA,0.411764706,0.101639344,0.028761062
2000,1,16,CWA,0.411764706,0.108196721,0.029867257
2000,1,17,CWA,0.411764706,0.104918033,0.030973451
2000,1,18,CWA,0.411764706,0.114754098,0.034292035
2000,1,19,CWA,0.441176471,0.124590164,0.036504425
2000,1,20,CWA,0.411764706,0.124590164,0.037610619
2000,1,21,CWA,0.382352941,0.118032787,0.038163717
2000,1,22,CWA,0.411764706,0.114754098,0.038163717
2000,1,23,CWA,0.470588235,0.131147541,0.041482301
2000,1,24,CWA,0.5,0.140983607,0.04369469
2000,1,25,CWA,0.558823529,0.144262295,0.044800885
2000,1,26,CWA,0.558823529,0.147540984,0.044800885
2000,1,27,CWA,0.558823529,0.150819672,0.044247788
2000,1,28,CWA,0.558823529,0.150819672,0.044247788
2000,1,29,CWA,0.529411765,0.140983607,0.043141593
2000,1,30,CWA,0.5,0.13442623,0.040929204
2000,1,31,CWA,0.5,0.131147541,0.040376106
2000,1,1,CLW,0.363636364,0.104026846,0.043993232
2000,1,2,CLW,0.363636364,0.104026846,0.042301184
2000,1,3,CLW,0.363636364,0.100671141,0.041737169
2000,1,4,CLW,0.363636364,0.100671141,0.041173153
2000,1,5,CLW,0.363636364,0.100671141,0.041173153
2000,1,6,CLW,0.363636364,0.100671141,0.041173153
2000,1,7,CLW,0.363636364,0.097315436,0.040045121
2000,1,8,CLW,0.303030303,0.087248322,0.037789058
2000,1,9,CLW,0.242424242,0.080536913,0.036661027
2000,1,10,CLW,0.212121212,0.077181208,0.036661027
2000,1,11,CLW,0.212121212,0.077181208,0.036097011
2000,1,12,CLW,0.212121212,0.077181208,0.035532995
2000,1,13,CLW,0.212121212,0.073825503,0.033840948
2000,1,14,CLW,0.212121212,0.080536913,0.036661027
2000,1,15,CLW,0.212121212,0.080536913,0.037789058
2000,1,16,CLW,0.212121212,0.083892617,0.039481105
2000,1,17,CLW,0.212121212,0.080536913,0.042301184
2000,1,18,CLW,0.242424242,0.087248322,0.044557248
2000,1,19,CLW,0.363636364,0.100671141,0.046249295
2000,1,20,CLW,0.363636364,0.104026846,0.046249295
2000,1,21,CLW,0.333333333,0.100671141,0.046813311
2000,1,22,CLW,0.303030303,0.10738255,0.047377327
2000,1,23,CLW,0.363636364,0.120805369,0.050197406
2000,1,24,CLW,0.363636364,0.124161074,0.050761421
2000,1,25,CLW,0.363636364,0.124161074,0.051325437
2000,1,26,CLW,0.363636364,0.124161074,0.051889453
2000,1,27,CLW,0.363636364,0.124161074,0.052453469
2000,1,28,CLW,0.363636364,0.124161074,0.052453469
2000,1,29,CLW,0.363636364,0.120805369,0.050761421
2000,1,30,CLW,0.363636364,0.120805369,0.04963339
2000,1,31,CLW,0.363636364,0.127516779,0.04963339
2000,1,1,CLO,0.303030303,0.094276094,0.044557248
2000,1,2,CLO,0.303030303,0.094276094,0.0428652
2000,1,3,CLO,0.303030303,0.090909091,0.042301184
2000,1,4,CLO,0.303030303,0.090909091,0.041737169
2000,1,5,CLO,0.303030303,0.090909091,0.041737169
2000,1,6,CLO,0.303030303,0.090909091,0.041173153
2000,1,7,CLO,0.303030303,0.087542088,0.040045121
2000,1,8,CLO,0.242424242,0.077441077,0.037789058
2000,1,9,CLO,0.212121212,0.070707071,0.036661027
2000,1,10,CLO,0.181818182,0.067340067,0.036661027
2000,1,11,CLO,0.181818182,0.067340067,0.036097011
2000,1,12,CLO,0.181818182,0.067340067,0.036097011
2000,1,13,CLO,0.181818182,0.067340067,0.034404963
2000,1,14,CLO,0.181818182,0.070707071,0.037225042
2000,1,15,CLO,0.181818182,0.070707071,0.038353074
2000,1,16,CLO,0.181818182,0.074074074,0.040045121
2000,1,17,CLO,0.181818182,0.070707071,0.042301184
2000,1,18,CLO,0.242424242,0.077441077,0.044557248
2000,1,19,CLO,0.303030303,0.090909091,0.046813311
2000,1,20,CLO,0.303030303,0.094276094,0.046249295
2000,1,21,CLO,0.303030303,0.101010101,0.047377327
2000,1,22,CLO,0.333333333,0.104377104,0.047941342
2000,1,23,CLO,0.333333333,0.114478114,0.050761421
2000,1,24,CLO,0.333333333,0.117845118,0.051325437
2000,1,25,CLO,0.333333333,0.117845118,0.051889453
2000,1,26,CLO,0.333333333,0.117845118,0.052453469
2000,1,27,CLO,0.333333333,0.117845118,0.053017484
2000,1,28,CLO,0.333333333,0.117845118,0.053017484
2000,1,29,CLO,0.333333333,0.114478114,0.051325437
2000,1,30,CLO,0.333333333,0.114478114,0.050197406
2000,1,31,CLO,0.333333333,0.121212121,0.050761421
2000,1,1,TLA,0.15625,0.081911263,0.042358329
2000,1,2,TLA,0.15625,0.081911263,0.041785919
2000,1,3,TLA,0.15625,0.081911263,0.040641099
2000,1,4,TLA,0.15625,0.081911263,0.040068689
2000,1,5,TLA,0.15625,0.081911263,0.040068689
2000,1,6,TLA,0.15625,0.081911263,0.038923869
2000,1,7,TLA,0.15625,0.081911263,0.03835146
2000,1,8,TLA,0.15625,0.075085324,0.03663423
2000,1,9,TLA,0.15625,0.071672355,0.03548941
2000,1,10,TLA,0.15625,0.068259386,0.03548941
2000,1,11,TLA,0.15625,0.068259386,0.034917001
2000,1,12,TLA,0.15625,0.064846416,0.03548941
2000,1,13,TLA,0.15625,0.064846416,0.034344591
2000,1,14,TLA,0.15625,0.068259386,0.03663423
2000,1,15,TLA,0.15625,0.075085324,0.03777905
2000,1,16,TLA,0.15625,0.075085324,0.039496279
2000,1,17,TLA,0.1875,0.085324232,0.041213509
2000,1,18,TLA,0.1875,0.088737201,0.042930738
2000,1,19,TLA,0.1875,0.09556314,0.045220378
2000,1,20,TLA,0.1875,0.09556314,0.044075558
2000,1,21,TLA,0.28125,0.105802048,0.045792788
2000,1,22,TLA,0.28125,0.112627986,0.046365197
2000,1,23,TLA,0.28125,0.112627986,0.049227247
