"","Estimate","Std.err.","t-ratio(0)","t-ratio(1)","Rob.std.err.","Rob.t-ratio(0)","Rob.t-ratio(1)"
"B_mean_avail",0.70000000000844,NA,NA,NA,NA,NA,NA
"B_mean_price",0.100000000073652,NA,NA,NA,NA,NA,NA
"B_wind_max_220_mh",-0.0299999988388152,NA,NA,NA,NA,NA,NA
"B_dist_to_cog",-0.00299999551030699,NA,NA,NA,NA,NA,NA
"B_dist_port_to_catch_area_zero",-0.00499999541456617,NA,NA,NA,NA,NA,NA
"B_dummy_last_day",1.10000000007387,NA,NA,NA,NA,NA,NA
"B_unem_rate_part",0.150000000578606,NA,NA,NA,NA,NA,NA
"B_d_d",-1.40000000000509,NA,NA,NA,NA,NA,NA
"B_d_cd",-1.50000000000105,NA,NA,NA,NA,NA,NA
"w_cmck",-4.00000000000013,NA,NA,NA,NA,NA,NA
"w_msqd",-3.99999999999665,NA,NA,NA,NA,NA,NA
"w_psdn",-4.00000000000039,NA,NA,NA,NA,NA,NA
"c_psdn",-0.500000000001831,NA,NA,NA,NA,NA,NA
"w_nanc",-4.00000000000062,NA,NA,NA,NA,NA,NA
"w_tuna",-3.99999999999991,NA,NA,NA,NA,NA,NA
"c_btna",-4,NA,NA,NA,NA,NA,NA
"asc_sfa_nanc",-2.75000000000385,NA,NA,NA,NA,NA,NA
"asc_laa_nanc",-2.75000000000703,NA,NA,NA,NA,NA,NA
"asc_laa_cmck",-2.75000000000598,NA,NA,NA,NA,NA,NA
"asc_laa_msqd",-2.74999999996607,NA,NA,NA,NA,NA,NA
"asc_laa_ytna",-2.7500000000065,NA,NA,NA,NA,NA,NA
"asc_mna_msqd",-2.74999999996799,NA,NA,NA,NA,NA,NA
"asc_sba_msqd",-2.74999999993119,NA,NA,NA,NA,NA,NA
"asc_laa_btna",-2.75000000000586,NA,NA,NA,NA,NA,NA
"asc_sfa_msqd",-2.74999999999256,NA,NA,NA,NA,NA,NA
"asc_mna_psdn",-2.75000000000612,NA,NA,NA,NA,NA,NA
"asc_sba_cmck",-2.75000000000426,NA,NA,NA,NA,NA,NA
"asc_mra_msqd",-2.75000000001018,NA,NA,NA,NA,NA,NA
"asc_laa_psdn",-2.75000000000626,NA,NA,NA,NA,NA,NA
"asc_mna_nanc",-2.75000000000035,NA,NA,NA,NA,NA,NA
"lambda_part",0.499999999971651,NA,NA,NA,NA,NA,NA
"lambda_cmck",0.499999999993511,NA,NA,NA,NA,NA,NA
"lambda_msqd",0.500000000069744,NA,NA,NA,NA,NA,NA
"lambda_psdn",0.499999999993551,NA,NA,NA,NA,NA,NA
"lambda_nanc",0.499999999986087,NA,NA,NA,NA,NA,NA
"lambda_tuna",0.499999999995239,NA,NA,NA,NA,NA,NA
"asc_no_participation",0,NA,NA,NA,NA,NA,NA
"B_unem_rate_nopart",0,NA,NA,NA,NA,NA,NA
"w_nopart",0,NA,NA,NA,NA,NA,NA
