lat,lon,bathym,landLon,landLat,distLand
30.1,-133.9,-4509.722222,-121.877388,36.33105469,1315529.306
30.1,-133.8,-4440.166667,-121.877388,36.33105469,1307647.072
30.1,-133.7,-4632.972222,-121.877388,36.33105469,1299783.182
30.1,-133.6,-4543.166667,-121.877388,36.33105469,1291937.977
30.1,-133.5,-4594.611111,-121.877388,36.33105469,1284111.808
30.1,-133.4,-4563.916667,-121.877388,36.33105469,1276305.032
30.1,-133.3,-4371.916667,-121.877388,36.33105469,1268518.014
30.1,-133.2,-4523.472222,-121.877388,36.33105469,1260751.128
30.1,-133.1,-4443.638889,-121.877388,36.33105469,1253004.755
30.1,-133,-4563.027778,-121.877388,36.33105469,1245279.285
30.1,-132.9,-4689.444444,-121.877388,36.33105469,1237575.118
30.1,-132.8,-4517.972222,-121.877388,36.33105469,1229892.661
30.1,-132.7,-4638.083333,-121.877388,36.33105469,1222232.33
30.1,-132.6,-4881.222222,-121.877388,36.33105469,1214594.551
30.1,-132.5,-4814.888889,-121.877388,36.33105469,1206979.759
30.1,-132.4,-4780.527778,-121.877388,36.33105469,1199388.4
30.1,-132.3,-4697.305556,-121.877388,36.33105469,1191820.929
30.1,-132.2,-4667.944444,-121.877388,36.33105469,1184277.809
30.1,-132.1,-4653.027778,-121.877388,36.33105469,1176759.517
30.1,-132,-4508.916667,-121.877388,36.33105469,1169266.539
30.1,-131.9,-4593.527778,-121.877388,36.33105469,1161799.372
30.1,-131.8,-4709.805556,-121.877388,36.33105469,1154358.522
30.1,-131.7,-4567.805556,-121.877388,36.33105469,1146944.51
30.1,-131.6,-4484.555556,-121.877388,36.33105469,1139557.866
30.1,-131.5,-4576.25,-120.4415512,34.03290939,1130519.184
30.1,-131.4,-4741.861111,-120.4415512,34.03290939,1121842.736
30.1,-131.3,-4715.055556,-120.4415512,34.03290939,1113178.122
30.1,-131.2,-4603.972222,-120.4415512,34.03290939,1104525.629
30.1,-131.1,-4674.083333,-120.4415512,34.03290939,1095885.551
30.1,-131,-4632.416667,-120.4415512,34.03290939,1087258.192
30.1,-130.9,-4524.166667,-120.4415512,34.03290939,1078643.865
30.1,-130.8,-4525.388889,-120.4415512,34.03290939,1070042.892
30.1,-130.7,-4531.75,-120.4415512,34.03290939,1061455.606
30.1,-130.6,-4606.916667,-120.4415512,34.03290939,1052882.348
30.1,-130.5,-4620.277778,-120.4415512,34.03290939,1044323.472
30.1,-130.4,-4488.722222,-120.4415512,34.03290939,1035779.342
30.1,-130.3,-4684.055556,-120.4415512,34.03290939,1027250.334
30.1,-130.2,-4490.583333,-120.4415512,34.03290939,1018736.834
30.1,-130.1,-4517.25,-120.4415512,34.03290939,1010239.242
30.1,-130,-4469.944444,-120.4415512,34.03290939,1001757.971
30.1,-129.9,-3967.638889,-120.4415512,34.03290939,993293.4459
30.1,-129.8,-4387.527778,-120.4415512,34.03290939,984846.1061
30.1,-129.7,-4518.805556,-120.4415512,34.03290939,976416.405
30.1,-129.6,-4620.222222,-120.4415512,34.03290939,968004.8109
30.1,-129.5,-4651.777778,-120.4415512,34.03290939,959611.8074
30.1,-129.4,-4645.333333,-120.4415512,34.03290939,951237.8938
30.1,-129.3,-4635.111111,-120.4415512,34.03290939,942883.5862
30.1,-129.2,-4579.527778,-120.4415512,34.03290939,934549.4177
30.1,-129.1,-4573.638889,-120.4415512,34.03290939,926235.9392
30.1,-129,-4768.555556,-120.4415512,34.03290939,917943.7203
30.1,-128.9,-4652.5,-120.4415512,34.03290939,909673.3495
30.1,-128.8,-4682.388889,-120.4415512,34.03290939,901425.4356
30.1,-128.7,-4845.166667,-120.4415512,34.03290939,893200.6078
30.1,-128.6,-4674.777778,-120.4415512,34.03290939,884999.5171
30.1,-128.5,-4495.972222,-120.4415512,34.03290939,876822.8366
30.1,-128.4,-4553.194444,-120.4415512,34.03290939,868671.2629
30.1,-128.3,-4504.555556,-120.4415512,34.03290939,860545.5167
30.1,-128.2,-4340.194444,-120.4415512,34.03290939,852446.3436
30.1,-128.1,-4126.333333,-120.4415512,34.03290939,844374.5154
30.1,-128,-3964.75,-120.4415512,34.03290939,836330.8309
30.1,-127.9,-4357.361111,-120.4415512,34.03290939,828316.1172
30.1,-127.8,-4433.8,-120.4415512,34.03290939,820331.2303
30.1,-127.7,-4363.916667,-120.4415512,34.03290939,812377.0569
30.1,-127.6,-4370.805556,-120.4415512,34.03290939,804454.5149
30.1,-127.5,-4350.361111,-120.4415512,34.03290939,796564.5551
