mmsi,shipname
204203250,CONDEDEPORTOPIM
204204560,PEROLADAHORTA
204205960,GONCALITO
211527440,ERNAB
211755650,KRISTIN
211773410,DAVYJONES
211777300,HOPE
215000491,COSTABILE
219000002,RUTH
219001205,SCOTIA
219001472,TINAJEANETTE
219444000,FRUTHOMSEN
220219000,JYTTEELLEN
220352000,WICKIALEX
224017280,GARROFERO
224017450,MARYNERE
224020320,NUEVORIAALDAN
224020980,PUERTODEHUELVA
224027180,SORCAMAR
224027890,ESTRELLALAMANANA
224030190,NUEVOAMANECERMAYO
224073631,MARCARIBEPRIMERO
224080991,JOVENMIRMER
224083570,SIERRADEHUELVA
224093240,RICOMARE
224096550,NSTRASRALINDES
224098230,PEI
224098680,MCHANDO
224099620,YEGUALOPEZ
224108520,RAMONIPILAR
224127180,MARIATERESAPRIMERO
224131390,MOLINE
224131890,GRANSEBASTIAN
224133630,ACMON
224135770,HORITZOU
224137690,ELPOPI
224212840,NVOESTRELLAPOLAR
224219220,LONCLEMIQUEL
224228670,ITXASOKOLOREAKDOS
224242200,NUEVORIOJORDAN
224259720,SAZON
224322690,ROSASALADIEBALFEGO
224332000,ALDAN
224337930,CANJO
224369830,JJGAS
224382320,NUEVOMADREDOLORES
224447257,HERMANOSLANDROVE
225381021,PINOMONTERO3
225381048,PINOMONTERO3
225436004,ADEXEPRIMERO
225436019,ADEXEPRIMERO
225436023,ADEXEPRIMERO
225436028,ADEXEPRIMERO
225436031,ADEXEPRIMERO
225982438,NUEVOCHAPARRO
225987199,MATXOT
226176000,MESGAMINS
227404710,GAVAOC
227536027,DAMAFRAN
227536063,DAMAFRAN
227577520,LAROSEDESVENTS
227800940,ROSEDECASCIA
228078717,MARANELLO
228078719,MARANELLO
228087900,CARAIBESII
228089900,FVCALIFORNIA
228104000,LAPALOMA2
228286000,TRECHER
228344384,EGALITE
232006364,HENKSENIOR
232091001,MORAYENDEAVOUR
232091004,MORAYENDEAVOUR
234417019,KARENOFLADRAM
235002334,DEVOTION
235002367,DEVOTION
237924000,AGIOSIWANNHS
237986000,GIANNAKIS
238019440,BABAROGA
238024240,PLISIVAC
238094940,PLIMA
238669140,VABAC
239058000,KAPETANMINAS
239683001,DIMITRIOS1
239683007,DIMITRIOS1
244010309,MSOSPREY
244453000,ARIADNE
245167000,BERNADETTE
247044790,NUOVOLUCIANO100
247072380,SARINA
247072680,DAMIANO
247072920,ANGELAMADRE
247072970,ELISABETTA2
247080490,MARIAANGELA
247082060,MARIANNA1
247082080,LUNAROSSA
247082690,EMBRYO
247083370,ILGLADIATORE
247084450,CORMORANO
247086160,TOSCANU2
247087090,BIGMAN
247088440,TAMARAI
247088480,NAUTILUS
247100000,NUOVOGEMINIIV
247101460,SPARVIERO
247101810,ANTEA
247101820,SPEEDY
247101850,SIMONA1
247102640,ODISSEA
247103190,RAMBO
247103330,FANTASTICO
247111110,ANTONELLA
247113406,CIROPADRE
247114740,FORTUNATO2
247119770,ORCA2
247120370,NUOVALUNAMARINARA
247123520,NUOVAMADONNALORETO
247123830,MAMMARITA
247129190,SANDOKAN3
247131930,MARIA2
247134150,ORGOGLIO
247141620,INTREPIDO
247142130,MARCO5
247142150,DELFINOAZZURRO
247142190,SANSEBASTIANO
247143030,GIUSEPPINAMADRE
247144350,COSTANTINO
247144480,SBARTOLODIMINICUZ
247144740,SANTACATERINA
247148670,EMANUELE
247149420,SANTAELISABETTA
247149520,ALICE2
247149640,ROSARIOPADRE
247150230,LILIANA
247152780,FRATELLI4
247153250,MAESTRALE
247155030,ROSINA
247304010,POSEIDON
247309550,MPANTONINOPADRE
250004229,MARANELLO
250004233,SAUVEURDUMONDE
250004326,ALANNAHRILEY
250401000,CONNACHTRANGER
263234011,BEIRALITORAL
263234035,BEIRALITORAL
263234043,BEIRALITORAL
263234044,BEIRALITORAL
263234047,BEIRALITORAL
263267000,PESCAREAL
263388003,SANTAANITA
263388016,SANTAANITA
263402351,SATURNO
263406590,DEBORARAQUEL
263411555,NOSSASENHORALAPA
263422260,OMEUSONHO
263433660,DEUSADOSMARES
