"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","EXVESSEL_REVENUE","LANDED_WEIGHT_PPP","LANDED_WEIGHT_MTONS","CONFIDENTIAL_FLAG"
"1981","C","CPEL","....","PACIFIC HERRING","PHRG",4755576,.36,5961.2,""
"1981","C","CPEL","WETF","CHUB MACKEREL","CMCK",7247368,.09,35256.1,""
"1981","C","CPEL","WETF","JACK MACKEREL","JMCK",3653555,.09,17778,""
"1981","C","CPEL","WETF","MARKET SQUID","MSQD",5077844,.1,23509.6,""
"1981","C","CPEL","WETF","NORTHERN ANCHOVY","NANC",3273146,.03,52307.1,""
"1981","C","CPEL","WETF","PACIFIC BONITO","PBNT",4571889,.28,7536.5,""
"1981","C","CPEL","WETF","PACIFIC SARDINE","PSDN",3018,.09,14.8,""
"1981","C","CPEL","WETF","UNSP. MACKEREL","UMCK",35191,.12,131.6,""
"1981","C","CRAB","....","DUNGENESS CRAB","DCRB",9323907,.89,4734.5,""
"1981","C","CRAB","....","OTHER CRAB","OCRB",321540,8.54,17.1,""
"1981","C","CRAB","....","ROCK CRAB","RCRB",1019953,.76,610.2,""
"1981","C","CRAB","KCRB","UNSP. KING CRAB","UKCR",,,,"*"
"1981","C","GRND","FLAT","NOM. ARROWTOOTH FLOUNDER","ART1",10556,.1,47.9,""
"1981","C","GRND","FLAT","BUTTER SOLE","BSOL",4663,.17,12.3,""
"1981","C","GRND","FLAT","NOM. DOVER SOLE","DVR1",4500306,.22,9261.6,""
"1981","C","GRND","FLAT","NOM. ENGLISH SOLE","EGL1",1146195,.3,1711.5,""
"1981","C","GRND","FLAT","FANTAIL SOLE","FNTS",135,.47,.1,""
"1981","C","GRND","FLAT","OTHER FLATFISH","OFLT",,,,"*"
"1981","C","GRND","FLAT","NOM. PETRALE SOLE","PTR1",900284,.51,805.2,""
"1981","C","GRND","FLAT","REX SOLE","REX",194,.56,.2,""
"1981","C","GRND","FLAT","NOM. REX SOLE","REX1",581018,.34,783.7,""
"1981","C","GRND","FLAT","NOM. ROCK SOLE","RSL1",2710,.35,3.5,""
"1981","C","GRND","FLAT","NOM. STARRY FLOUNDER","SFL1",5317,.92,2.6,""
"1981","C","GRND","FLAT","NOM. SAND SOLE","SSO1",199271,.45,199.5,""
"1981","C","GRND","FLAT","UNSP. SANDDABS","UDAB",315282,.33,427.4,""
"1981","C","GRND","FLAT","UNSP. FLATFISH","UFLT",194757,.29,304.6,""
