drvid,BoatName,mmsi,gfw_check
605599,Anthony G,367149670,1
1061917,Crystal Sea,367033480,1
566145,D C Cole,NA,
647246,Delta Dawn,366933360,1
626289,Emerald Sea,338195571,
248555,Evermore,367580950,1
974306,Harbor Gem,367045720,1
1131965,Lady Law,367084010,1
OR072ACX,Lauren L Kapp,367119980,1
621541,Ocean Dream,367314190,1
OR661ZK,Pacific Journey,366853960,1
OR018ADR,Pacific Predator,367455530,1
OR873ABY,Pacific Pursuit,367153810,1
927638,Pacific Raider,367455570,1
WN1924RR,Royal Pacific,NA,
WN4232NW,Sea Venture,367657060,1
1240646,Sequel,367536560,1
1239174,Shelter Cove,367534430,1
238918,Sunrise,367534260,
246530,West Wind,367541170,1
972638,Pacific Raider,367455570,1
625595,Johnny A,367444510,1
625595,Pacific Pursuit,367153810,1
WN7995RP,Pacific Venture,NA,
1187928,Arctic Fox,NA,
623983,St Teresa,NA,
976542,Miss Roxanne,366734030,1
1244893,Miss Emily,338165129,1
1249802,April Lane,367609850,1
615795,Corva May,366722740,1
,,,
