drvid,BoatName,mmsi,gfw_check
605599,Anthony G,367149670,1
248555,Evermore,367580950,1
1131965,Lady Law,367084010,1
OR072ACX,Lauren L Kapp,367119980,1
OR661ZK,Pacific Journey,366853960,1
972638,Pacific Raider,367455570,1
OR873ABY,Pacific Pursuit,367153810,1
625595,Johnny A,367444510,1
647246,Delta Dawn,366933360,1
246530,West Wind,367541170,1
,Pacific Pursuit,367153810,1
WN7995RP,Pacific Venture,NA,
1187928,Arctic Fox,NA,
621541,Ocean Dream,367314190,1
1240646,Sequel,367536560,1
623983,St Teresa,NA,
976542,Miss Roxanne,366734030,1
1244893,Miss Emily,338165129,1
927638,Pacific Raider,367455570,1
1249802,April Lane,367609850,1
615795,Corva May,366722740,1
974306,Harbor Gem,367045720,1
626289,Emerald Sea,338195571,1
1038717,Lisa Marie,338104000,1
1246619,Loui M,367575760,1
