"drvid","mmsi"
"12879","338323655"
"36884","NA"
"49445","368024160"
"34054","NA"
"39736","338129477"
"30572","366874950"
"07010","NA"
"07029","367315610"
"52212","NA"
"07175","367699790"
"06797","NA"
"39166","NA"
"39262","NA"
"70741","NA"
"41914","NA"
"36790","366967550"
"06651","NA"
"16474","NA"
"40780","NA"
"06219","NA"
"47720","367595480"
"42613","NA"
"32389","NA"
"01613","NA"
"48402","NA"
"48387","NA"
"70729","366973450"
"70666","NA"
"36904","NA"
"06941","367753370"
"07154","366955010"
"49262","338162563"
"70176","NA"
"33169","367378970"
"70827","NA"
"39164","NA"
"52768","NA"
"41191","NA"
"29530","NA"
"70592","NA"
"36897","NA"
"35779","NA"
"70934","NA"
"19980","367426920"
"33182","NA"
"41895","NA"
"04035","NA"
"49361","NA"
"71073","NA"
"49006","NA"
"25055","367601640"
"49633","NA"
"34076","367641320"
"71031","NA"
"70474","NA"
"70984","NA"
"52230","367608260"
"71149","NA"
"70182","NA"
"35367","368012460"
"07467","NA"
"42719","367786380"
"06569","NA"
"22128","338311701"
"06734","NA"
"32357","NA"
"71440","NA"
"71649","NA"
"71782","NA"
"71441","NA"
"13343","NA"
"71768","NA"
"72042","NA"
"39668","NA"
"29638","366874970"
"49915","NA"
