drvid,BoatName,fleet_name,mmsi,gfw_check
605599,Anthony G,OR,367149670,1
248555,Evermore,OR,367580950,1
1131965,Lady Law,OR,367084010,1
OR072ACX,Lauren L Kapp,OR,367119980,1
OR661ZK,Pacific Journey,OR,366853960,1
972638,Pacific Raider,OR,367455570,1
OR873ABY,Pacific Pursuit,OR,367153810,1
625595,Johnny A,OR,367444510,1
647246,Delta Dawn,OR,366933360,1
246530,West Wind,OR,367541170,1
625595,Pacific Pursuit,OR,367153810,1
WN7995RP,Pacific Venture,OR,NA,1
1187928,Arctic Fox,OR,NA,1
621541,Ocean Dream,OR,367314190,1
1240646,Sequel,OR,367536560,1
623983,St Teresa,OR,NA,1
976542,Miss Roxanne,OR,366734030,1
1244893,Miss Emily,OR,338165129,1
927638,Pacific Raider,OR,367455570,1
1249802,April Lane,OR,367609850,1
615795,Corva May,OR,366722740,1
974306,Harbor Gem,OR,367045720,1
626289,Emerald Sea,OR,338195571,1
1038717,Lisa Marie,OR,338104000,1
1246619,Loui M,OR,367575760,1
OR6612K,Pacific Journey,OR,366853960,1
1225561,Infinite Grace,OR,NA,1
626289,Emerald Sea,OR,338195571,1
1244073,Invincible,OR,367565560,1
622522,Ocean Angel II,OR,366966550,1
206451,Anna Marie,OR,367157020,1
625595,Pacific Grace,OR,367647840,1
564301,Pillar Bay,OR,367002510,1
102H4,Rising Spirit,OR,367494710,1
584187,Chelsea Dawn,OR,367076240,1
1259418,Andy Sea,OR,NA,1
1238032,Anthem,OR,367517490,1
12879,NA,CA,338323655,0
36884,NA,CA,NA,0
49445,NA,CA,368024160,0
34054,NA,CA,NA,0
39736,NA,CA,338129477,0
30572,NA,CA,366874950,0
7010,NA,CA,NA,0
7029,NA,CA,367315610,0
52212,NA,CA,NA,0
7175,NA,CA,367699790,0
6797,NA,CA,NA,0
39166,NA,CA,NA,0
39262,NA,CA,NA,0
70741,NA,CA,NA,0
41914,NA,CA,NA,0
36790,NA,CA,366967550,0
6651,NA,CA,NA,0
16474,NA,CA,NA,0
40780,NA,CA,NA,0
6219,NA,CA,NA,0
47720,NA,CA,367595480,0
42613,NA,CA,NA,0
32389,NA,CA,NA,0
1613,NA,CA,NA,0
48402,NA,CA,NA,0
48387,NA,CA,NA,0
70729,NA,CA,366973450,0
70666,NA,CA,NA,0
36904,NA,CA,NA,0
6941,NA,CA,367753370,0
7154,NA,CA,366955010,0
49262,NA,CA,338162563,0
70176,NA,CA,NA,0
33169,NA,CA,367378970,0
70827,NA,CA,NA,0
39164,NA,CA,NA,0
52768,NA,CA,NA,0
41191,NA,CA,NA,0
29530,NA,CA,NA,0
70592,NA,CA,NA,0
36897,NA,CA,NA,0
35779,NA,CA,NA,0
70934,NA,CA,NA,0
19980,NA,CA,367426920,0
33182,NA,CA,NA,0
41895,NA,CA,NA,0
4035,NA,CA,NA,0
49361,NA,CA,NA,0
71073,NA,CA,NA,0
49006,NA,CA,NA,0
25055,NA,CA,367601640,0
49633,NA,CA,NA,0
34076,NA,CA,367641320,0
71031,NA,CA,NA,0
70474,NA,CA,NA,0
70984,NA,CA,NA,0
52230,NA,CA,367608260,0
71149,NA,CA,NA,0
70182,NA,CA,NA,0
35367,NA,CA,368012460,0
7467,NA,CA,NA,0
42719,NA,CA,367786380,0
6569,NA,CA,NA,0
22128,NA,CA,338311701,0
6734,NA,CA,NA,0
32357,NA,CA,NA,0
71440,NA,CA,NA,0
71649,NA,CA,NA,0
71782,NA,CA,NA,0
71441,NA,CA,NA,0
13343,NA,CA,NA,0
71768,NA,CA,NA,0
72042,NA,CA,NA,0
39668,NA,CA,NA,0
29638,NA,CA,366874970,0
49915,NA,CA,NA,0
,LISA MARIE,WA,338104000,1
,OCEAN STORM,WA,367331480,1
,VOYAGER,WA,367188060,1
,BAINBRIDGE,WA,NA,1
,LADY LAW,WA,367084010,1
,COURTNEY NORAL,WA,366236350,1
,PACIFIC PREDATOR,WA,367455530,1
,ARCTIC FOX,WA,NA,1
,MARAUDER,WA,366174810,1
,RISING SUN,WA,367599920,1
